NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
矛蛊使	0	2322	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\yueyaquan\npc\area1.txt	1		1
铁首刀客	0	2323	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\yueyaquan\npc\area2.txt	1		0
百毒手	0	2324	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\yueyaquan\npc\area3.txt	1		4
白须叟	0	2325	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\yueyaquan\npc\area4.txt	1		0
to_dunhuanggucheng	1															\setting\map\map_info\yueyaquan\trap\to_dunhuanggucheng.txt			
to_jiayuguan	1															\setting\map\map_info\yueyaquan\trap\to_jiayuguan.txt			
to_longmenzhen	1															\setting\map\map_info\yueyaquan\trap\to_longmenzhen.txt			
to_kunlunpai	1															\setting\map\map_info\yueyaquan\trap\to_kunlunpai.txt			
敦煌古城入口	0	2525	4	5	1	1	20	20	20	20	20	1		62912	107392		1		
嘉峪关入口	0	2525	4	5	1	1	20	20	20	20	20	1		56288	100832		1		
龙门镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		62656	116000		1		
昆仑派入口	0	2525	4	5	1	1	20	20	20	20	20	1		56736	119840		1		
罗日旺	0	4429	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt	53632	101376		1		0
胡莱	0	4386	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt	54880	104192		1		0
尹筱雨	0	4387	3	5	150	1	20	20	20	20	20	1		53568	103168				
黄婆婆	0	5046	3	5	125	1	20	20	20	20	20	1		54176	113536		1		
柯爷爷	0	5069	3	5	125	1	20	20	20	20	20	1		54784	114400		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		54208	101280		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		54176	101600		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		54080	101504		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		53920	101440		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		54272	101536		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		54368	101536		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		54464	101440		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		54752	101312		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		55008	101184		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		55072	101504		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		55104	101152		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		55200	101408		1		
野狼	0	5071	0	5	125	1	20	20	20	20	20	1		55136	101088				
陨丹宫·星入口	0	2525	4	5	1	1	20	20	20	20	20	1		57984	102048		1		
to_yundangongxing1	1															\setting\map\map_info\yueyaquan\trap\to_yundangongxing1.txt			
陨丹宫·星入口	0	2525	4	5	1	1	20	20	20	20	20	1		58784	110208		1		
to_yundangongxing2	1															\setting\map\map_info\yueyaquan\trap\to_yundangongxing2.txt			
陨丹宫·辰入口	0	2525	4	5	1	1	20	20	20	20	20	1		59776	113056		1		
to_yundangongchen1	1															\setting\map\map_info\yueyaquan\trap\to_yundangongchen1.txt			
陨丹宫·辰入口	0	2525	4	5	1	1	20	20	20	20	20	1		56576	114560		1		
to_yundangongchen2	1															\setting\map\map_info\yueyaquan\trap\to_yundangongchen2.txt			
