NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
裴远	0	3501	3	5	30	1	20	20	20	20	20	1		45728	101280		1		
寂幻	0	3507	3	5	30	1	20	20	20	20	20	1		46336	100832		1		
唐济民	0	3513	3	5	30	1	20	20	20	20	20	1		46336	101760		1		
边一春	0	3519	3	5	30	1	20	20	20	20	20	1		46912	101664		1		
玄静	0	3525	3	5	30	1	20	20	20	20	20	1		46976	102528		1		
苏雅	0	3531	3	5	30	1	20	20	20	20	20	1		47520	102272		1		
罗俊	0	3537	3	5	30	1	20	20	20	20	20	1		48096	102272		1		
谢飞京	0	3543	3	5	30	1	20	20	20	20	20	1		47968	103168		1		
明慧	0	3549	3	5	30	1	20	20	20	20	20	1		48608	102848		1		
归惊晴	0	3555	3	5	30	1	20	20	20	20	20	1		49472	102144		1		
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		42688	98976		1		
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		43872	98048		1		
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		44448	97568		1		
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		44800	98400		1		
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		45184	98656		1		
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		44992	99072		1		
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		43392	100064		1		
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		44768	100416		1		
木良	0	3569	3	5	60	1	20	20	20	20	20	1		45664	99968		1		
白秋琳	0	3570	3	5	90	1	20	20	20	20	20	1		44288	99136		1		
龙五太爷	0	3571	3	5	150	1	20	20	20	20	20	1		46400	99840		1		
义军侍卫	0	3572	5	5	60	1	20	20	20	20	20	1				\setting\map\map_info\yunzhongzhen\npc\yijunshiwei.txt	1		
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		44928	100992		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	3		49824	100800		1		2
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	3		47328	99904		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		49312	103616		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		44736	96224		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		43840	98976		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		49824	103808		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		44928	96608		1		
礼官	0	2601	3	5	60	1	20	20	20	20	20	3		43232	97632		1		
叶晓钗	0	7156	3	5	60	1	20	20	20	20	20	3		0	0		1		
破旧箱子一	0	3578	3	5	1	1	20	20	20	20	20	3		43584	99936		1		
破旧箱子二	0	3579	3	5	1	1	20	20	20	20	20	3		43616	99744		1		
破旧箱子三	0	3580	3	5	1	1	20	20	20	20	20	3		43552	99520		1		
奇怪的箱子	0	3581	3	5	1	1	20	20	20	20	20	3		43392	99328		1		
to_bianjingfu	1															\setting\map\map_info\yunzhongzhen\trap\to_bianjingfu.txt			
to_tianrenjiao	1															\setting\map\map_info\yunzhongzhen\trap\to_tianrenjiao.txt			
to_samanjiao	1															\setting\map\map_info\yunzhongzhen\trap\to_samanjiao.txt			
to_guzhanchang	1															\setting\map\map_info\yunzhongzhen\trap\to_guzhanchang.txt			
to_zhendongmuyuan	1															\setting\map\map_info\yunzhongzhen\trap\to_zhendongmuyuan.txt			
汴京府入口	0	2525	4	5	1	1	20	20	20	20	20	1		41920	101280		1		
天忍教入口	0	2525	4	5	1	1	20	20	20	20	20	1		50304	104608		1		
萨满教入口	0	2525	4	5	1	1	20	20	20	20	20	1		43392	95968		1		
古战场入口	0	2525	4	5	1	1	20	20	20	20	20	1		51296	102944		1		
镇东墓园入口	0	2525	4	5	1	1	20	20	20	20	20	1		51424	103808		1		
段修静	0	3480	3	5	30	1	20	20	20	20	20	1		48768	101504		1		
