NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
强贼	0	2203	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\zhujianfang\npc\area1.txt	1		0
劣质机关人	0	2025	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\zhujianfang\npc\area2.txt	1		0
小机关兽	0	2026	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\zhujianfang\npc\area3.txt	1		
义军叛徒	0	2204	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\zhujianfang\npc\area4.txt	1		5
蒙古武士	0	3586	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\zhujianfang\npc\area5.txt	1		3
西夏武士	0	3587	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\zhujianfang\npc\area6.txt	1		0
金国武士	0	3588	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\zhujianfang\npc\area7.txt	1		1
南宋武士	0	3589	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\zhujianfang\npc\area8.txt	1		0
to_longquancun	1															\setting\map\map_info\zhujianfang\trap\to_longquancun.txt			
龙泉村入口	0	2525	4	5	1	1	20	20	20	20	20	1		49152	112736				
白疆	0	3585	3	5	60	1	20	20	20	20	20	1		60640	117760		1		0
高升	0	3590	3	5	60	1	20	20	20	20	20	1		60544	117472		1		
崔剑	0	3591	3	5	60	1	20	20	20	20	20	1		60832	117504		1		
界山宗	0	3584	3	5	60	1	20	20	20	20	20	1		57728	103008		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		60576	116928		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		61024	117056		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		61184	117248		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		60480	116608		1		
义军叛徒寻路点	0	2615	5	5	1	1	20	20	20	20	20	1		49824	110720		1		
义军叛徒2寻路点	0	2616	5	5	1	1	20	20	20	20	20	1		52032	103360		1		
强贼寻路点	0	2617	5	5	1	1	20	20	20	20	20	1		56896	107648		1		
劣质机关人寻路点	0	2618	5	5	1	1	20	20	20	20	20	1		55552	118432		1		
小机关兽寻路点	0	2619	5	5	1	1	20	20	20	20	20	1		51488	118272		1		
蒙古武士寻路点	0	2620	5	5	1	1	20	20	20	20	20	1		62976	113024		1		
西夏武士寻路点	0	2621	5	5	1	1	20	20	20	20	20	1		61408	120416		1		
金国武士寻路点	0	2622	5	5	1	1	20	20	20	20	20	1		57856	119168		1		
南宋武士寻找路点	0	2623	5	5	1	1	20	20	20	20	20	1		59648	117120		1		
义军叛徒新增寻路点1	0	3651	5	5	1	1	20	20	20	20	20	1		51296	105280		1		
义军叛徒新增寻路点2	0	3652	5	5	1	1	20	20	20	20	20	1		52096	101920		1		
义军叛徒新增寻路点3	0	3653	5	5	1	1	20	20	20	20	20	1		54656	101664		1		
强贼寻路点2	0	4678	5	5	1	1	20	20	20	20	20	1		57312	109056		1		
强贼寻路点3	0	4679	5	5	1	1	20	20	20	20	20	1		54304	109888		1		
