MapId	MapName	Xpos1	Ypos1	Xpos2	Ypos2
地图ID	地图名	X坐标1	Y坐标1	X坐标2	Y坐标2
1	云中镇	467	106	0	0
2	龙门镇	155	129	0	0
3	永乐镇	355	290	0	0
4	稻香村	602	291	0	0
5	江津村	266	389	0	0
6	石鼓镇	183	545	0	0
7	龙泉村	641	441	0	0
8	巴陵县	452	436	0	0
9	少林派	453	261	0	0
10	天忍教	594	98	0	0
11	萨满教	381	63	0	0
12	昆仑派	98	221	0	0
13	西夏一品堂	264	173	0	0
14	武当派	369	339	0	0
15	丐帮	637	338	0	0
16	峨嵋派	179	397	0	0
17	翠烟门	129	575	0	0
18	唐门	193	446	0	0
19	大理段氏	67	469	0	0
20	五毒教	571	494	0	0
21	长歌门	685	483	0	0
22	天王帮	468	474	0	0
23	汴京府	513	198	0	0
24	凤翔府	203	207	0	0
25	襄阳府	428	344	0	0
26	扬州府	668	289	0	0
27	成都府	185	360	0	0
28	大理府	80	497	0	0
29	临安府	686	376	0	0
30	古战场	494	56	0	0
31	龙门客栈	91	136	0	0
32	军马场	375	260	0	0
33	梅花岭	547	270	0	0
34	长江河谷	295	418	0	0
35	白族市集	168	501	0	0
36	雁荡龙湫	711	406	0	0
37	洞庭湖畔	509	453	0	0
38	镇东墓园	519	92	0	0
39	祁连山	114	159	0	0
40	潼关	346	248	0	0
41	淮水沙洲	557	309	0	0
42	蜀南竹海	240	424	0	0
43	茶马古道	129	487	0	0
44	铸剑坊	694	447	0	0
45	岳阳楼	502	418	0	0
46	后山禁地	425	251	0	0
47	天忍教禁地	610	63	0	0
48	见性峰	54	204	0	0
49	天柱峰	336	320	0	0
50	姑苏水榭	615	347	0	0
51	九老峰	166	418	0	0
52	百花谷	90	564	0	0
53	翡翠湖	169	458	0	0
54	南夷部落	544	525	0	0
55	青螺岛	433	477	0	0
56	塔林东部	418	273	0	0
57	金国皇陵一层	636	31	0	0
58	冰穴迷宫一层	42	225	0	0
59	龙虎幻境东部	303	301	0	0
60	燕子坞外围	601	355	0	0
61	九老洞一层	135	416	0	0
62	百花阵外阵	46	572	0	0
63	湖畔竹林东部	176	474	0	0
64	原始森林东部	509	549	0	0
65	芦苇荡东南部	415	468	0	0
66	塔林西部	418	273	0	0
67	金国皇陵二层	636	31	0	0
68	冰穴迷宫二层	42	225	0	0
69	龙虎幻境西部	303	301	0	0
70	燕子坞中段	601	355	0	0
71	九老洞二层	135	416	0	0
72	百花阵内阵	46	572	0	0
73	湖畔竹林西部	176	474	0	0
74	原始森林西部	509	549	0	0
75	芦苇荡西北部	415	468	0	0
76	塔林中部	418	273	0	0
77	金国皇陵三层	636	31	0	0
78	冰穴迷宫三层	42	225	0	0
79	龙虎幻境中部	303	301	0	0
80	燕子坞内部	601	355	0	0
81	九老洞三层	135	416	0	0
82	百花阵阵眼	46	572	0	0
83	湖畔竹林中部	176	474	0	0
84	原始森林中部	509	549	0	0
85	芦苇荡中部	415	468	0	0
86	太行古径	448	169	0	0
87	大散关	207	263	0	0
88	汉水古渡	460	354	0	0
89	寒山古刹	693	313	0	0
90	浣花溪	134	373	0	0
91	洱海摩岩	90	450	0	0
92	采石矶	597	369	0	0
93	药王洞	384	140	0	0
94	居延泽	227	96	0	0
95	伏牛山	484	286	0	0
96	虎丘剑池	690	351	0	0
97	响水洞	163	332	0	0
98	点苍山	34	512	0	0
99	彭蠡古泽	566	398	0	0
100	风陵渡	406	201	0	0
101	沙漠迷宫	266	86	0	0
102	鸡冠洞	448	288	0	0
103	蜀冈山	652	271	0	0
104	剑阁蜀道	233	341	0	0
105	段氏皇陵	77	540	0	0
106	九嶷溪	599	413	0	0
107	龙门石窟	412	235	0	0
108	西夏皇陵	273	115	0	0
109	黄鹤楼	515	381	0	0
110	荐菊洞	633	243	0	0
111	剑门关	284	329	0	0
112	天龙寺	24	450	0	0
113	帮源秘洞	572	446	0	0
114	敕勒川	432	59	0	0
115	嘉峪关	98	74	0	0
116	华山	314	231	0	0
117	蜀岗秘境	566	236	0	0
118	丰都鬼城	334	406	0	0
119	苗岭	278	543	0	0
120	武夷山	624	491	0	0
121	武陵山	390	446	0	0
122	漠北草原	416	32	0	0
123	敦煌古城	60	100	0	0
124	活死人墓	282	212	0	0
125	大禹台	590	205	0	0
126	三峡栈道	396	362	0	0
127	蚩尤洞	347	569	0	0
128	锁云渊	530	569	0	0
129	伏流洞	357	471	0	0
130	蒙古王庭	309	38	0	0
131	月牙泉	37	124	0	0
132	阿房宫废墟	268	260	0	0
133	梁山泊	658	178	0	0
134	神女峰	424	394	0	0
135	夜郎旧墟	256	496	0	0
136	鼓浪屿	653	563	0	0
137	桃花源	367	511	0	0
