START	END
18350080	18874367
20447232	20971519
29097984	29360127
248250368	248381439
453509120	454033407
455344128	455761151
455762176	456130559
459464704	459472895
460521472	460542719
460542976	460554239
465567744	467664895
606076928	606339071
616562688	618659839
620232704	620494847
658505728	660602879
704905216	705167359
707788800	707919871
708050944	708575231
708771840	708837375
710148096	710410239
713031680	714080255
716177408	716701695
718274560	720371711
832045312	832307199
837746688	837763071
974127104	974127359
974127392	974127453
974127455	974134129
974134131	974134137
974134139	974137682
974137688	974170185
974170187	974178829
974178831	974179050
974179052	974180434
974180436	974180626
974180628	974189713
974189715	974198451
974198453	974198527
974198548	974200831
974200861	974200861
974201088	974207524
974207526	974223755
974223757	974223881
974223883	974224974
974224976	974227457
974227459	974227489
974227491	974227533
974227535	974227717
974227719	974227733
974227735	974227985
974227987	974230561
974230563	974231101
974231103	974231333
974231335	974234081
974234083	974234165
974234167	974235210
974235212	974239169
974239171	974239661
974239663	974239725
974239727	974239865
974239867	974240149
974240151	974240793
974240795	974240813
974240815	974244156
974244158	974245831
974245833	974245897
974245899	974246161
974246163	974246185
974246187	974246281
974246283	974246663
974246665	974248221
974248313	974248436
974248438	974249224
974249226	974250794
974250796	974254895
974254897	974254958
974254960	974254983
974254985	974255037
974255039	974255089
974255091	974255100
974255102	974259204
974259207	974259212
974259214	974259235
974259238	974259238
974259240	974259265
974259269	974259269
974259271	974259272
974259275	974259275
974259280	974259287
974259289	974259289
974259292	974259296
974259298	974259299
974259301	974259309
974259311	974259330
974259333	974259333
974259335	974259336
974259339	974259339
974259341	974259343
974259345	974259345
974259347	974259350
974259353	974259353
974259357	974259357
974259360	974259362
974259364	974259365
974259367	974259369
974259372	974259376
974259378	974259380
974259383	974259384
974259386	974259388
974259391	974259407
974259410	974259416
974259418	974259439
974259441	974259587
974259591	974266765
974266767	974267399
974267401	974267404
974267406	974270977
974270980	974270980
974270983	974270985
974270990	974270993
974270995	974270995
974270998	974271001
974271004	974271005
974271007	974271007
974271009	974271011
974271015	974271017
974271022	974271026
974271028	974271029
974271031	974271033
974271035	974271037
974271039	974271044
974271047	974271050
974271053	974271107
974271109	974271112
974271115	974271117
974271119	974271156
974271158	974271158
974271160	974271161
974271163	974271163
974271165	974271185
974271188	974271188
974271190	974271195
974271197	974271913
974271915	974272033
974272035	974272043
974272045	974272065
974272067	974272067
974272070	974272075
974272077	974272085
974272087	974272297
974272299	974272337
974272339	974272345
974272347	974272349
974272351	974272393
974272395	974272433
974272435	974281601
974281603	974282769
974282773	974282777
974282779	974282779
974282781	974282785
974282787	974282891
974282893	974283009
974283015	974283017
974283023	974283025
974283027	974283027
974283031	974283033
974283036	974283043
974283045	974283050
974283052	974283074
974283076	974283265
974283267	974283282
974283284	974284321
974284323	974285080
974285082	974285835
974285837	974286889
974286891	974286893
974286895	974286897
974286899	974286905
974286907	974286913
974286915	974286941
974286943	974286945
974286947	974286949
974286951	974287017
974287019	974287033
974287035	974287045
974287047	974287364
974287366	974287617
974287619	974287625
974287627	974287677
974287679	974287685
974287687	974287733
974287735	974287737
974287739	974287757
974287759	974287785
974287787	974287797
974287799	974287829
974287831	974287839
974287841	974288304
974288306	974288902
974288904	974289350
974289352	974289410
974289412	974289733
974289735	974290028
974290030	974292737
974292740	974292740
974292742	974292742
974292745	974292745
974292747	974292747
974292750	974292751
974292754	974292760
974292762	974292762
974292764	974292779
974292782	974292791
974292793	974292834
974292838	974292838
974292847	974292883
974292885	974292889
974292891	974292897
974292899	974292901
974292903	974292913
974292916	974292916
974292924	974292925
974292927	974292930
974292933	974292953
974292955	974292955
974292958	974292972
974292974	974293197
974293199	974293217
974293219	974293221
974293227	974293228
974293232	974293232
974293235	974293235
974293237	974293237
974293239	974293239
974293241	974293244
974293246	974293267
974293269	974293321
974293323	974293329
974293331	974293331
974293333	974293677
974293679	974293788
974293790	974293892
974293895	974293895
974293898	974293899
974293904	974293904
974293907	974293907
974293909	974293913
974293915	974293915
974293918	974293919
974293923	974293934
974293936	974293960
974293963	974293963
974293965	974293967
974293969	974294001
974294004	974294013
974294015	974294020
974294024	974294024
974294026	974294085
974294087	974294105
974294111	974294114
974294121	974294124
974294127	974294131
974294133	974294133
974294142	974294153
974294155	974294346
974294348	974294375
974294377	974294483
974294485	974294874
974294876	974300092
974300094	974300709
974300711	974301193
974301208	974301409
974301411	974301451
974301453	974301453
974301455	974301457
974301459	974301459
974301461	974301465
974301467	974301569
974301571	974301572
974301575	974301577
974301582	974301610
974301613	974301613
974301615	974301618
