Char	Image_Size1	Image_Size2	Image_Size3
+	\image\effect\info\small\+.spr	\image\effect\info\middle\+.spr	\image\effect\info\big\+.spr
-	\image\effect\info\small\-.spr	\image\effect\info\middle\-.spr	\image\effect\info\big\-.spr
0	\image\effect\info\small\0.spr	\image\effect\info\middle\0.spr	\image\effect\info\big\0.spr
1	\image\effect\info\small\1.spr	\image\effect\info\middle\1.spr	\image\effect\info\big\1.spr
2	\image\effect\info\small\2.spr	\image\effect\info\middle\2.spr	\image\effect\info\big\2.spr
3	\image\effect\info\small\3.spr	\image\effect\info\middle\3.spr	\image\effect\info\big\3.spr
4	\image\effect\info\small\4.spr	\image\effect\info\middle\4.spr	\image\effect\info\big\4.spr
5	\image\effect\info\small\5.spr	\image\effect\info\middle\5.spr	\image\effect\info\big\5.spr
6	\image\effect\info\small\6.spr	\image\effect\info\middle\6.spr	\image\effect\info\big\6.spr
7	\image\effect\info\small\7.spr	\image\effect\info\middle\7.spr	\image\effect\info\big\7.spr
8	\image\effect\info\small\8.spr	\image\effect\info\middle\8.spr	\image\effect\info\big\8.spr
9	\image\effect\info\small\9.spr	\image\effect\info\middle\9.spr	\image\effect\info\big\9.spr
e	\image\effect\info\small\exp.spr	\image\effect\info\middle\exp.spr	\image\effect\info\big\exp.spr
m	\image\effect\info\small\miss.spr	\image\effect\info\middle\miss.spr	\image\effect\info\big\miss.spr
p	\image\effect\info\small\makepoint.spr	\image\effect\info\middle\makepoint.spr	\image\effect\info\big\makepoint.spr
g	\image\effect\info\small\gatherpoint.spr	\image\effect\info\middle\gatherpoint.spr	\image\effect\info\big\gatherpoint.spr
t	\image\effect\info\small\tael.spr	\image\effect\info\middle\tael.spr	\image\effect\info\big\tael.spr
b	\image\effect\info\small\bindtael.spr	\image\effect\info\middle\bindtael.spr	\image\effect\info\big\bindtael.spr
j	\image\effect\info\small\bindgold.spr	\image\effect\info\middle\bindgold.spr	\image\effect\info\big\bindgold.spr
h	\image\effect\info\small\machinery.spr	\image\effect\info\middle\machinery.spr	\image\effect\info\big\machinery.spr
r	\image\effect\info\small\resist.spr	\image\effect\info\middle\resist.spr	\image\effect\info\big\resist.spr
c	\image\effect\info\small\clear.spr	\image\effect\info\middle\clear.spr	\image\effect\info\big\clear.spr
f	\image\effect\info\small\jifen.spr	\image\effect\info\middle\jifen.spr	\image\effect\info\big\jifen.spr
