Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	3	433700		3级玄晶
		18	1	1	4	100000		4级玄晶
		18	1	1	5	50000		5级玄晶
		18	1	1	6	10000		6级玄晶
		18	1	1	7	1000		7级玄晶
		18	1	1	8	100		8级玄晶
		2	1	867	6	400		刀昆烈焰刀（6级橙装PvsP）
		2	1	507	6	2667		刀昆烈焰刀（6级紫装PvsP）
		2	1	866	5	800		刀昆月牙刀（5级橙装PvsP）
		2	1	506	5	5333		刀昆月牙刀（5级紫装PvsP）
		2	1	896	5	800		剑昆龙泉剑（5级橙装PvsP）
		2	1	536	5	5333		剑昆龙泉剑（5级紫装PvsP）
		2	1	897	6	400		剑昆万仞剑（6级橙装PvsP）
		2	1	537	6	2667		剑昆万仞剑（6级紫装PvsP）
		2	1	876	5	800		剑武龙泉剑（5级橙装PvsP）
		2	1	516	5	5333		剑武龙泉剑（5级紫装PvsP）
		2	1	877	6	400		剑武万仞剑（6级橙装PvsP）
		2	1	517	6	2667		剑武万仞剑（6级紫装PvsP）
500						300000		金钱500
5000						50000		金钱5000
		2	1	886	5	800		气武龙泉剑（5级橙装PvsP）
		2	1	526	5	5333		气武龙泉剑（5级紫装PvsP）
		2	1	887	6	400		气武万仞剑（6级橙装PvsP）
		2	1	527	6	2667		气武万仞剑（6级紫装PvsP）
		2	1	1511	5	800		剑古墓龙泉剑（5级橙装PvsP）
		2	1	1491	5	5333		剑古墓龙泉剑（5级紫装PvsP）
		2	1	1512	6	400		剑古墓万仞剑（6级橙装PvsP）
		2	1	1492	6	2667		剑古墓万仞剑（6级紫装PvsP）
		2	2	209	5	800		针古墓连珠箭（5级橙装PvsP）
		2	2	189	5	5333		针古墓连珠箭（5级紫装PvsP）
		2	2	210	6	400		针古墓点唇箭（6级橙装PvsP）
		2	2	190	6	2667		针古墓点唇箭（6级紫装PvsP）
