Index	Type	AwardItem	RandomSpeedTotal	RandomSpeed	AwardType	TaskType	AwardTypeEx	AwardTypeEx2	AwardTotal	AwardMax	AwardMin	AwardRandomMax	AwardRandomMin	SpeakTotal	SpeakNum	SkillTotal	SkillNum	RandomSkillId	RandomSkillLevel	SkillType	ItemChat	AwardChat	FollowChat1	FollowChat2	FollowChat3	FollowChat4	FollowChat5	FollowChat6	FollowChat7	FollowChat8	FollowChat9	FollowChat10	ItemTip
索引（填道具scriptitem表，第1个扩展参数表示npctempId，第2个表示该索引，第3个表示变色，第4个表示技能id，第5个表示技能等级，这里的技能表示召唤的同时给玩家加的buff技能）	宠物类型（0无奖励型，1绑银型，2基准经验型（总量和每次加的单位为分钟），3经验型，4绑金型, 5道具型（需要填具体奖励内容））	道具型宠物奖励（G,D,P,L，nCount，有效期（分钟，默认为绝对时间,没有就不填第6个参数），奖励默认为绑定，这里不产出不绑定物品）	随即走动总权重	随即走动触发权重	奖励类型:击杀怪型（killnpc）、击杀玩家型（killplayer）	活动触发型的类型（类型用|隔开，支持所有活动系统支持的类型，例如：GuessGame|FactionBattle，表示灯谜领奖和门派竞技领奖触发，具体类型详见：\script\event\extendaward\extendaward.lua）	奖励增加类型：random随即区间给、直接指定值给(addnum)	奖励触发类型：random随即（不填表示通过，直接加）	奖励总量	奖励上限（如果是直接加取最大值）	奖励下限	奖励随即总权重	奖励随即触发权重	随即说话总权重（响应时间2秒一次）	随即说话触发权重	随即技能总权重（响应时间2秒一次）	随即技能触发权重	随即技能id	随即技能等级	随即技能类型（宠物自己self，主人owner，表示施放的对象）	道具提示信息（注意%s需要预留，这里需要加入具体获取奖励的值）	奖励说话（注意%s需要预留，这里需要加入具体获取奖励的值）	宠物跟随说话1	宠物跟随说话2	宠物跟随说话3	宠物跟随说话4	宠物跟随说话5	宠物跟随说话6	宠物跟随说话7	宠物跟随说话8	宠物跟随说话9	宠物跟随说话10	道具tips描述
1	1		100	50	killnpc		random	random	500000	2000	100	10000	2000	1000	10						亲爱的主人，我是你贴心的<color=green>财宝兔<color>，只要你<color=yellow>杀怪时<color>带着我，我可以为主人你<color=yellow>每天获得%s绑定银两<color>。快快把我召唤出来释放能量吧！<enter><enter>已为您积攒了<color=yellow>%s绑定银两<color><enter><color=red>（只有当累计到最大值才可以领取奖励，每天限领取一次）<color>	小兔子收集了[%s绑银]，好可爱哟^^	主人，你好厉害，有空也教我一下功夫吧！	陪主人练功，是我唯一的愿望。	主人，小心后面！	主人，约上心爱的人儿一起去看看风景啊！							财宝兔累积的绑银数量：%s / %s
2	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						只要你<color=yellow>杀怪时<color>带着我，我可以为主人你<color=yellow>每天获得%s经验<color>。快快把我召唤出来释放能量吧！<enter><enter>已为您积攒了<color=yellow>%s经验<color><enter><color=red>（只有当累计到最大值才可以领取奖励，每天限领取一次）<color>	葫小芦额外增加[%s经验]	叮当当咚咚当当，啦啦啦啦	葫小芦金刚神通广大，嘿吼嘿吼！	主人，打不过就跑吧	妖怪，哪里逃！	跟着我家主人混，就是好~						葫小芦累积的经验量：%s / %s
3	5	18,1,597,1,19	100	50	killnpc		addnum	random	19	1	0	10000	400	1000	10						亲爱的主人，我是你贴心的<color=green>玫瑰精灵<color>，只要你<color=yellow>杀怪时<color>带着我，我可以为主人你<color=yellow>每天获得%s朵绑定情花<color>。快快把我召唤出来释放能量吧！<enter><enter>已为您积攒了<color=yellow>%s朵绑定情花<color><enter><color=red>（只有当累计到最大值才可以领取奖励，每天限领取一次）<color>	玫瑰精灵收集了[%s朵情花]，好可爱哟^^	主人，我又帮您采到了一朵鲜艳的玫瑰花了	为心爱的人送上玫瑰，对方一定会很高兴的	带着你的妹妹，带着你的玫瑰，骑着那马儿来	主人，等我攒多玫瑰您就能向心爱的人求婚了	若你一直在想着某人，那就鼓起勇气去表白吧	喂，你这是又在想哪家的姑娘？	问世间情为何物，直教人生死相许...				玫瑰精灵累积的情花数量：%s / %s
4	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						<color=yellow>杀怪时<color>带着我，我可以为主人你<color=yellow>每天获得%s经验<color>。此刻相随，即许一生。江湖路远，唯愿常伴。<enter><enter>已为你积攒了<color=yellow>%s经验<color><enter><color=red>（只有当累计到最大值才可以领取奖励，每天限领取一次）<color>	跟随额外增加[%s经验]	主人莫怕，若有何事，我必定护你。	有何功德，能与你相伴，甚幸甚幸。	此刻相随，即许一生。江湖路远，唯愿常伴。								宠物累积的经验量：%s / %s
5	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						只要你<color=yellow>杀怪时<color>带着我，我可以为主人你<color=yellow>每天获得%s经验<color>。快快把我召唤出来释放能量吧！<enter><enter>已为您积攒了<color=yellow>%s经验<color><enter><color=red>（只有当累计到最大值才可以领取奖励，每天限领取一次）<color>	小萌为你额外增加[%s经验]	主人你喜欢我嘛？我一直都在主人的身后	呜呜，又被二萌欺负了，主人会给人家做主吗	前面有坏人！主人顶上，我先走了	我有很多兄妹，大姐叫大萌，二哥叫二萌	主人，咱们休息一会吧？累死人家了						小萌累积的经验量：%s / %s
6	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						只要你<color=yellow>杀怪时<color>带着我，我可以为你<color=yellow>每天获得%s经验<color>。<enter><enter>已为您积攒了<color=yellow>%s经验<color><enter><color=red>（只有当累计到最大值才可以领取奖励，每天限领取一次）<color>	帅哥为你额外增加[%s经验]	像我这么帅的，在别的游戏里可都是主角哦。	别怕，我来了！	到我后面去，我来保护你！	...							帅哥累积的经验量：%s / %s
7	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						只要你<color=yellow>杀怪时<color>带着我，我可以为你<color=yellow>每天获得%s经验<color>。<enter><enter>已为您积攒了<color=yellow>%s经验<color><enter><color=red>（只有当累计到最大值才可以领取奖励，每天限领取一次）<color>	帅哥为你额外增加[%s经验]	人生其实可短暂了，眼睛一闭一睁一辈子就过去了	走别人的路，让别人无路可走	你说我是男是女噢，这个问题给我也整矛盾了	哎呀玛，你这玩意儿咋整的这么厉害呢	说谁姑娘呢，人家是纯爷们						帅哥累积的经验量：%s / %s
8	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						只要你<color=yellow>杀怪时<color>带着我，我可以为你<color=yellow>每天获得%s经验<color>。<enter><enter>已为您积攒了<color=yellow>%s经验<color><enter><color=red>（只有当累计到最大值才可以领取奖励，每天限领取一次）<color>	美女为你额外增加[%s经验]	人生有多少不如意，怕是恨了多少又爱了多深	夜映西洲，月宿枝头，你知道哪里的夜色最美吗	累了吗？咱们坐下来休息一会吧	若能这样一直与你相伴，该多好……	喜欢一个人，有时候只是一瞬间的事。						美女累积的经验量：%s / %s
9	2		100	50	killnpc		addnum	random	1440	10	0	10000	1000	1000	10						只要你<color=yellow>杀怪时<color>带着我，我可以为你<color=yellow>每天获得%s经验<color>。<enter><enter>已为您积攒了<color=yellow>%s经验<color><enter><color=red>（只有当累计到最大值才可以领取奖励，每天限领取一次）<color>	美女为你额外增加[%s经验]	这鬼天气这么热，奴家的妆都花了！	看什么看，没见过这么美的美女吗？	俗话说只有懒女人没有丑女人，其实我也这么想	邻村的马大哥又来跟我爹提亲了，真是烦恼	这位小哥，生的真是俊呐！						美女累积的经验量：%s / %s
