Name	Desc	Id	Title	Kind	Camp	Treasure	Portrait	ClientOnly	CorpseIdx	NpcResType	ArmorType	HelmType	WeaponType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	AttackFrame	ClassName	AIParam	SkillParam	PropParam	ScriptParam	WalkSpeed	RunSpeed	VisionRadius	ActiveRadius	ReviveFrame	DropRateFile	AIMaxTime	HeadPic	NoBoss	BloodType	LastAttackCalcType	AssignMode
杨瑛	杨瑛_[坐舰]	1		3	5	2				passerby062	0	0	0	0	0	36	36	20	11	10	20	yangying		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby062.spr	1			
杨铁心	杨铁心_[坐舰非战]	2		3	5	2				enemy006	0	0	0	0	0	36	36	20	11	10	20	yangtiexin		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy006.spr	1			
杨铁心	杨铁心_[坐舰3层]	3		3	5	2				enemy006	0	0	0	0	0	36	36	20	11	10	20	yangtiexin		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy006.spr	1			
杨铁心	杨铁心_[行营]	4		3	5	2				enemy006	0	0	0	0	0	36	36	20	11	10	20	yangtiexin		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy006.spr	1			
季叔班	季叔班_[坐舰]	5		3	5	2				enemy004	0	0	0	0	0	36	36	20	11	10	20	jishuban		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy004.spr	1			
季叔班	季叔班_[行营]	6		3	5	2				enemy004	0	0	0	0	0	36	36	20	11	10	20	jishuban		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy004.spr	1			
季叔班	季叔班_[天王]	7		3	5	2				enemy004	0	0	0	0	0	36	36	20	11	10	20	jishuban		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy004.spr	1			
结绳码头船夫	结绳码头船夫	8	<color=green>战舰接引人<color>	3	5	2				passerby010	0	0	0	0	0	36	36	20	11	10	20	chuanfu		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby010.spr	1			
秦公尺	秦公尺	9		0	5	1				enemy116	0	0	0	0	0	24	26	20	10	20	27		passiveflee	fleeskillmelee	intensity2	sc	7	7	400	700	36		18	\image\item\other\sculpt\enemy016.spr	1	3		
黎越	黎越	10		0	5	1				enemy002	0	0	0	0	0	24	26	20	10	20	27		passivenormal	singleskillfist	intensity2	sc	7	7	400	700	36		18	\image\item\other\sculpt\enemy072.spr	1	3		
刘墨	刘墨	11		0	5	1				enemy127	0	0	0	0	0	24	26	20	10	20	27		passivenormal	singleskillfist	intensity2	sc	7	7	400	700	36		18	\image\item\other\sculpt\enemy078.spr	1	3		
裴翼飞	裴翼飞_[行营]	12		3	5	2				enemy005	0	0	0	0	0	36	36	20	11	10	20	peiyifei1		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy001.spr	1			
裘止水	裘止水_[行营]	13		3	5	2				enemy040	0	0	0	0	0	36	36	20	11	10	20	qiuzhishui		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy040.spr	1			
成都分舵弟子	成都分舵弟子	14		3	5	2				passerby016	0	0	0	0	0	36	36	20	11	10	20	chengdufenduodizi		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby016.spr	1			
花子李泉	花子李泉	15		3	5	2				passerby114	0	0	0	0	0	36	36	20	11	10	20	huaziliquan		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby114.spr	1			
冷血杀手	冷血杀手_[行营]	16	红狼	0	5	1				enemy120	0	0	0	0	0	24	26	20	10	20	27		activenormal	singleskillrange	intensity3	sc	12	7	600	900	900		18	\image\item\other\sculpt\enemy046.spr	1	2		
韩侂胄	韩侂胄_[行营非战]	17		3	5	2				enemy157	0	0	0	0	0	36	36	20	11	10	20	hantuozhou		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy157.spr	1			
卢笑贫	卢笑贫_[行营]	18		3	5	2				enemy022	0	0	0	0	0	36	36	20	11	10	20	luxiaopin		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy022.spr	1			
劲装帮众	劲装帮众	19		3	5	2				enemy037	0	0	0	0	0	36	36	20	11	10	20	jinzhuangbangzhong		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy037.spr	1			
韩侂胄	韩侂胄_[行营战]	20		0	0	1				enemy157	0	0	0	0	0	24	26	20	10	20	20		passivenormal	singleskillmidrange	fellow1	sc	7	7	300	700	450		18	\image\item\other\sculpt\enemy157.spr	1			
韩侂胄护卫	韩侂胄护卫_[行营]	21		3	5	2				passerby073	0	0	0	0	0	36	36	20	11	10	20	hantuozhouhuwei		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy037.spr	1			
冷月使	冷月使	22		0	5	2				enemy111	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillsword	intensity3	sc	15	7	600	900	90		18	\image\item\other\sculpt\enemy111.spr	1	2		
炎阳使	炎阳使	23		0	5	2				enemy110	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillsword	intensity3	sc	9	7	600	900	90		18	\image\item\other\sculpt\enemy110.spr	1	2		
杀手统领	杀手统领_[行营]	24		0	5	2				enemy116	0	0	0	0	0	36	36	20	11	10	20		activeflee	fleeskillrange	intensity1	sc	12	7	600	900	90		18	\image\item\other\sculpt\enemy047.spr	1	3		
盐帮长老	盐帮长老	25	斩铁刀	0	5	2				enemy073	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillrange	intensity3	sc	12	7	600	900	90		18	\image\item\other\sculpt\enemy090.spr	1	2		
大内总管	大内总管_[行营]	26		0	5	2				enemy079	0	0	0	0	0	36	36	20	11	10	20		activenormal	singleskillfist	intensity2	sc	12	7	600	900	900		18	\image\item\other\sculpt\enemy061.spr	1	3		
宋军刀兵	宋军刀兵_[行营]	27		0	5	2				enemy081	0	0	0	0	0	36	36	20	11	10	27		passivenormal	singleskillsword	intensity0	sc	7	7	300	700	18		18	\image\item\other\sculpt\enemy081.spr	1			
宋军统领刘阔	宋军统领刘阔	28		0	5	2				enemy084	0	0	0	0	0	36	36	20	11	10	27		activenormal	singleskillmidrange	intensity3	sc	12	7	600	900	36		18	\image\item\other\sculpt\enemy086.spr	1	3		
渔夫	渔夫_[行营]	29		3	5	2				passerby010	0	0	0	0	0	36	36	20	11	10	27	yufu		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\passerby010.spr	1			
石轩辕	石轩辕_[礼场]	30		3	5	2				enemy042	0	0	0	0	0	36	36	20	11	10	27	shixuanyuan1		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy042.spr	1			
裘止水	裘止水_[礼场]	31		3	5	2				enemy040	0	0	0	0	0	36	36	20	11	10	27	qiuzhishui		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy040.spr	1			
罗锋	罗锋_[礼场]	32		3	5	2				enemy041	0	0	0	0	0	36	36	20	11	10	27	luofeng		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy041.spr	1			
崆峒派门人	崆峒派门人	33		3	5	2				passerby074	0	0	0	0	0	36	36	20	11	10	27	kongtongpaimenren		sk	pp	sc	6	6	400	700	510		18	\image\item\other\sculpt\enemy064.spr	1			
青城派门人	青城派门人	34		3	5	2				passerby047	0	0	0	0	0	36	36	20	11	10	27	qingchengpaimenren		sk	pp	sc	6	6	400	700	510		18		1			
