ID	ImageName	Des
1	image\effect\other\guanxian_title_1a.spr	知事
2	image\effect\other\guanxian_title_2a.spr	司马
3	image\effect\other\guanxian_title_3a.spr	太守
4	image\effect\other\guanxian_title_4a.spr	少卿
5	image\effect\other\guanxian_title_5a.spr	上卿
6	image\effect\other\guanxian_title_6a.spr	国公
7	image\effect\other\guanxian_title_7a.spr	丞相
8	image\effect\other\guanxian_title_8a.spr	皇帝
9	\image\ui\002a\queuebadge\EM01_1.spr	1级家族徽章
10	\image\ui\002a\queuebadge\EM02_1.spr	1级家族徽章
11	\image\ui\002a\queuebadge\EM03_1.spr	1级家族徽章
12	\image\ui\002a\queuebadge\EM04_1.spr	1级家族徽章
13	\image\ui\002a\queuebadge\EM05_1.spr	1级家族徽章
14	\image\ui\002a\queuebadge\EM06_1.spr	1级家族徽章
15	\image\ui\002a\queuebadge\EM07_1.spr	1级家族徽章
16	\image\ui\002a\queuebadge\EM08_1.spr	1级家族徽章
17	\image\ui\002a\queuebadge\EM09_1.spr	1级家族徽章
18	\image\ui\002a\queuebadge\EM10_1.spr	1级家族徽章
19	\image\ui\002a\queuebadge\EM11_1.spr	1级家族徽章
20	\image\ui\002a\queuebadge\EM12_1.spr	1级家族徽章
21	\image\ui\002a\queuebadge\EM13_1.spr	1级家族徽章
22	\image\ui\002a\queuebadge\EM14_1.spr	1级家族徽章
23	\image\ui\002a\queuebadge\EM15_1.spr	1级家族徽章
24	\image\ui\002a\queuebadge\EM16_1.spr	1级家族徽章
25	\image\ui\002a\queuebadge\EM17_1.spr	1级家族徽章
26	\image\ui\002a\queuebadge\EM18_1.spr	1级家族徽章
27	\image\ui\002a\queuebadge\EM19_1.spr	1级家族徽章
28	\image\ui\002a\queuebadge\EM20_1.spr	1级家族徽章
29	\image\ui\002a\queuebadge\EM21_1.spr	1级家族徽章
30	\image\ui\002a\queuebadge\EM22_1.spr	1级家族徽章
31	\image\ui\002a\queuebadge\EM23_1.spr	1级家族徽章
32	\image\ui\002a\queuebadge\EM24_1.spr	1级家族徽章
33	\image\ui\002a\queuebadge\EM25_1.spr	1级家族徽章
34	\image\ui\002a\queuebadge\EM26_1.spr	1级家族徽章
35	\image\ui\002a\queuebadge\EM27_1.spr	1级家族徽章
36	\image\ui\002a\queuebadge\EM28_1.spr	1级家族徽章
37	\image\ui\002a\queuebadge\EM29_1.spr	1级家族徽章
38	\image\ui\002a\queuebadge\EM30_1.spr	1级家族徽章
39	\image\ui\002a\queuebadge\EM01_2.spr	2级家族徽章
40	\image\ui\002a\queuebadge\EM02_2.spr	2级家族徽章
41	\image\ui\002a\queuebadge\EM03_2.spr	2级家族徽章
42	\image\ui\002a\queuebadge\EM04_2.spr	2级家族徽章
43	\image\ui\002a\queuebadge\EM05_2.spr	2级家族徽章
44	\image\ui\002a\queuebadge\EM06_2.spr	2级家族徽章
45	\image\ui\002a\queuebadge\EM07_2.spr	2级家族徽章
46	\image\ui\002a\queuebadge\EM08_2.spr	2级家族徽章
47	\image\ui\002a\queuebadge\EM09_2.spr	2级家族徽章
48	\image\ui\002a\queuebadge\EM10_2.spr	2级家族徽章
49	\image\ui\002a\queuebadge\EM11_2.spr	2级家族徽章
50	\image\ui\002a\queuebadge\EM12_2.spr	2级家族徽章
51	\image\ui\002a\queuebadge\EM13_2.spr	2级家族徽章
52	\image\ui\002a\queuebadge\EM14_2.spr	2级家族徽章
53	\image\ui\002a\queuebadge\EM15_2.spr	2级家族徽章
54	\image\ui\002a\queuebadge\EM16_2.spr	2级家族徽章
55	\image\ui\002a\queuebadge\EM17_2.spr	2级家族徽章
56	\image\ui\002a\queuebadge\EM18_2.spr	2级家族徽章
57	\image\ui\002a\queuebadge\EM19_2.spr	2级家族徽章
58	\image\ui\002a\queuebadge\EM20_2.spr	2级家族徽章
59	\image\ui\002a\queuebadge\EM21_2.spr	2级家族徽章
60	\image\ui\002a\queuebadge\EM22_2.spr	2级家族徽章
61	\image\ui\002a\queuebadge\EM23_2.spr	2级家族徽章
62	\image\ui\002a\queuebadge\EM24_2.spr	2级家族徽章
63	\image\ui\002a\queuebadge\EM25_2.spr	2级家族徽章
64	\image\ui\002a\queuebadge\EM26_2.spr	2级家族徽章
65	\image\ui\002a\queuebadge\EM27_2.spr	2级家族徽章
66	\image\ui\002a\queuebadge\EM28_2.spr	2级家族徽章
67	\image\ui\002a\queuebadge\EM29_2.spr	2级家族徽章
68	\image\ui\002a\queuebadge\EM30_2.spr	2级家族徽章
69	\image\ui\002a\queuebadge\EM01_3.spr	3级家族徽章
70	\image\ui\002a\queuebadge\EM02_3.spr	3级家族徽章
71	\image\ui\002a\queuebadge\EM03_3.spr	3级家族徽章
72	\image\ui\002a\queuebadge\EM04_3.spr	3级家族徽章
73	\image\ui\002a\queuebadge\EM05_3.spr	3级家族徽章
74	\image\ui\002a\queuebadge\EM06_3.spr	3级家族徽章
75	\image\ui\002a\queuebadge\EM07_3.spr	3级家族徽章
76	\image\ui\002a\queuebadge\EM08_3.spr	3级家族徽章
77	\image\ui\002a\queuebadge\EM09_3.spr	3级家族徽章
78	\image\ui\002a\queuebadge\EM10_3.spr	3级家族徽章
79	\image\ui\002a\queuebadge\EM11_3.spr	3级家族徽章
80	\image\ui\002a\queuebadge\EM12_3.spr	3级家族徽章
81	\image\ui\002a\queuebadge\EM13_3.spr	3级家族徽章
82	\image\ui\002a\queuebadge\EM14_3.spr	3级家族徽章
83	\image\ui\002a\queuebadge\EM15_3.spr	3级家族徽章
84	\image\ui\002a\queuebadge\EM16_3.spr	3级家族徽章
85	\image\ui\002a\queuebadge\EM17_3.spr	3级家族徽章
86	\image\ui\002a\queuebadge\EM18_3.spr	3级家族徽章
87	\image\ui\002a\queuebadge\EM19_3.spr	3级家族徽章
88	\image\ui\002a\queuebadge\EM20_3.spr	3级家族徽章
89	\image\ui\002a\queuebadge\EM21_3.spr	3级家族徽章
90	\image\ui\002a\queuebadge\EM22_3.spr	3级家族徽章
91	\image\ui\002a\queuebadge\EM23_3.spr	3级家族徽章
92	\image\ui\002a\queuebadge\EM24_3.spr	3级家族徽章
93	\image\ui\002a\queuebadge\EM25_3.spr	3级家族徽章
94	\image\ui\002a\queuebadge\EM26_3.spr	3级家族徽章
95	\image\ui\002a\queuebadge\EM27_3.spr	3级家族徽章
96	\image\ui\002a\queuebadge\EM28_3.spr	3级家族徽章
