Id	Index	Class	Level	Desc	Value	Type	Param1	Param2	Effect
ID	细类id	奖励类别，1免费奖励，2收费奖励	获取等级	描述	价值量单位：元	物品类型	奖励1	奖励2	是否需要加高亮
1	1	1	10	鞋子	1	CustomEquip	25		
1	2	1	10	护身符	1	CustomEquip	26		
1	3	1	10	腰坠	2	CustomEquip	27		
1	4	1	10	腰带	1	CustomEquip	28		
1	5	1	10	福袋	20	Item	18,1,80,1,1	18,1,80,1,1	
1	6	1	10	绑银	5	BindMoney	10000		
2	1	1	15	戒指	2	CustomEquip	29		
2	3	1	15	帽子	2	CustomEquip	30		
2	4	1	15	福袋	20	Item	18,1,80,1,1	18,1,80,1,1	
2	5	1	15	银两钱袋	1	Item	18,1,1525,1,1	18,1,1525,1,1	
2	6	1	15	绑银	15	BindMoney	30000		
3	1	1	20	护身符	2	CustomEquip	85		
3	2	1	20	腰坠	2	CustomEquip	86		
3	3	1	20	福袋*2	40	Item	18,1,80,1,2	18,1,80,1,2	
3	4	1	20	菜-素竹炒肉*2	1	Item	19,3,1,1,2	19,3,1,1,2	
3	5	1	20	6格背包	10	Item	21,2,1,1,1	21,2,1,1,1	
3	6	1	20	绑银40000	20	BindMoney	40000		
3	7	1	20	新手回血丹·箱	5	Item	18,1,1791,1,1	18,1,1791,1,1	
4	1	1	25	戒指	2	CustomEquip	87		
4	2	1	25	项链	1	CustomEquip	88		
4	3	1	25	帽子	1	CustomEquip	89		
4	4	1	25	银两钱袋	1	Item	18,1,1525,1,1	18,1,1525,1,1	
4	5	1	25	福袋*2	40	Item	18,1,80,1,2	18,1,80,1,2	
4	6	1	25	绑银70000	35	BindMoney	70000		
4	7	1	25	无线传送符	40	Item	18,1,195,1,1,1,10080	18,1,195,1,1,1,10080	
5	1	1	30	武器	24	CustomEquip	81		
5	2	1	30	绑金1000	100	BindCoin	1000		
5	3	1	30	大白驹丸*2	35	Item	18,1,71,2,2	18,1,71,2,2	
5	4	1	30	银两钱袋	1	Item	18,1,1525,3,1	18,1,1525,3,1	
5	5	1	30	福袋*2	40	Item	18,1,80,1,2	18,1,80,1,2	
5	6	1	30	绑银100000	50	BindMoney	100000		
6	1	1	40	绑银120000	60	BindMoney	120000		
6	2	1	40	银两钱袋	4	Item	18,1,1525,4,1	18,1,1525,4,1	
6	3	1	40	大白驹丸*2	36	Item	18,1,71,2,2	18,1,71,2,2	
6	4	1	40	6级玄晶*2	140	Item	18,1,114,6,2	18,1,114,6,2	
6	5	1	40	情·红色挚爱	60	Item	18,1,1655,1,1	18,1,1655,1,1	
6	6	1	40	绑金1000	100	BindCoin	1000		
7	1	1	50	绑金2500	250	BindCoin	2500		
7	2	1	50	7级玄晶*1	230	Item	18,1,114,7,1	18,1,114,7,1	
7	3	1	50	7级玄晶优惠券*3	450	Item	18,1,394,1,3	18,1,394,1,3	
7	4	1	50	初级祈福令牌*1	190	Item	18,1,212,1,1	18,1,212,1,1	
7	5	1	50	乾坤符	20	Item	18,1,85,1,1	18,1,85,1,1	
7	6	1	50	银两钱袋	10	Item	18,1,1525,5,1	18,1,1525,5,1	
7	7	1	50	12格背包	70	Item	21,5,1,1,1	21,5,1,1,1	
7	8	2	50	防具+8优惠券	180	Item	18,1,1796,1,1	18,1,1796,1,1	7
7	9	2	50	绑金2500	250	BindCoin	2500		
8	1	1	60	武器	200	CustomEquip	40		
8	2	1	60	神秘缰绳（10天）	300	Item	18,1,1798,1,1,1,14400	18,1,1798,1,1,1,14400	
8	3	1	60	初级祈福令牌*2	380	Item	18,1,212,1,2	18,1,212,1,2	
8	4	1	60	武器+8优惠券	700	Item	18,1,1496,1,1	18,1,1496,1,1	7
8	5	1	60	绑金3000	300	BindCoin	3000		
8	6	2	60	秘境礼包*1	330	Item	18,1,1804,1,1,1,43200	18,1,1804,1,1,1,43200	
