EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
horse00																																											..\male\ma_001_ht_rs01.spr	..\male\ma_001_ht_rs01.spr	..\male\ma_001_ht_rs01.spr	..\male\ma_001_ht_rw.spr	..\male\ma_001_ht_rr.spr	..\male\ma_001_ht_ra01.spr	..\male\ma_001_ht_ra02.spr	..\male\ma_001_ht_rm.spr	..\male\ma_001_ht_rb.spr	..\male\ma_001_ht_rd.spr
horse01																																											..\male\ma_001_ht_rs01.spr	..\male\ma_001_ht_rs01.spr	..\male\ma_001_ht_rs01.spr	..\male\ma_001_ht_rw.spr	..\male\ma_001_ht_rr.spr	..\male\ma_001_ht_ra01.spr	..\male\ma_001_ht_ra02.spr	..\male\ma_001_ht_rm.spr	..\male\ma_001_ht_rb.spr	..\male\ma_001_ht_rd.spr
horse02																																											..\male\ma_002_ht_rs01.spr	..\male\ma_002_ht_rs01.spr	..\male\ma_002_ht_rs01.spr	..\male\ma_002_ht_rw.spr	..\male\ma_002_ht_rr.spr	..\male\ma_002_ht_ra01.spr	..\male\ma_002_ht_ra02.spr	..\male\ma_002_ht_rm.spr	..\male\ma_002_ht_rb.spr	..\male\ma_002_ht_rd.spr
horse03																																											..\male\ma_003_ht_rs01.spr	..\male\ma_003_ht_rs01.spr	..\male\ma_003_ht_rs01.spr	..\male\ma_003_ht_rw.spr	..\male\ma_003_ht_rr.spr	..\male\ma_003_ht_ra01.spr	..\male\ma_003_ht_ra02.spr	..\male\ma_003_ht_rm.spr	..\male\ma_003_ht_rb.spr	..\male\ma_003_ht_rd.spr
horse04																																											..\male\ma_004_ht_rs01.spr	..\male\ma_004_ht_rs01.spr	..\male\ma_004_ht_rs01.spr	..\male\ma_004_ht_rw.spr	..\male\ma_004_ht_rr.spr	..\male\ma_004_ht_ra01.spr	..\male\ma_004_ht_ra02.spr	..\male\ma_004_ht_rm.spr	..\male\ma_004_ht_rb.spr	..\male\ma_004_ht_rd.spr
horse05																																											..\male\ma_005_ht_rs01.spr	..\male\ma_005_ht_rs01.spr	..\male\ma_005_ht_rs01.spr	..\male\ma_005_ht_rw.spr	..\male\ma_005_ht_rr.spr	..\male\ma_005_ht_ra01.spr	..\male\ma_005_ht_ra02.spr	..\male\ma_005_ht_rm.spr	..\male\ma_005_ht_rb.spr	..\male\ma_005_ht_rd.spr
horse06																																											..\male\ma_006_ht_rs01.spr	..\male\ma_006_ht_rs01.spr	..\male\ma_006_ht_rs01.spr	..\male\ma_006_ht_rw.spr	..\male\ma_006_ht_rr.spr	..\male\ma_006_ht_ra01.spr	..\male\ma_006_ht_ra02.spr	..\male\ma_006_ht_rm.spr	..\male\ma_006_ht_rb.spr	..\male\ma_006_ht_rd.spr
horse07																																											..\male\ma_007_ht_rs01.spr	..\male\ma_007_ht_rs01.spr	..\male\ma_007_ht_rs01.spr	..\male\ma_007_ht_rw.spr	..\male\ma_007_ht_rr.spr	..\male\ma_007_ht_ra01.spr	..\male\ma_007_ht_ra02.spr	..\male\ma_007_ht_rm.spr	..\male\ma_007_ht_rb.spr	..\male\ma_007_ht_rd.spr
horse08																																											..\male\ma_008_ht_rs01.spr	..\male\ma_008_ht_rs01.spr	..\male\ma_008_ht_rs01.spr	..\male\ma_008_ht_rw.spr	..\male\ma_008_ht_rr.spr	..\male\ma_008_ht_ra01.spr	..\male\ma_008_ht_ra02.spr	..\male\ma_008_ht_rm.spr	..\male\ma_008_ht_rb.spr	..\male\ma_008_ht_rd.spr
horse09																																											..\male\ma_009_ht_rs01.spr	..\male\ma_009_ht_rs01.spr	..\male\ma_009_ht_rs01.spr	..\male\ma_009_ht_rw.spr	..\male\ma_009_ht_rr.spr	..\male\ma_009_ht_ra01.spr	..\male\ma_009_ht_ra02.spr	..\male\ma_009_ht_rm.spr	..\male\ma_009_ht_rb.spr	..\male\ma_009_ht_rd.spr
