EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
horse00																																											..\male\ma_001_hh_rs01.spr	..\male\ma_001_hh_rs01.spr	..\male\ma_001_hh_rs01.spr	..\male\ma_001_hh_rw.spr	..\male\ma_001_hh_rr.spr	..\male\ma_001_hh_ra01.spr	..\male\ma_001_hh_ra02.spr	..\male\ma_001_hh_rm.spr	..\male\ma_001_hh_rb.spr	..\male\ma_001_hh_rd.spr
horse01																																											..\male\ma_001_hh_rs01.spr	..\male\ma_001_hh_rs01.spr	..\male\ma_001_hh_rs01.spr	..\male\ma_001_hh_rw.spr	..\male\ma_001_hh_rr.spr	..\male\ma_001_hh_ra01.spr	..\male\ma_001_hh_ra02.spr	..\male\ma_001_hh_rm.spr	..\male\ma_001_hh_rb.spr	..\male\ma_001_hh_rd.spr
horse02																																											..\male\ma_002_hh_rs01.spr	..\male\ma_002_hh_rs01.spr	..\male\ma_002_hh_rs01.spr	..\male\ma_002_hh_rw.spr	..\male\ma_002_hh_rr.spr	..\male\ma_002_hh_ra01.spr	..\male\ma_002_hh_ra02.spr	..\male\ma_002_hh_rm.spr	..\male\ma_002_hh_rb.spr	..\male\ma_002_hh_rd.spr
horse03																																											..\male\ma_003_hh_rs01.spr	..\male\ma_003_hh_rs01.spr	..\male\ma_003_hh_rs01.spr	..\male\ma_003_hh_rw.spr	..\male\ma_003_hh_rr.spr	..\male\ma_003_hh_ra01.spr	..\male\ma_003_hh_ra02.spr	..\male\ma_003_hh_rm.spr	..\male\ma_003_hh_rb.spr	..\male\ma_003_hh_rd.spr
horse04																																											..\male\ma_004_hh_rs01.spr	..\male\ma_004_hh_rs01.spr	..\male\ma_004_hh_rs01.spr	..\male\ma_004_hh_rw.spr	..\male\ma_004_hh_rr.spr	..\male\ma_004_hh_ra01.spr	..\male\ma_004_hh_ra02.spr	..\male\ma_004_hh_rm.spr	..\male\ma_004_hh_rb.spr	..\male\ma_004_hh_rd.spr
horse05																																											..\male\ma_005_hh_rs01.spr	..\male\ma_005_hh_rs01.spr	..\male\ma_005_hh_rs01.spr	..\male\ma_005_hh_rw.spr	..\male\ma_005_hh_rr.spr	..\male\ma_005_hh_ra01.spr	..\male\ma_005_hh_ra02.spr	..\male\ma_005_hh_rm.spr	..\male\ma_005_hh_rb.spr	..\male\ma_005_hh_rd.spr
horse06																																											..\male\ma_006_hh_rs01.spr	..\male\ma_006_hh_rs01.spr	..\male\ma_006_hh_rs01.spr	..\male\ma_006_hh_rw.spr	..\male\ma_006_hh_rr.spr	..\male\ma_006_hh_ra01.spr	..\male\ma_006_hh_ra02.spr	..\male\ma_006_hh_rm.spr	..\male\ma_006_hh_rb.spr	..\male\ma_006_hh_rd.spr
horse07																																											..\male\ma_007_hh_rs01.spr	..\male\ma_007_hh_rs01.spr	..\male\ma_007_hh_rs01.spr	..\male\ma_007_hh_rw.spr	..\male\ma_007_hh_rr.spr	..\male\ma_007_hh_ra01.spr	..\male\ma_007_hh_ra02.spr	..\male\ma_007_hh_rm.spr	..\male\ma_007_hh_rb.spr	..\male\ma_007_hh_rd.spr
horse08																																											..\male\ma_008_hh_rs01.spr	..\male\ma_008_hh_rs01.spr	..\male\ma_008_hh_rs01.spr	..\male\ma_008_hh_rw.spr	..\male\ma_008_hh_rr.spr	..\male\ma_008_hh_ra01.spr	..\male\ma_008_hh_ra02.spr	..\male\ma_008_hh_rm.spr	..\male\ma_008_hh_rb.spr	..\male\ma_008_hh_rd.spr
horse09																																											..\male\ma_009_hh_rs01.spr	..\male\ma_009_hh_rs01.spr	..\male\ma_009_hh_rs01.spr	..\male\ma_009_hh_rw.spr	..\male\ma_009_hh_rr.spr	..\male\ma_009_hh_ra01.spr	..\male\ma_009_hh_ra02.spr	..\male\ma_009_hh_rm.spr	..\male\ma_009_hh_rb.spr	..\male\ma_009_hh_rd.spr
