EqName	FreeNormalStand	FreeSpecialStand	FreeFightStand	MeleeWNormalStand	MeleeWSpecialStand	MeleeWFightStand	RangeWNormalStand	RangeWSpecialStand	RangeWFightStand	DoubleWNormalStand	DoubleWSpecialStand	DoubleWFightStand	FreeWalk	MeleeWWalk	RangeWWalk	DoubleWWalk	FreeRun	MeleeWRun	RangeWRun	DoubleWRun	FreeWound	MeleeWWound	RangeWWound	DoubleWWound	FreeDie	MeleeWDie	RangeWDie	DoubleWDie	FreeAttack	DartThrow	MeleeWPuncture	MeleeWCut	RangeWPuncture	RangeWCut	DoubleWPull	DoubleWPound	FreeMagic	MeleeWMagic	RangeWMagic	DoubleWMagic	SitDown	JumpFly	RideNormalStand	RideSepcialStand	RideFightStand	RideWalk	RideRun	RidePuncture	RideCut	RideMagic	RideWound	RideDie
armor00	ma_000_bd_es02.spr	ma_000_bd_es02.spr	ma_000_bd_es01.spr	ma_000_bd_ss02.spr	ma_000_bd_ss01.spr	ma_000_bd_ss01.spr	ma_000_bd_ls02.spr	ma_000_bd_ls01.spr	ma_000_bd_ls01.spr	ma_000_bd_ds02.spr	ma_000_bd_ds01.spr	ma_000_bd_ds01.spr	ma_000_bd_ew.spr	ma_000_bd_sw.spr	ma_000_bd_lw.spr	ma_000_bd_dw.spr	ma_000_bd_er.spr	ma_000_bd_sr.spr	ma_000_bd_lr.spr	ma_000_bd_dr.spr	ma_000_bd_eb.spr	ma_000_bd_sb.spr	ma_000_bd_lb.spr	ma_000_bd_db.spr	ma_000_bd_ed.spr	ma_000_bd_sd.spr	ma_000_bd_ld.spr	ma_000_bd_dd.spr	ma_000_bd_ea01.spr	ma_000_bd_ea02.spr	ma_000_bd_sa01.spr	ma_000_bd_sa02.spr	ma_000_bd_la01.spr	ma_000_bd_la02.spr	ma_000_bd_da01.spr	ma_000_bd_da02.spr	ma_000_bd_em.spr	ma_000_bd_sm.spr	ma_000_bd_lm.spr	ma_000_bd_dm.spr	ma_000_bd_zz.spr	ma_000_bd_jp.spr	ma_000_bd_rs01.spr	ma_000_bd_rs01.spr	ma_000_bd_rs01.spr	ma_000_bd_rw.spr	ma_000_bd_rr.spr	ma_000_bd_ra01.spr	ma_000_bd_ra02.spr	ma_000_bd_rm.spr	ma_000_bd_rb.spr	ma_000_bd_rd.spr
armor01	ma_001_bd_es02.spr	ma_001_bd_es02.spr	ma_001_bd_es01.spr	ma_001_bd_ss02.spr	ma_001_bd_ss01.spr	ma_001_bd_ss01.spr	ma_001_bd_ls02.spr	ma_001_bd_ls01.spr	ma_001_bd_ls01.spr	ma_001_bd_ds02.spr	ma_001_bd_ds01.spr	ma_001_bd_ds01.spr	ma_001_bd_ew.spr	ma_001_bd_sw.spr	ma_001_bd_lw.spr	ma_001_bd_dw.spr	ma_001_bd_er.spr	ma_001_bd_sr.spr	ma_001_bd_lr.spr	ma_001_bd_dr.spr	ma_001_bd_eb.spr	ma_001_bd_sb.spr	ma_001_bd_lb.spr	ma_001_bd_db.spr	ma_001_bd_ed.spr	ma_001_bd_sd.spr	ma_001_bd_ld.spr	ma_001_bd_dd.spr	ma_001_bd_ea01.spr	ma_001_bd_ea02.spr	ma_001_bd_sa01.spr	ma_001_bd_sa02.spr	ma_001_bd_la01.spr	ma_001_bd_la02.spr	ma_001_bd_da01.spr	ma_001_bd_da02.spr	ma_001_bd_em.spr	ma_001_bd_sm.spr	ma_001_bd_lm.spr	ma_001_bd_dm.spr	ma_001_bd_zz.spr	ma_001_bd_jp.spr	ma_001_bd_rs01.spr	ma_001_bd_rs01.spr	ma_001_bd_rs01.spr	ma_001_bd_rw.spr	ma_001_bd_rr.spr	ma_001_bd_ra01.spr	ma_001_bd_ra02.spr	ma_001_bd_rm.spr	ma_001_bd_rb.spr	ma_001_bd_rd.spr
armor02	ma_002_bd_es02.spr	ma_002_bd_es02.spr	ma_002_bd_es01.spr	ma_002_bd_ss02.spr	ma_002_bd_ss01.spr	ma_002_bd_ss01.spr	ma_002_bd_ls02.spr	ma_002_bd_ls01.spr	ma_002_bd_ls01.spr	ma_002_bd_ds02.spr	ma_002_bd_ds01.spr	ma_002_bd_ds01.spr	ma_002_bd_ew.spr	ma_002_bd_sw.spr	ma_002_bd_lw.spr	ma_002_bd_dw.spr	ma_002_bd_er.spr	ma_002_bd_sr.spr	ma_002_bd_lr.spr	ma_002_bd_dr.spr	ma_002_bd_eb.spr	ma_002_bd_sb.spr	ma_002_bd_lb.spr	ma_002_bd_db.spr	ma_002_bd_ed.spr	ma_002_bd_sd.spr	ma_002_bd_ld.spr	ma_002_bd_dd.spr	ma_002_bd_ea01.spr	ma_002_bd_ea02.spr	ma_002_bd_sa01.spr	ma_002_bd_sa02.spr	ma_002_bd_la01.spr	ma_002_bd_la02.spr	ma_002_bd_da01.spr	ma_002_bd_da02.spr	ma_002_bd_em.spr	ma_002_bd_sm.spr	ma_002_bd_lm.spr	ma_002_bd_dm.spr	ma_002_bd_zz.spr	ma_002_bd_jp.spr	ma_002_bd_rs01.spr	ma_002_bd_rs01.spr	ma_002_bd_rs01.spr	ma_002_bd_rw.spr	ma_002_bd_rr.spr	ma_002_bd_ra01.spr	ma_002_bd_ra02.spr	ma_002_bd_rm.spr	ma_002_bd_rb.spr	ma_002_bd_rd.spr
armor03	ma_003_bd_es02.spr	ma_003_bd_es02.spr	ma_003_bd_es01.spr	ma_003_bd_ss02.spr	ma_003_bd_ss01.spr	ma_003_bd_ss01.spr	ma_003_bd_ls02.spr	ma_003_bd_ls01.spr	ma_003_bd_ls01.spr	ma_003_bd_ds02.spr	ma_003_bd_ds01.spr	ma_003_bd_ds01.spr	ma_003_bd_ew.spr	ma_003_bd_sw.spr	ma_003_bd_lw.spr	ma_003_bd_dw.spr	ma_003_bd_er.spr	ma_003_bd_sr.spr	ma_003_bd_lr.spr	ma_003_bd_dr.spr	ma_003_bd_eb.spr	ma_003_bd_sb.spr	ma_003_bd_lb.spr	ma_003_bd_db.spr	ma_003_bd_ed.spr	ma_003_bd_sd.spr	ma_003_bd_ld.spr	ma_003_bd_dd.spr	ma_003_bd_ea01.spr	ma_003_bd_ea02.spr	ma_003_bd_sa01.spr	ma_003_bd_sa02.spr	ma_003_bd_la01.spr	ma_003_bd_la02.spr	ma_003_bd_da01.spr	ma_003_bd_da02.spr	ma_003_bd_em.spr	ma_003_bd_sm.spr	ma_003_bd_lm.spr	ma_003_bd_dm.spr	ma_003_bd_zz.spr	ma_003_bd_jp.spr	ma_003_bd_rs01.spr	ma_003_bd_rs01.spr	ma_003_bd_rs01.spr	ma_003_bd_rw.spr	ma_003_bd_rr.spr	ma_003_bd_ra01.spr	ma_003_bd_ra02.spr	ma_003_bd_rm.spr	ma_003_bd_rb.spr	ma_003_bd_rd.spr
armor04	ma_004_bd_es02.spr	ma_004_bd_es02.spr	ma_004_bd_es01.spr	ma_004_bd_ss02.spr	ma_004_bd_ss01.spr	ma_004_bd_ss01.spr	ma_004_bd_ls02.spr	ma_004_bd_ls01.spr	ma_004_bd_ls01.spr	ma_004_bd_ds02.spr	ma_004_bd_ds01.spr	ma_004_bd_ds01.spr	ma_004_bd_ew.spr	ma_004_bd_sw.spr	ma_004_bd_lw.spr	ma_004_bd_dw.spr	ma_004_bd_er.spr	ma_004_bd_sr.spr	ma_004_bd_lr.spr	ma_004_bd_dr.spr	ma_004_bd_eb.spr	ma_004_bd_sb.spr	ma_004_bd_lb.spr	ma_004_bd_db.spr	ma_004_bd_ed.spr	ma_004_bd_sd.spr	ma_004_bd_ld.spr	ma_004_bd_dd.spr	ma_004_bd_ea01.spr	ma_004_bd_ea02.spr	ma_004_bd_sa01.spr	ma_004_bd_sa02.spr	ma_004_bd_la01.spr	ma_004_bd_la02.spr	ma_004_bd_da01.spr	ma_004_bd_da02.spr	ma_004_bd_em.spr	ma_004_bd_sm.spr	ma_004_bd_lm.spr	ma_004_bd_dm.spr	ma_004_bd_zz.spr	ma_004_bd_jp.spr	ma_004_bd_rs01.spr	ma_004_bd_rs01.spr	ma_004_bd_rs01.spr	ma_004_bd_rw.spr	ma_004_bd_rr.spr	ma_004_bd_ra01.spr	ma_004_bd_ra02.spr	ma_004_bd_rm.spr	ma_004_bd_rb.spr	ma_004_bd_rd.spr
armor05	ma_005_bd_es02.spr	ma_005_bd_es02.spr	ma_005_bd_es01.spr	ma_005_bd_ss02.spr	ma_005_bd_ss01.spr	ma_005_bd_ss01.spr	ma_005_bd_ls02.spr	ma_005_bd_ls01.spr	ma_005_bd_ls01.spr	ma_005_bd_ds02.spr	ma_005_bd_ds01.spr	ma_005_bd_ds01.spr	ma_005_bd_ew.spr	ma_005_bd_sw.spr	ma_005_bd_lw.spr	ma_005_bd_dw.spr	ma_005_bd_er.spr	ma_005_bd_sr.spr	ma_005_bd_lr.spr	ma_005_bd_dr.spr	ma_005_bd_eb.spr	ma_005_bd_sb.spr	ma_005_bd_lb.spr	ma_005_bd_db.spr	ma_005_bd_ed.spr	ma_005_bd_sd.spr	ma_005_bd_ld.spr	ma_005_bd_dd.spr	ma_005_bd_ea01.spr	ma_005_bd_ea02.spr	ma_005_bd_sa01.spr	ma_005_bd_sa02.spr	ma_005_bd_la01.spr	ma_005_bd_la02.spr	ma_005_bd_da01.spr	ma_005_bd_da02.spr	ma_005_bd_em.spr	ma_005_bd_sm.spr	ma_005_bd_lm.spr	ma_005_bd_dm.spr	ma_005_bd_zz.spr	ma_005_bd_jp.spr	ma_005_bd_rs01.spr	ma_005_bd_rs01.spr	ma_005_bd_rs01.spr	ma_005_bd_rw.spr	ma_005_bd_rr.spr	ma_005_bd_ra01.spr	ma_005_bd_ra02.spr	ma_005_bd_rm.spr	ma_005_bd_rb.spr	ma_005_bd_rd.spr
armor06	ma_006_bd_es02.spr	ma_006_bd_es02.spr	ma_006_bd_es01.spr	ma_006_bd_ss02.spr	ma_006_bd_ss01.spr	ma_006_bd_ss01.spr	ma_006_bd_ls02.spr	ma_006_bd_ls01.spr	ma_006_bd_ls01.spr	ma_006_bd_ds02.spr	ma_006_bd_ds01.spr	ma_006_bd_ds01.spr	ma_006_bd_ew.spr	ma_006_bd_sw.spr	ma_006_bd_lw.spr	ma_006_bd_dw.spr	ma_006_bd_er.spr	ma_006_bd_sr.spr	ma_006_bd_lr.spr	ma_006_bd_dr.spr	ma_006_bd_eb.spr	ma_006_bd_sb.spr	ma_006_bd_lb.spr	ma_006_bd_db.spr	ma_006_bd_ed.spr	ma_006_bd_sd.spr	ma_006_bd_ld.spr	ma_006_bd_dd.spr	ma_006_bd_ea01.spr	ma_006_bd_ea02.spr	ma_006_bd_sa01.spr	ma_006_bd_sa02.spr	ma_006_bd_la01.spr	ma_006_bd_la02.spr	ma_006_bd_da01.spr	ma_006_bd_da02.spr	ma_006_bd_em.spr	ma_006_bd_sm.spr	ma_006_bd_lm.spr	ma_006_bd_dm.spr	ma_006_bd_zz.spr	ma_006_bd_jp.spr	ma_006_bd_rs01.spr	ma_006_bd_rs01.spr	ma_006_bd_rs01.spr	ma_006_bd_rw.spr	ma_006_bd_rr.spr	ma_006_bd_ra01.spr	ma_006_bd_ra02.spr	ma_006_bd_rm.spr	ma_006_bd_rb.spr	ma_006_bd_rd.spr
armor07	ma_007_bd_es02.spr	ma_007_bd_es02.spr	ma_007_bd_es01.spr	ma_007_bd_ss02.spr	ma_007_bd_ss01.spr	ma_007_bd_ss01.spr	ma_007_bd_ls02.spr	ma_007_bd_ls01.spr	ma_007_bd_ls01.spr	ma_007_bd_ds02.spr	ma_007_bd_ds01.spr	ma_007_bd_ds01.spr	ma_007_bd_ew.spr	ma_007_bd_sw.spr	ma_007_bd_lw.spr	ma_007_bd_dw.spr	ma_007_bd_er.spr	ma_007_bd_sr.spr	ma_007_bd_lr.spr	ma_007_bd_dr.spr	ma_007_bd_eb.spr	ma_007_bd_sb.spr	ma_007_bd_lb.spr	ma_007_bd_db.spr	ma_007_bd_ed.spr	ma_007_bd_sd.spr	ma_007_bd_ld.spr	ma_007_bd_dd.spr	ma_007_bd_ea01.spr	ma_007_bd_ea02.spr	ma_007_bd_sa01.spr	ma_007_bd_sa02.spr	ma_007_bd_la01.spr	ma_007_bd_la02.spr	ma_007_bd_da01.spr	ma_007_bd_da02.spr	ma_007_bd_em.spr	ma_007_bd_sm.spr	ma_007_bd_lm.spr	ma_007_bd_dm.spr	ma_007_bd_zz.spr	ma_007_bd_jp.spr	ma_007_bd_rs01.spr	ma_007_bd_rs01.spr	ma_007_bd_rs01.spr	ma_007_bd_rw.spr	ma_007_bd_rr.spr	ma_007_bd_ra01.spr	ma_007_bd_ra02.spr	ma_007_bd_rm.spr	ma_007_bd_rb.spr	ma_007_bd_rd.spr
armor08	ma_008_bd_es02.spr	ma_008_bd_es02.spr	ma_008_bd_es01.spr	ma_008_bd_ss02.spr	ma_008_bd_ss01.spr	ma_008_bd_ss01.spr	ma_008_bd_ls02.spr	ma_008_bd_ls01.spr	ma_008_bd_ls01.spr	ma_008_bd_ds02.spr	ma_008_bd_ds01.spr	ma_008_bd_ds01.spr	ma_008_bd_ew.spr	ma_008_bd_sw.spr	ma_008_bd_lw.spr	ma_008_bd_dw.spr	ma_008_bd_er.spr	ma_008_bd_sr.spr	ma_008_bd_lr.spr	ma_008_bd_dr.spr	ma_008_bd_eb.spr	ma_008_bd_sb.spr	ma_008_bd_lb.spr	ma_008_bd_db.spr	ma_008_bd_ed.spr	ma_008_bd_sd.spr	ma_008_bd_ld.spr	ma_008_bd_dd.spr	ma_008_bd_ea01.spr	ma_008_bd_ea02.spr	ma_008_bd_sa01.spr	ma_008_bd_sa02.spr	ma_008_bd_la01.spr	ma_008_bd_la02.spr	ma_008_bd_da01.spr	ma_008_bd_da02.spr	ma_008_bd_em.spr	ma_008_bd_sm.spr	ma_008_bd_lm.spr	ma_008_bd_dm.spr	ma_008_bd_zz.spr	ma_008_bd_jp.spr	ma_008_bd_rs01.spr	ma_008_bd_rs01.spr	ma_008_bd_rs01.spr	ma_008_bd_rw.spr	ma_008_bd_rr.spr	ma_008_bd_ra01.spr	ma_008_bd_ra02.spr	ma_008_bd_rm.spr	ma_008_bd_rb.spr	ma_008_bd_rd.spr
armor09	ma_009_bd_es02.spr	ma_009_bd_es02.spr	ma_009_bd_es01.spr	ma_009_bd_ss02.spr	ma_009_bd_ss01.spr	ma_009_bd_ss01.spr	ma_009_bd_ls02.spr	ma_009_bd_ls01.spr	ma_009_bd_ls01.spr	ma_009_bd_ds02.spr	ma_009_bd_ds01.spr	ma_009_bd_ds01.spr	ma_009_bd_ew.spr	ma_009_bd_sw.spr	ma_009_bd_lw.spr	ma_009_bd_dw.spr	ma_009_bd_er.spr	ma_009_bd_sr.spr	ma_009_bd_lr.spr	ma_009_bd_dr.spr	ma_009_bd_eb.spr	ma_009_bd_sb.spr	ma_009_bd_lb.spr	ma_009_bd_db.spr	ma_009_bd_ed.spr	ma_009_bd_sd.spr	ma_009_bd_ld.spr	ma_009_bd_dd.spr	ma_009_bd_ea01.spr	ma_009_bd_ea02.spr	ma_009_bd_sa01.spr	ma_009_bd_sa02.spr	ma_009_bd_la01.spr	ma_009_bd_la02.spr	ma_009_bd_da01.spr	ma_009_bd_da02.spr	ma_009_bd_em.spr	ma_009_bd_sm.spr	ma_009_bd_lm.spr	ma_009_bd_dm.spr	ma_009_bd_zz.spr	ma_009_bd_jp.spr	ma_009_bd_rs01.spr	ma_009_bd_rs01.spr	ma_009_bd_rs01.spr	ma_009_bd_rw.spr	ma_009_bd_rr.spr	ma_009_bd_ra01.spr	ma_009_bd_ra02.spr	ma_009_bd_rm.spr	ma_009_bd_rb.spr	ma_009_bd_rd.spr
