Kind	Name	FactionId	RouteId	Skill10	Skill20	Skill30	Skill40	Skill50	Skill60	Skill70	Skill80	Skill90	Skill100	Skill110	Skill120	Skill130	Skill140	Skill150	LeftSkill	RightSkill
等级段(69,89,109)	名称	门派Id	路线Id	10级技能（数值20|4 表示 技能等级20 4表示技能快捷键为4）	20级技能	30级技能	40级技能	50级技能	60级技能	70级技能	80级技能	90级技能	100级技能	110级技能	120级技能	130级技能	140级技能	150级技能	左快捷键（数值50表示左快捷键放置对应的门派50级技能 填0表示不放置 右快捷键同理）	右快捷键
89	刀少林	1	1	20|4	10	10	20|6	20|3	10	20|5	10	0	0	0	0	0	0	0	50	-1
89	棍少林	1	2	20|4	10	10|5	20|6	20|3	10	20	10	0	0	0	0	0	0	0	50	-1
89	枪天王	2	1	20|4	10	10|6	20	20|3	10	20|5	10	0	0	0	0	0	0	0	50	-1
89	锤天王	2	2	20|4	10	10|6	20	20|3	10	20|5	10	0	0	0	0	0	0	0	50	-1
89	陷阱唐门	3	1	20|4	10	10|6	20	20|3	10	20|5	10	0	0	0	0	0	0	0	50	-1
89	袖箭唐门	3	2	20|4	10	10|5	20|7	20|3	10|6	20	10	0	0	0	0	0	0	0	50	-1
89	刀五毒	4	1	20|4	10	10|6	20	20|3	10|5	20|7	10	0	0	0	0	0	0	0	50	-1
89	掌五毒	4	2	20|4	10	10	20	20|3	10	20|5	10	0	0	0	0	0	0	0	50	-1
89	掌峨嵋	5	1	20|4	10	10	20	20|3	10	20	10	0	0	0	0	0	0	0	50	-1
89	辅助峨嵋	5	2	20|3	10	10|4	20	20|7	10|5	20|6	10	0	0	0	0	0	0	0	10	-1
89	剑翠烟	6	1	20|4	10	10	20|5	20|3	10	20	10	0	0	0	0	0	0	0	50	-1
89	刀翠烟	6	2	20|4	10	10|6	20|5	20|3	10	20	10	0	0	0	0	0	0	0	50	-1
89	掌丐帮	7	1	20|4	10	10	20|5	20|3	10|6	20	10	0	0	0	0	0	0	0	50	-1
89	棍丐帮	7	2	20|4	10	10	20|6	20|3	10|5	20	10	0	0	0	0	0	0	0	50	-1
89	战天忍	8	1	20|4	10	10	20	20|3	10	20|5	10	0	0	0	0	0	0	0	50	-1
89	魔天忍	8	2	20|4	10	10|5	20	20|3	10|7	20|6	10	0	0	0	0	0	0	0	50	-1
89	气武当	9	1	20|4	10	10|6	20	20|3	10|5	20|7	10	0	0	0	0	0	0	0	50	-1
