MatchId	Name	MatchOpen	MinLevel	CanJoin	CurCount	MaxCount	Guide	Award	LinkNpc	TimeLink	QALink	MatchSpr	Visible
ID	名称	活动开启	最低等级	参加限制	当前已参加次数	可允许参加的最大次数	对活动进行一些介绍	奖励说明	活动报名NPC	比赛时间的链接文件		活动图标	是否始终显示可参加
1	花灯猜谜	<% return 1;%>	<% return 30;%>	<%if me.nLevel >= 30 and me.nFaction ~= 0 then return 1; end return 0;%>	<%return "--";%>	<%return "--";%>	<bclr=blue>参加条件<bclr>：<enter>1.等级达到<color=yellow>30级<color><enter>2.已加入门派<enter><enter><bclr=blue>活动时间<bclr>：<enter>每天中午12:30~13:30	<table=0><tr=0,0,2,0,Orange><td=0,0,5,1>奖励图标</td><td=0,0,5,1>奖励名称</td><td=0,0,5,1>奖励说明</td></tr><tr=0,0,1,1,hide><td><pic=\image\icon\task\prize_expens.spr,0></td><td>经验</td><td>可获大量经验</td></tr><tr=0,0,1,1,gray><td><item=18,1,80,1></td><td>福袋</td><td>可获福袋</td></tr><tr=0,0,1,1,hide><td><pic=\image\icon\task\prize_repute.spr,0></td><td>江湖威望</td><td>可获江湖威望</td></tr></table><enter><enter>活动详情请按F12搜索“花灯猜谜”。		\setting\task\calendar\time\huadeng.txt	\setting\task\calendar\qa\huadeng.txt	image\icon\task\zhongyuan_4650.spr	<% return 1;%>
2	逍遥谷	<% return 1;%>	<% return 30;%>	<%if me.nLevel >= 30 and me.nFaction ~= 0 then return 1; end return 0;%>	<%return "--";%>	<%return XoyoGame:GetPlayerTimes(me);%>	<bclr=blue>参加条件<bclr>：<enter>1.等级达到<color=yellow>30级<color><enter>2.已加入门派<enter><enter><bclr=blue>活动时间<bclr>：<enter>每日凌晨00:00-02:00<enter>        08:00-23:00 期间<color=yellow>每半小时<color>开启一次。	<table=0><tr=0,0,2,0,Orange><td=0,0,5,1>奖励图标</td><td=0,0,5,1>奖励名称</td><td=0,0,5,1>奖励说明</td></tr><tr=0,0,1,1,hide><td><pic=\image\icon\task\prize_expens.spr,0></td><td>经验</td><td>可获得大量经验</td></tr><tr=0,0,1,1,gray><td><item=18,1,1,6></td><td>玄晶</td><td>可获大量玄晶</td></tr><tr=0,0,1,1,hide><td><pic=\image\item\equip\mask\mianju_putong.spr,0></td><td>面具</td><td>珍稀的BOSS面具</td></tr><tr=0,0,1,1,gray><td><item=18,2,1,3></td><td>鞋子炼化图</td><td>可炼化逍遥套装</td></tr><tr=0,0,1,1,hide><td><item=18,2,1,1></td><td>护腕炼化图</td><td>可炼化逍遥套装</td></tr><tr=0,0,1,1,gray><td><item=18,2,1,2></td><td>腰坠炼化图</td><td>可炼化逍遥套装</td></tr></table><enter><enter>活动详情请按F12搜索“逍遥谷”。	<link=pos:赵侃,23,1451,3074>	\setting\task\calendar\time\xoyo.txt	\setting\task\calendar\qa\xoyo.txt	image\icon\task\jiangnan_4150.spr	<% return 0;%>
3	挑战白虎堂	<% return 1;%>	<% return 50;%>	<%if me.nLevel >= 50 and me.nFaction ~= 0 then return 1; end return 0;%>	<%local nTimes = me.GetTask(2009,1);local nResult = 0;local szNowDate = GetLocalDate("%y%m%d");local nDate = math.floor(nTimes / 10);local nPKTimes = nTimes % 10;local nNowDate = tonumber(szNowDate);if (nDate == nNowDate) then nResult = nPKTimes;end return nResult;%>	3	<bclr=blue>参加条件<bclr>：<enter>1.等级达到<color=yellow>50级<color><enter>2.已加入门派<enter>3.进入<color=yellow>初级<color>白虎堂须加入<color=yellow>家族<color><enter><enter><bclr=blue>活动时间<bclr>： <enter>08:30-17:30<enter>21:30-06:30  期间每小时开启一次	<table=0><tr=0,0,2,0,Orange><td=0,0,5,1>奖励图标</td><td=0,0,5,1>奖励名称</td><td=0,0,5,1>奖励说明</td></tr><tr=0,0,1,1,hide><td><item=18,1,1,6></td><td>玄晶</td><td>可获大量玄晶</td></tr><tr=0,0,1,1,gray><td><item=2,5,250,10></td><td>项链</td><td>声望装备—项链</td></tr></table><enter><enter>活动详情请按F12搜索“挑战白虎堂”。	<link=npcpos:白虎堂护卫,city,2654>	\setting\task\calendar\time\baihutang.txt	\setting\task\calendar\qa\baihutang.txt	image\icon\task\xinan_8190.spr	<% return 0;%>
4	家族趣味竞技	<% if KGblTask.SCGetDbTaskInt(DBTASD_NEWPLATEVENT_STATE) == 1  then return 1; end return 0;%>	<% return 30;%>	<%if me.nLevel >= 30 and me.nFaction ~= 0 then return 1; end return 0;%>	<%return "--";%>	<%return "--";%>	<bclr=blue>参加条件<bclr>：<enter>1.等级达到<color=yellow>30级<color><enter>2.已加入家族<enter>3.已加入门派<enter><enter><bclr=blue>活动时间<bclr>：<enter><color=green>开放服务器同时开放<color><enter>11:00-14:00<enter>17:00-22:30每15分和45分各一场<enter><enter><bclr=blue>竞技项目<bclr>：<enter>【赛龙舟】、【打雪仗】、【守护先祖之魂】、【夜岚关】	<table=0><tr=0,0,2,0,Orange><td=0,0,5,1>奖励图标</td><td=0,0,5,1>奖励名称</td><td=0,0,5,1>奖励说明</td></tr><tr=0,0,1,1,hide><td><item=18,1,1,6></td><td>玄晶</td><td>可获得玄晶</td></tr><tr=0,0,1,1,gray><td><pic=\image\icon\task\prize_repute.spr,0></td><td>声望</td><td>可获得趣味竞技声望</td></tr><tr=0,0,1,1,hide><td><item=2,7,502,10></td><td>鞋子</td><td>声望达到可购买</td></tr></table><enter><enter>活动详情请按F12搜索“家族趣味竞技“。	<link=npcpos:晏若雪,new,3603>	\setting\task\calendar\time\quweijingji.txt	\setting\task\calendar\qa\huadeng.txt	image\icon\task\zhongyuan_4650.spr	<% return 0;%>
5	门派竞技	<% local nNowWeek = tonumber(GetLocalDate("%w")); if (nNowWeek == 2 or nNowWeek == EventManager.IVER_nSecFactionDay) then return 1; end return 0;%>	<% return 50;%>	<%if me.nLevel >= 50 and me.nFaction ~= 0 then return 1; end return 0;%>	<%return "--";%>	<%return "--";%>	<bclr=blue>参加条件<bclr>：<enter>1.等级达到<color=yellow>50级<color><enter>2.已加入门派<enter><enter><bclr=blue>活动时间<bclr>：<enter>每周二、周<% return Lib:Transfer4LenDigit2CnNum(EventManager.IVER_nSecFactionDay); %>晚上19:30开始报名，20:00正式开始，21:30结束。	<table=0><tr=0,0,2,0,Orange><td=0,0,5,1>奖励图标</td><td=0,0,5,1>奖励名称</td><td=0,0,5,1>奖励说明</td></tr><tr=0,0,1,1,hide><td><item=18,1,1,6></td><td>玄晶</td><td>可获得玄晶</td></tr><tr=0,0,1,1,gray><td><pic=\image\icon\task\prize_repute.spr,0></td><td>声望</td><td>可获得门派声望</td></tr><tr=0,0,1,1,hide><td><item=2,3,992,10></td><td>衣服</td><td>声望达到可购买</td></tr></table><enter><enter>活动详情请按F12搜索“门派竞技”。	<%local nFactionID = me.nFaction; if (nFactionID == 1) then return "<link=npcpos:少林寺主持,9,3512>"; elseif(nFactionID == 2) then return "<link=npcpos:天王帮帮主,22,3506>";elseif(nFactionID == 3) then return "<link=npcpos:唐门门主,18,3518>";elseif(nFactionID == 4) then return "<link=npcpos:五毒教教主,20,3524>"; elseif(nFactionID == 5) then return "<link=npcpos:峨眉派掌门,16,3530>";elseif(nFactionID == 6) then return "<link=npcpos:翠烟门门主,17,3536>";elseif(nFactionID == 7) then return "<link=npcpos:丐帮帮主,15,3542>";elseif(nFactionID == 8) then return "<link=npcpos:天忍教教主,10,3548>";elseif(nFactionID == 9) then return "<link=npcpos:武当客座主持,14,3554>";elseif(nFactionID == 10) then return "<link=npcpos:昆仑派掌门,12,3560>";elseif(nFactionID == 11) then return"<link=npcpos:明教教主,224,3479>";elseif(nFactionID == 12) then return "<link=npcpos:大理段氏家主,28,3500>";else return ""; end%>	\setting\task\calendar\time\menpaijingji.txt	\setting\task\calendar\qa\menpaijingji.txt	image\icon\task\jiangnan_6170.spr	<% return 0;%>
6	宋金战场	<% return 1;%>	<% return 60;%>	<%if me.nLevel >= 60 and me.nFaction ~= 0 then return 1; end return 0;%>	<%return "--";%>	<%return "--";%>	<bclr=blue>参加条件<bclr>：<enter>1.等级达到<color=yellow>60级<color><enter>2.已加入门派<enter><enter><bclr=blue>活动时间<bclr>：<enter>每天11:00-01:00 期间每2小时开启一次。提前10分钟报名，整点开始。<color=red>注意：在开放150级等级上限后的156天14:50分、20:50分不开放。<color>	<table=0><tr=0,0,2,0,Orange><td=0,0,5,1>奖励图标</td><td=0,0,5,1>奖励名称</td><td=0,0,5,1>奖励说明</td></tr><tr=0,0,1,1,hide><td><item=2,8,490,10></td><td>腰带</td><td>战场声望装备</td></tr><tr=0,0,1,1,gray><td><item=18,1,80,1></td><td>福袋</td><td>参加可获得</td></tr></table><enter><enter>活动详情请按F12搜索“宋金战场”。	<link=npcpos:宋军招募使,city,2607>|<link=npcpos:金军招募使,city,2608>	\setting\task\calendar\time\songjin.txt	\setting\task\calendar\qa\songjin.txt	image\icon\task\jiangnan_7180.spr	<% return 1;%>
7	家族竞技	<% if KGblTask.SCGetDbTaskInt(DBTASD_NEWPLATEVENT_STATE) == 0 and (KGblTask.SCGetDbTaskInt(DBTASD_EVENT_STATE) == 2 or KGblTask.SCGetDbTaskInt(DBTASD_EVENT_STATE) == 3) then return 1; end return 0;%>	<% return 60;%>	<%if me.nLevel >= 60 and me.nFaction ~= 0 then return 1; end return 0;%>	<%return "--";%>	<%return "--";%>	<bclr=blue>参加条件<bclr>：<enter>1.等级达到<color=yellow>60级<color><enter>2.已加入门派<enter>3.已加入家族（预选赛、决赛）<enter><enter><bclr=blue>活动时间<bclr>：<enter>每月7号到20号选拔赛<enter>11:00-14:00<enter>17:00-23:00  期间每15分钟开启一场，提前5分钟开始报名。<enter>每月21号到26号预选赛<enter>15:00-17:00<enter>21:30-23:00  期间每15分钟开启一场，提前5分钟开始报名。<enter>每月27号决赛<enter>21:30-23:00  期间每15分钟开启一场，提前5分钟开始报名。<enter><enter><bclr=blue>竞技项目<bclr>：<enter>【赛龙舟】、【打雪仗】、【守护先祖之魂】、【夜岚关】	<table=0><tr=0,0,2,0,Orange><td=0,0,5,1>奖励图标</td><td=0,0,5,1>奖励名称</td><td=0,0,5,1>奖励说明</td></tr><tr=0,0,1,1,hide><td><pic=\image\icon\task\prize_expens.spr,0></td><td>经验</td><td>可获大量经验</td></tr><tr=0,0,1,1,gray><td><item=18,1,1,6></td><td>玄晶</td><td>可获大量玄晶</td></tr><tr=0,0,1,1,gray><td><item=2,7,513,10></td><td>后羿踏焰履</td><td>声望达到可购买</td></tr></table><enter><enter>活动详情请按F12搜索“家族竞技”。	<link=npcpos:晏若雪,0,3603>	\setting\task\calendar\time\jiazujingji.txt	\setting\task\calendar\qa\huadeng.txt	image\icon\task\zhongyuan_4650.spr	<% return 0;%>
8	军营任务	<%if me.nLevel >= 90 then return 1; end return 0;%>	<% return 90;%>	<%if me.nLevel >= 90 and me.nFaction ~= 0 then return 1; end return 0;%>	<% return Task.tbArmyCampInstancingManager:EnterInstancingThisDay(1, me.nId); %>	4	<bclr=blue>参加条件<bclr>：<enter>1.等级达到<color=yellow>90级<color><enter>2.已加入门派<enter>3.至少<color=yellow>4人<color>组队<enter>4.队长在副本传送官处报名<enter><enter><bclr=blue>活动时间<bclr>：<enter>每小时开启一次，整点开始报名并进入副本，10分钟后停止报名。	<table=0><tr=0,0,2,0,Orange><td=0,0,5,1>奖励图标</td><td=0,0,5,1>奖励名称</td><td=0,0,5,1>奖励说明</td></tr><tr=0,0,1,1,hide><td><pic=\image\icon\task\prize_expens.spr,0></td><td>经验</td><td>可获得大量经验值</td></tr><tr=0,0,1,1,gray><td><item=18,1,1,6></td><td>玄晶</td><td>可获大量玄晶</td></tr><tr=0,0,1,1,hide><td><pic=\image\item\equip\mask\mianju_putong.spr,0></td><td>面具</td><td>可在天机子处兑换</td></tr><tr=0,0,1,1,gray><td><pic=\image\icon\task\prize_money.spr,0></td><td>银两</td><td>可获得银两</td></tr><tr=0,0,1,1,hide><td><pic=\image\item\other\scriptitem\hunshi.spr,0></td><td>魂石</td><td>参加可获得魂石</td></tr><tr=0,0,1,1,gray><td><item=21,8,2,1></td><td>绮罗绣包[军用]</td><td>声望达到购买</td></tr><tr=0,0,1,1,hide><td><item=21,9,4,1></td><td>天蚕包[军用]</td><td>声望达到购买</td></tr></table><enter><enter>活动详情请按F12搜索“军营任务”。	<link=npcpos:郑八姑,s1,4038>	\setting\task\calendar\time\junying.txt	\setting\task\calendar\qa\junying.txt	image\icon\task\jiangnan_2130.spr	<% return 0;%>
9	武林联赛	<% if Ui.tbLogic.tbCalendar.tbWllsMatch and Ui.tbLogic.tbCalendar.tbWllsMatch[KGblTask.SCGetDbTaskInt(DBTASD_WIIS_SESSION)] == 1 and (KGblTask.SCGetDbTaskInt(DBTASD_WIIS_STATE) == 2 or KGblTask.SCGetDbTaskInt(DBTASD_WIIS_STATE) == 3) and me.nLevel >= 90 then return 1; end return 0;%>	<% return 100;%>	<%if me.nLevel >= 100 and me.nFaction ~= 0 then return 1; end return 0;%>	<%return "--";%>	<%return "--";%>	<bclr=blue>参加条件<bclr>：<enter>1.等级达到<color=yellow>100级<color><enter>2.已加入门派<enter><enter><bclr=blue>活动时间<bclr>：<enter>武林联赛以1个月为周期<enter><color=yellow>单人、双人赛<color>：<enter>7-27号为循环赛时间：<enter>（共6场）周一到周五20:00-21:00每15分钟一场<enter>（共10场）周六、周日15:00-16:15, 19:00-19:45每15分钟一场<enter>28号为决赛时间：<enter>（共5场）19:00-20:00每15分钟一场<enter>	<table=0><tr=0,0,2,0,Orange><td=0,0,5,1>奖励图标</td><td=0,0,5,1>奖励名称</td><td=0,0,5,1>奖励说明</td></tr><tr=0,0,1,1,hide><td><pic=\image\icon\task\prize_expens.spr,0></td><td>经验</td><td>可获大量经验值</td></tr><tr=0,0,1,1,gray><td><item=18,1,1,6></td><td>玄晶</td><td>可获大量玄晶</td></tr><tr=0,0,1,1,hide><td><item=18,2,2,1></td><td>衣服炼化图</td><td>声望达到后可购买</td></tr><tr=0,0,1,1,gray><td><item=18,2,2,2></td><td>护身符炼化图</td><td>声望达到后可购买</td></tr><tr=0,0,1,1,hide><td><item=18,2,2,3></td><td>戒指炼化图</td><td>声望达到后可购买</td></tr><tr=0,0,1,1,gray><td><item=4,3,148,10></td><td>武威之长空衣</td><td>声望达到后可购买</td></tr></table><enter><enter>活动详情请按F12搜索“武林联赛”。	<link=npcpos:初级武林联赛官员,city,3384>|<link=npcpos:高级武林联赛官员,city,3385>	\setting\task\calendar\time\wulinliansai.txt	\setting\task\calendar\qa\huadeng.txt	image\icon\task\zhongyuan_4650.spr	<% return 0;%>
