Group	Name	Genre	Detail	Particular	Level	Five	Value	Bind	Rate
所属组	道具名称	道具类别	具体类别	详细类别	等级	五行	价值量	绑定类型	概率
1	1级玄晶	18	1	1	1	0	100	1	10000
2	1级玄晶	18	1	1	1	0	100	1	6500
2	2级玄晶	18	1	1	2	0	360	1	3400
2	3级玄晶	18	1	1	3	0	1296	1	100
3	1级玄晶	18	1	1	1	0	100	1	2739
3	2级玄晶	18	1	1	2	0	360	1	7141
3	3级玄晶	18	1	1	3	0	1296	1	120
4	1级玄晶	18	1	1	1	0	100	1	800
4	2级玄晶	18	1	1	2	0	360	1	8016
4	3级玄晶	18	1	1	3	0	1296	1	1184
5	2级玄晶	18	1	1	2	0	360	1	7795
5	3级玄晶	18	1	1	3	0	1296	1	2105
5	4级玄晶	18	1	1	4	0	4665	1	100
6	2级玄晶	18	1	1	2	0	360	1	5839
6	3级玄晶	18	1	1	3	0	1296	1	4011
6	4级玄晶	18	1	1	4	0	4665	1	150
7	2级玄晶	18	1	1	2	0	360	1	4026
7	3级玄晶	18	1	1	3	0	1296	1	5734
7	4级玄晶	18	1	1	4	0	4665	1	240
8	2级玄晶	18	1	1	2	0	360	1	2000
8	3级玄晶	18	1	1	3	0	1296	1	7580
8	4级玄晶	18	1	1	4	0	4665	1	420
9	2级玄晶	18	1	1	2	0	360	1	1200
9	3级玄晶	18	1	1	3	0	1296	1	7860
9	4级玄晶	18	1	1	4	0	4665	1	940
10	3级玄晶	18	1	1	3	0	1296	1	8864
10	4级玄晶	18	1	1	4	0	4665	1	1036
10	5级玄晶	18	1	1	5	0	16796	1	100
