Type	Name	Path
图片类型编号	单纯描述	路径地址
1	家族	\image\item\other\scriptitem\jiazu.spr
2	等级上限	\image\item\other\scriptitem\kuafuchengzhan.spr
3	钓鱼 	\image\item\other\scriptitem\diaoyu.spr
4	逍遥录	\image\item\other\scriptitem\xiaoyaolu.spr
5	藏宝图副本	\image\item\other\scriptitem\cangbaotu.spr
6	碧落谷1 	\image\item\other\scriptitem\biluogulv1.spr
7	碧落谷2	\image\item\other\scriptitem\biluogulv2.spr
8	碧落谷3 	\image\item\other\scriptitem\biluogulv3.spr
9	龙门飞剑1	\image\item\other\scriptitem\longmenfeijian_tie.spr
10	龙门飞剑2	\image\item\other\scriptitem\longmenfeijian_tong.spr
11	龙门飞剑3	\image\item\other\scriptitem\longmenfeijian_yin.spr
12	千琼1	\image\item\other\scriptitem\qianqionglingpai_tie.spr
13	千琼2	\image\item\other\scriptitem\qianqionglingpai_tong.spr
14	千琼3	\image\item\other\scriptitem\qianqionglingpai_yin.spr
15	陶朱公1	\image\item\other\scriptitem\taozhugonglingpai_tie.spr
16	陶朱公2	\image\item\other\scriptitem\taozhugonglingpai_tong.spr
17	陶朱公3	\image\item\other\scriptitem\taozhugonglingpai_yin.spr
18	大漠1	\image\item\other\scriptitem\damoguchenglingpai_tie.spr
19	大漠2	\image\item\other\scriptitem\damoguchenglingpai_tong.spr
20	大漠3	\image\item\other\scriptitem\damoguchenglingpai_yin.spr
21	逍遥谷	\image\item\other\scriptitem\xiaoyaogu_s.spr
22	剑侠词典	\image\item\other\scriptitem\fifa_kace.spr
23	义军 	\image\item\other\scriptitem\yijunlingpai.spr
24	披风	\image\item\equip\mantle\ma_mantle10_s.spr
25	修炼珠 	\image\item\other\scriptitem\xiulianzhu_s.spr
26	55	\image\item\other\scriptitem\bainiantianlaolingpai_tong.spr
27	75	\image\item\other\scriptitem\bainiantianlaolingpai_yin.spr
28	95	\image\item\other\scriptitem\bainiantianlaolingpai_jin.spr
29	灯谜	\image\item\other\scriptitem\shuijingxingxing.spr
30	公聊	\image\item\other\scriptitem\chuanshenghailuo_da.spr
31	秘境	\image\item\other\scriptitem\mystic_map_s.spr
32	祈福	\image\item\other\scriptitem\qifulingpai_zhongji.spr
33	门派竞技	\image\item\other\scriptitem\menpaijingji.spr
34	官府通缉	\image\item\other\scriptitem\mingbuling.spr
35	领奖	\image\item\other\scriptitem\jiangjinlingpai.spr
36	福利精活	\image\item\other\scriptitem\jingqisan.spr
37	初级秘籍	\image\item\equip\book\n_xinshoumiji_s.spr
38	中级秘籍	\image\item\equip\book\zhongjimiji_s.spr
39	高级秘籍	\image\item\equip\book\gaojimiji_s.spr
40	徒弟	\image\item\equip\book\xianglonghufu_vn.spr
41	跨服联赛	\image\item\other\xoyogame\jinka_guoguan.spr
42	铁浮城	\image\item\other\scriptitem\kuafuchengzhan.spr
43	侠客任务	\image\item\other\scriptitem\xiakeling.spr
44	克夷门战场	\image\item\other\scriptitem\menggujunling.spr
45	秦始皇	\image\item\other\scriptitem\qinling_arm2_1.spr
46	黄金白虎堂	\image\item\other\scriptitem\baihutang_hj.spr
47	楼兰古城	\image\item\other\scriptitem\loulangucheng.spr
48	万花谷1星	\image\item\other\scriptitem\wanhualingpai_tie.spr
49	千琼宫1星	\image\item\other\scriptitem\qianqionglingpai_tie.spr
50	辰虫镇	\image\item\other\scriptitem\chenchongzhen.spr
51	时光令	\image\item\other\scriptitem\yinyang_shiguangling.spr
52	科举考试	\image\item\equip\horse\yuxiaoyao_s.spr
