Id	RelateMatchId	Name	Tip	ImageType	BeginTime	EndTime	TaskType	TaskIndex	Weight	Trigger_MinLevel	Trigger_MaxLevel	Trigger_Honor	Trigger_MinOpenDay	Trigger_MaxOpenDay	Trigger_TimeFrame	Trigger_KinTong	Trigger_WeekDay	Trigger_MonthDay	Trigger_RemainMonthDay	ClickDisappear	DisapperDescription	Click_Event	Click_Param1	Click_Param2	Click_Param3	Click_Param4
活动ID，注意唯一性，不可重用	关联的日历活动Id，定时活动需要关联提醒时间则填	消息名称	鼠标移动上去的tip	图标类型：在imagetype里面定义图片路径	开始时间，精确到分如200810200020，不填则没有时间限制	结束时间	提醒任务类型：0无类型，只要满足条件会一直提醒，1：永远只提醒一次，2：每月提醒一次，3：每周提醒一次，4：每日提醒一次	切记定下之后不可改动，只提醒一次的活动则填一个任务变量索引，完成之后设置为1则以后不再提示，不填则表示不受限，不同type的index互不重叠	权重，用来排序显示的先后顺序	触发条件是与的关系，要所有都满足才会触发。指定等级触发	超过该等级就不触发	荣誉等级限制，默认0，1-10表示等级	最小开服天数	超过该开服天数不再提示	时间轴	是否需要有家族，0:可有可无（默认）1：要有家族，2：不能有家族，3：要有帮会 4：有家族但不能有帮会	周几显示，用逗号做分隔	每月第几天显示	每月倒数第几天显示	是否点击消失	消失条件，单纯描述，没有其他作用	点击事件	参数1	参数2	参数3	参数4
1		55BOSS	<color=green>不断挑战，不断超越，江湖人生才会更精彩。<color><enter>几个绝顶的<color=yellow>55级武林高手<color>将于<color=yellow>今天<color>开始每天<color=yellow>2:00/9:30/15:30/22:30<color>准时出现在江湖中，届时请关注<color=yellow>世界公告<color>，提前约好你的朋友一起参加到<color=yellow>挑战55级BOSS<color>的战斗之中吧！	26			1	1	72	50	100		5	5						1						
2		79级	<color=green>服务器时间轴功能开放！<color><enter>即将于<color=yellow>后天晚上20点<color>开放<color=yellow>79级等级上限<color>，你可以更换<color=yellow>高一级装备<color>，并将<color=yellow>70级武器<color>强化激活<color=yellow>+12的属性<color>【会心一击时攻击增加%】。	2			1	2	81	65	100		14	14						1						
3		75级BB	<color=green>不断不断挑战，不断超越，江湖人生才会更精彩。<color><enter>几个绝顶的<color=yellow>75级武林高手<color>将于<color=yellow>今天<color>开始每天<color=yellow>2:00/9:30/15:30/19:30/22:30<color>准时拉开江湖杀伐的帷幕，届时请关注<color=yellow>世界公告<color>，提前约好你的朋友一起参加到<color=yellow>挑战75级BOSS<color>的战斗之中吧！	27			1	3	83	70			23	23						1						
4		89级	<color=green>服务器时间轴功能开放！<color><enter>即将于<color=yellow>后天晚上20点<color>开放<color=yellow>89级等级上限<color>，你可以更换<color=yellow>高一级装备<color>，并将<color=yellow>全身装备<color>强化<color=yellow>+14<color>，激活<color=yellow>全身强化14<color>的属性。	2			1	4	87	76			27	27						1						
5	17	钓鱼任务	<color=green>钓鱼齐乐乐，有氧生活众乐乐。<color><enter>从<color=yellow>本周<color>开始，<color=yellow>每个周六/日10:00-23:00<color>将有趣味十足的<color=yellow>钓鱼活动<color>，不仅有丰富的<color=yellow>绑银/绑金<color>奖励，更可获得<color=yellow>腰带2级炼化宝物<color>[忠魂之石碎片]。	3			1	5	66	30										1						
6	17	钓鱼任务（周提醒）	<color=green>钓鱼齐乐乐，有氧生活众乐乐。<color><enter>欢迎前往参与今天<color=yellow>10:00-23:00<color>开放的<color=yellow>钓鱼活动<color>。参与此活动不仅有丰富的<color=yellow>绑银/绑金<color>奖励，更可获得<color=yellow>腰带2级炼化宝物<color>[忠魂之石碎片]。	3			3	1	67	30	69						6			1		OpenCalendar	17			
7	17	钓鱼任务（周提醒）	<color=green>钓鱼齐乐乐，有氧生活众乐乐。<color><enter>欢迎前往参与今天<color=yellow>10:00-23:00<color>开放的的<color=yellow>钓鱼活动<color>。参与此活动不仅有丰富的<color=yellow>绑银/绑金<color>奖励，更可获得<color=yellow>腰带2级炼化宝物<color>[忠魂之石碎片]。	3			3	2	68	30	69						0			1		OpenCalendar	17			
8		逍遥录收集	<color=green>智取逍遥卡，玄晶享不停！<color><enter>从<color=yellow>本月<color>开始，逍遥谷开放<color=yellow>月度特色玩法<color>【逍遥录收集活动】，每天收集<color=yellow>击杀卡/过关卡/宝物卡<color>，根据月度收集排行榜榜单，最高可领取<color=yellow>10级玄晶<color>的丰厚奖励哦！	4			1	6	73	50			60	60						1						
9	3	开放-藏宝图副本	<color=green>精彩副本，无限挑战，玄晶自然来。<color><enter>恭喜你到达<color=yellow>25级<color>，拥有参加<color=yellow>藏宝图副本<color>的活动资格！<color=yellow>每周至少9次<color>的藏宝图挑战机会，每天随时前往，可获得<color=yellow>大量升级经验/玄晶<color>等丰厚的奖励！	5			1	7	62	25	79									1			3			
