MatchId	Name	IsOpen	MatchOpen	AchieveState	MinLevel	CanJoin	CountType	CurCount	MaxCount	RemainTime	AllStar1	EquipStar1	XuanJingStar1	ExperienceStar1	BindMoneyStar1	PrestigeStar1	AllStar2	EquipStar2	XuanJingStar2	ExperienceStar2	BindMoneyStar2	PrestigeStar2	AllStar3	EquipStar3	XuanJingStar3	ExperienceStar3	BindMoneyStar3	PrestigeStar3	IsPVP	TypeDesc	TimeType	TimeParam	Condition	Award1Image	Award1Desc	Award2Image	Award2Desc	Award3Image	Award3Desc	Award4Image	Award4Desc	Award5Image	Award5Desc	OpenExtendAward	ExtendAward1Image	ExtendAward1Desc	ExtendAward2Image	ExtendAward2Desc	ExtendAward3Image	ExtendAward3Desc	AttendFunc	Param1	Param2	Param3	Param4	Param5	Param6	Param7	Param8	LinkHelpType	LinkHelpName
ID,不允许改动	活动名称	是否开启，主要是开服天数限制或者一次性的活动，完成之后就不再显示	活动开启	完成状态1：已完成，0：未完成（默认）	最低等级	参加限制	1：显示次数，由CurCount和MaxCount组成2：剩余时间，RemainTime	当前已参加次数	可允许参加的最大次数	剩余秒数	总推荐星级	装备推荐星级	玄晶推荐星级	经验推荐星级	绑银推荐星级	江湖威望推荐星级	总推荐星级	装备推荐星级	玄晶推荐星级	经验推荐星级	绑银推荐星级	江湖威望推荐星级	总推荐星级	装备推荐星级	玄晶推荐星级	经验推荐星级	绑银推荐星级	江湖威望推荐星级	0：pve1：pvp	类型描述	时间类型（2：自定义描述1：定时类型，时间表填在TimeParam）	时间参数	对活动的一些介绍	奖励1图标路径	奖励1描述	奖励2图标路径	奖励2描述	奖励3图标路径	奖励3描述	奖励4图标路径	奖励4描述	奖励5图标路径	奖励5描述	是否开启额外奖励	额外奖励1图标路径	额外奖励描述	额外奖励2图标路径	额外奖励2描述	额外奖励3图标路径	额外奖励3描述	点击参加的响应函数	响应函数参数1	响应函数参数2	响应函数参数3	响应函数参数4	响应函数参数5	响应函数参数6	响应函数参数7	响应函数参数8	类型	搜索的名字
1	主线任务	<% return 1;%>	<% return 1;%>	<% return 0;%>	1	<% return 1;%>	1	<%return "--";%>	<%return "--";%>		59	59	59	59	39	0	0	39	59	59	39	0	0	0	0	0	0	0	0	任务	2	全天	①从<color=yellow>1级<color>开始到达对应等级<color=yellow>自动激活<color>主线任务	\image\icon\task\prize_expens.spr	海量升级经验	\image\item\other\scriptitem\xuanjing_005_s.spr	丰厚的玄晶	\image\icon\task\prize_money.spr	大量的银两	\image\item\equip\meleeweapon\n_qiang_410_s.spr	精良装备										OpenWindow	UI_TASKPANEL									
2	支线任务	<% return 1;%>	<% return 1;%>	<% return 0;%>	1	<% return 1;%>	1	<%return "--";%>	<%return "--";%>		39	0	39	39	29	0	0	0	39	39	29	0	0	0	0	0	0	0	0	任务	2	全天	①从<color=yellow>1级<color>开始到达对应等级<color=yellow>自动激活<color>支线任务	\image\icon\task\prize_expens.spr	大量升级经验	\image\item\other\scriptitem\xuanjing_004_s.spr	丰厚的玄晶	\image\icon\task\prize_money.spr	一定的银两												OpenWindow	UI_TASKPANEL									
3	日·藏宝图副本	<% return 1;%>	<% return 1;%>	<%if me.GetTask(2136, 2) ~= tonumber(GetLocalDate("%Y%m%d")) then return 0; end; if me.GetTask(2136, 1) >= 10 then return 1 end;return 0%>	25	<%if me.nLevel >= 20 then return 1; end return 0;%>	1	<%if me.GetTask(2136, 2) ~= tonumber(GetLocalDate("%Y%m%d")) then return 0; end; return me.GetTask(2136, 1);%>	<%return 10;%>		57	0	58	49	0	49	56	0	58	39	0	38	53	0	48	29	0	0	0	副本	2	全天	①等级达到藏宝图副本<color=yellow>准入等级<color><enter>②藏宝图副本等级包括<color=yellow>25<color>/<color=yellow>50<color>/<color=yellow>70<color>/<color=yellow>80<color>/<color=yellow>90<color>/<color=yellow>100<color>/<color=yellow>130<color>等<enter>③拥有对应<color=yellow>藏宝图副本进入次数<color><enter>④<color=yellow>个人<color>或<color=yellow>自由组队<color>前往	\image\icon\task\prize_expens.spr	大量升级经验	\image\item\other\scriptitem\xuanjing_006_s.spr	大量的玄晶	\image\icon\task\prize_money.spr	一定的银两	\image\item\other\scriptitem\jianglibaoxiang_jin.spr	一定的药材等宝物										OpenWindow	UI_NEWFUBENVIEW								5	藏宝图
4	日·挑战逍遥谷	<% return 1;%>	<% return 1;%>	<%if XoyoGame:GetPlayerTimes(me) == 0 then return 1; end; return 0;%>	25	<%if me.nLevel >= 30 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<%return 14-XoyoGame:GetPlayerTimes(me);%>	<%return 14;%>		56	58	38	48	37	0	57	49	38	38	28	59	54	33	36	28	27	59	0	副本	1	\setting\task\newcalendar\time\xoyo.txt	①等级达到<color=yellow>30<color>/<color=yellow>50<color>/<color=yellow>100<color>/<color=yellow>100<color>/<color=yellow>110<color>级可对应参加<color=yellow>简单<color>/<color=yellow>普通<color>/<color=yellow>困难<color>/<color=yellow>传说<color>/<color=yellow>地狱<color>级<enter>②<color=yellow>4人以上<color>自由组队前往	\image\icon\task\prize_expens.spr	一定升级经验	\image\item\other\scriptitem\xuanjing_005_s.spr	一定的玄晶	\image\icon\task\prize_repute.spr	江湖威望	\image\item\other\scriptitem\gaizaotu_xiezi.spr	逍遥套装[护腕/鞋子/玉佩]			<%if TimeFrame:GetState("Keyimen") == 1 then return 1; end return 0;%>	\image\item\other\scriptitem\dragoncoin.spr	龙纹银币					ServerAutoPath	1	1							5	逍遥谷
6	周·科举【乡试】	<% return 1;%>	<% return 1;%>	<% if Lib:GetLocalWeek() ~= me.GetTask(2216,2) or me.GetTask(2216,1) < 3 then return 0;end; return 1; %>	25	<%if me.nLevel >= 30 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<% if Lib:GetLocalWeek() ~= me.GetTask(2216,2) then return 0;end; return me.GetTask(2216,1); %>	<%return 3;%>		38	0	0	39	0	58	36	0	0	36	0	39	0	0	0	0	0	37	0	休闲	1	\setting\task\newcalendar\time\kejuxiangshi.txt	①等级达到<color=yellow>30<color>级<enter>	\image\icon\task\prize_expens.spr	一定升级经验	\image\icon\task\prize_repute.spr	江湖威望	\image\item\huodong\jinyuanbao.spr	家族工资	\image\item\huodong\yinyuanbao.spr	家族工资										ClientAutoPath	范宗尹--云中镇:1,1354,3078	贾似道--永乐镇:3,1592,3201	楼钥--江津村:5,1597,3094						5	乡试
7	日·勇闯白虎堂	<% return 1;%>	<% return 1;%>	<%local nTimes = me.GetTask(2009,1);local nResult = 0;local szNowDate = GetLocalDate("%y%m%d");local nDate = math.floor(nTimes / 10);local nPKTimes = nTimes % 10;local nNowDate = tonumber(szNowDate);if (nDate == nNowDate) then nResult = nPKTimes;end if nResult == 3 then return 1 end; return 0;%>	50	<%if me.nLevel >= 50 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<%local nTimes = me.GetTask(2009,1);local nResult = 0;local szNowDate = GetLocalDate("%y%m%d");local nDate = math.floor(nTimes / 10);local nPKTimes = nTimes % 10;local nNowDate = tonumber(szNowDate);if (nDate == nNowDate) then nResult = nPKTimes;end return nResult;%>	<%return 3;%>		0	0	0	0	0	0	37	55	0	0	0	46	37	34	0	0	0	49	1	对抗	1	\setting\task\newcalendar\time\baihutang.txt	①初级<color=yellow>50-89<color>级、高级<color=yellow>90级<color>以上、黄金<color=yellow>120级<color>以上<enter>②挑战<color=yellow>初级<color>需<color=yellow>加入家族<color><enter>③<color=yellow>家族<color>或<color=yellow>帮派<color>自由组队	\image\item\equip\necklace\n_110_s.spr	稀有项链	\image\icon\task\prize_expens.spr	一定升级经验	\image\icon\task\prize_repute.spr	江湖威望	\image\item\other\scriptitem\xuanjing_005_s.spr	一定的玄晶[可交易]										ServerAutoPath	1	4							5	挑战白虎堂
8	日·家族趣味竞技	<% return 1;%>	<% if KGblTask.SCGetDbTaskInt(DBTASD_NEWPLATEVENT_STATE) == 1 and (tonumber(GetLocalDate("%w")) == 0 or tonumber(GetLocalDate("%w")) == 1 or tonumber(GetLocalDate("%w")) == 3 or tonumber(GetLocalDate("%w")) == 5)  then return 1; end return 0;%>	<%if me.GetTask(2179, 4) == 0 then return 1 end; return 0;%>	20	<%if me.nLevel >= 30 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<%return 8-me.GetTask(2179, 4);%>	<%return 8;%>		46	55	0	0	35	0	47	56	0	0	26	0	44	55	0	0	28	0	0	竞技	1	\setting\task\newcalendar\time\quweijingji.txt	①等级达到<color=yellow>30<color>级<enter>②加入<color=yellow>家族<color><enter>③参赛人数<color=yellow>8人<color>以上	\image\item\equip\boots\m_gold_s.spr	极品鞋子[游龙真气]	\image\item\equip\boots\f_210_s.spr	稀有鞋子	\image\item\other\scriptitem\xuanjing_006_s.spr	一定的玄晶	\image\icon\task\prize_repute.spr	江湖威望	\image\icon\task\prize_money.spr	一定的银两								ClientAutoPath	晏若雪--江津村:5,1660,3042	晏若雪--云中镇:1,1535,3119	晏若雪--永乐镇:3,1636,3207						5	家族趣味竞技
9	周·门派竞技	<% return 1;%>	<% local nNowWeek = tonumber(GetLocalDate("%w")); if (nNowWeek == 2 or nNowWeek == EventManager.IVER_nSecFactionDay) then return 1; end return 0;%>	<% return 0;%>	50	<%if me.nLevel >= 50 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<%return "--";%>	<%return "--";%>		0	0	0	0	0	0	49	56	0	26	0	45	37	36	0	27	0	47	0	竞技	1	\setting\task\newcalendar\time\menpaijingji.txt	①等级达到<color=yellow>50<color>级<enter>②参赛人数达到<color=yellow>20人<color><enter>③<color=yellow>系统分配<color>阵营对战	\image\icon\task\prize_expens.spr	一定的经验	\image\icon\task\prize_repute.spr	江湖威望	\image\item\other\scriptitem\xuanjing_006_s.spr	一定的玄晶	\image\item\equip\armor\m_changpao_410_s.spr	稀有衣服										ServerAutoPath	1	7							5	门派竞技
10	日·宋金战场	<% return 1;%>	<% return 1;%>	<% return 0;%>	60	<%if me.nLevel >= 60 and me.nFaction ~= 0 then return 1; end return 0;%>	1	<%return "--";%>	<%return "--";%>		0	0	0	0	0	0	36	0	0	28	0	47	37	35	0	26	0	48	1	对抗	1	\setting\task\newcalendar\time\songjin.txt	①等级在<color=yellow>60-89<color>或<color=yellow>90级<color>以上可分别参加<color=yellow>扬州<color>或<color=yellow>凤翔<color>战场<enter>②根据宋金阵营<color=yellow>自由组队<color><enter>③宋金双方报名人数需超过<color=yellow>4个人<color>	\image\icon\task\prize_expens.spr	一定的经验	\image\icon\task\prize_repute.spr	江湖威望	\image\item\equip\belt\m_110_s.spr	稀有腰带												ServerAutoPath	1	3							5	宋金战场
