JoinTime	StartTime	EndTime
	注:必须按照StartTime的大小排列	
0	30	30
45	100	100
115	130	130
145	200	200
815	830	830
845	900	900
915	930	930
945	1000	1000
1015	1030	1030
1045	1100	1100
1115	1130	1130
1145	1200	1200
1215	1230	1230
1245	1300	1300
1315	1330	1330
1345	1400	1400
1415	1430	1430
1445	1500	1500
1515	1530	1530
1545	1600	1600
1615	1630	1630
1645	1700	1700
1715	1730	1730
1745	1800	1800
1815	1830	1830
1845	1900	1900
1915	1930	1930
1945	2000	2000
2015	2030	2030
2045	2100	2100
2115	2130	2130
2145	2200	2200
2215	2230	2230
2245	2300	2300
