nId	nSubId	nTaskGroupId	nTaskSubId	szClassName	ExParam1	ExParam2	ExParam3	ExParam4	ExParam5	ExParam6	ExParam7	ExParam8	ExParam9	ExParam10	ExParam11	ExParam12	ExParam13	ExParam14	ExParam15
1	1			ShowButton	2|3	UI_GUTAWARD	zBtnAccept	点击接受按钮，接受任务	360		CloseWindow,UI_GUTAWARD	MoveWindow,UI_GUTAWARD							
2	1			ShowButton	2|3	UI_GUTAWARD	zBtnAccept	点击领取按钮，领取任务奖励	360		CloseWindow,UI_GUTAWARD	MoveWindow,UI_GUTAWARD							
3	1			ShowDialog	2|4	<color=yellow>[剧情]<color>雏凤青鸣	点击对话选项：雏凤青鸣	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
4	1			ShowTaskList	3|3	雏凤青鸣 步骤：1/5	白秋琳	点击白秋林，自动寻路	360	CloseWindow,UI_TASKTRACK									
5	1			ShowTaskList	3|3	雏凤青鸣 步骤：2/5	龙五	点击龙五，自动寻路	360	CloseWindow,UI_TASKTRACK									
6	1			ShowTaskList	3|3	雏凤青鸣 步骤：3/5	白秋琳	点击白秋林，自动寻路	360	CloseWindow,UI_TASKTRACK									
7	1			ShowTaskList	3|3	雏凤青鸣 步骤：4/5	与甜酒叔对话	点击与甜酒叔对话，自动寻路	360	CloseWindow,UI_TASKTRACK									
8	1			ShowTaskList	3|3	雏凤青鸣 步骤：5/5	甜酒叔	点击甜酒叔，自动寻路	360	CloseWindow,UI_TASKTRACK									
9	1			ShowDialog	2|4	开始答题	点击对话选项：开始答题	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL	480	674							
10	1			ShowDialog	2|4	<color=yellow>[剧情]<color>赤手空拳	点击对话选项：赤手空拳	360	CloseWindow,UI_SAYPANEL	MoveWindow,UI_SAYPANEL									
11	1			ShowTaskList	3|3	赤手空拳 步骤：1/3	与甜酒叔对话	点击与甜酒叔对话，自动寻路	360	CloseWindow,UI_TASKTRACK									
12	1			ShowTaskList	3|3	赤手空拳 步骤：2/3	击败泼皮猴	点击击败泼皮猴，自动寻路	360	CloseWindow,UI_TASKTRACK									
13	1			ShowTaskList	3|3	赤手空拳 步骤：3/3	与甜酒叔对话	点击与甜酒叔对话，自动寻路	360	CloseWindow,UI_TASKTRACK									AutoAi:CloseAutoFight()
