Id	Arrow	TipText	WndName	ControlName	Time
1	4	点击下划线文字，自动寻路	UI_TASKTRACK	TxtMsg	20
2	1	鼠标移动到这里，可以看到这排按钮的名称。	UI_SIDEBAR	Main	20
3	2	鼠标点击此按钮，可以打开背包，装备道具。	UI_SIDEBAR	BtnItemBox	20
4	1	在背包中，用鼠标右键点击‘龙五太爷的剑’，就能装备到角色身上。	UI_ITEMBOX	ObjMainBag	20
5	2	鼠标点击此按钮，可以打开主角面板，查看角色装备和状态。	UI_SIDEBAR	BtnPlayer	20
6	2	装备的武器会在此处显示。其他装备都可在背包中使用鼠标右键装备。	UI_PLAYERPANEL	ObjWeapon	20
7	2	鼠标点击此按钮此按钮,可以打开任务面板。	UI_SIDEBAR	BtnTaskPanel	20
8	2	点击黄色带下划线字体可以自动行走到目标地点。	UI_TASKPANEL	ScrollTaskInfo	20
9	2	要使用烟花，可按下F2键打开背包	UI_SIDEBAR	BtnItemBox	20
10	1	走到大老白身边，用鼠标右键点击烟花，就可以释放了。	UI_ITEMBOX	ObjMainBag	20
11	2	使用F4可以打开任务面板，点击黄色下划线字体，实现自动寻路哦。	UI_SIDEBAR	BtnTaskPanel	20
12	1	按键盘上的数字键1可迅速使用素炒竹肉。	UI_SHORTCUTBAR	TxtNum2	20
13	2	按键盘上的数字键1可迅速使用素炒竹肉。	UI_SHORTCUTBAR	TxtNum2	20
14	2	按下F2键打开背包，告诉您怎么利用快捷栏使用道具。	UI_SIDEBAR	BtnItemBox	20
15	1	在此栏中选择任意道具，用鼠标拖动到快捷键上，就可以迅速使用。	UI_ITEMBOX	ObjMainBag	20
16	2	点这里告诉您怎么找到沈铁石。任务面板可用快捷键F4打开。	UI_SIDEBAR	BtnTaskPanel	20
17	2	鼠标停留在带下划线的黄字上，查看任务地点的移动路线。	UI_TASKPANEL	ScrollTaskInfo	20
18	1	出发前，请按下F2打开背包，吃个菜，装备好武器。	UI_SIDEBAR	BtnItemBox	20
19	2	点此按钮或V键可以打坐，打坐能回复生命力和内力，非常有用哦。	UI_POPBAR	BtnSit	20
20	2	将食物、药品、技能等拖动到快捷栏，都可以通过数字键快速使用。	UI_SHORTCUTBAR	TxtNum5	20
