DomainId	DomainName	CenterPosX	CenterPosY	FightMapId	MapType
1	龙门镇	223	130	31	village
2	昆仑派	190	182	12	faction
3	西夏一品堂	303	146	13	faction
4	凤翔府	250	165	24	city
5	大散关	260	218	87	fight
6	居延泽	265	95	94	fight
7	沙漠迷宫	312	105	101	fight
8	嘉峪关	177	60	115	fight
9	敦煌古城	188	100	123	fight
10	月牙泉	145	118	131	faction
11	永乐镇	385	235	32	village
12	武当派	350	255	14	faction
13	襄阳府	420	278	25	city
14	汉水古渡	461	306	88	fight
15	伏牛山	475	235	95	fight
16	黄鹤楼	505	312	109	fight
17	华山	330	180	116	fight
18	阿房宫废墟	315	217	132	faction
19	江津村	275	313	34	fight
20	峨嵋派	217	337	16	faction
21	成都府	238	289	27	city
22	浣花溪	205	265	90	fight
23	剑阁蜀道	272	272	104	fight
24	剑门关	315	276	111	fight
25	丰都鬼城	328	341	118	fight
26	三峡栈道	363	315	126	fight
27	神女峰	405	332	134	faction
28	云中镇	453	102	30	village
29	少林派	441	195	9	faction
30	天忍教	520	90	10	faction
31	萨满教	368	96	11	faction
32	汴京府	487	156	23	city
33	太行古径	420	139	86	fight
34	风陵渡	381	152	100	fight
35	龙门石窟	390	195	107	fight
36	敕勒川	415	70	114	fight
37	漠北草原	388	38	122	fight
38	蒙古王庭	328	36	130	faction
39	稻香村	526	256	33	village
40	丐帮	540	286	15	faction
41	扬州府	583	262	26	city
42	寒山古刹	626	270	89	fight
43	虎丘剑池	600	300	96	fight
44	蜀冈山	566	214	103	fight
45	蜀冈秘境	525	200	117	fight
46	大禹台	544	155	125	fight
47	梁山泊	595	152	133	faction
48	龙泉村	595	370	36	village
49	五毒教	527	395	20	faction
50	明教	495	375	224	faction
51	长歌门	617	413	21	faction
52	临安府	637	323	29	city
53	采石矶	565	325	92	fight
54	彭蠡古泽	517	349	99	fight
55	九嶷溪	550	365	106	fight
56	武夷山	568	414	120	fight
57	锁云渊	500	443	128	fight
58	鼓浪屿	590	450	136	faction
59	巴陵县	443	350	37	village
60	天王帮	458	395	22	faction
61	武陵山	385	373	121	fight
62	桃花源	408	415	137	fight
63	石鼓镇	253	468	35	village
64	翠烟门	184	493	17	faction
65	唐门	248	398	18	faction
66	大理段氏	174	453	19	faction
67	大理府	166	411	28	city
68	洱海摩岩	172	371	91	fight
69	点苍山	120	430	98	fight
70	天龙寺	115	385	112	fight
71	苗岭	325	455	119	fight
72	夜郎旧墟	315	408	135	faction
