MapId	Xpos	Ypos	MapName	DomainName
1	431	90	云中镇	云中镇
2	202	118	龙门镇	龙门镇
3	366	222	永乐镇	永乐镇
4	508	246	稻香村	稻香村
5	261	303	江津村	江津村
6	234	456	石鼓镇	石鼓镇
7	580	362	龙泉村	龙泉村
8	424	340	巴陵县	巴陵县
9	420	187	少林派	少林派
10	504	81	天忍教	天忍教
11	352	84	萨满教	萨满教
12	174	179	昆仑派	昆仑派
13	286	133	西夏一品堂	西夏一品堂
14	339	242	武当派	武当派
15	527	278	丐帮	丐帮
16	202	330	峨嵋派	峨嵋派
17	167	487	翠烟门	翠烟门
18	232	382	唐门	唐门
19	156	446	大理段氏	大理段氏
20	513	388	五毒教	五毒教
21	600	405	长歌门	长歌门
22	441	384	天王帮	天王帮
23	470	145	汴京府	汴京府
24	233	158	凤翔府	凤翔府
25	402	265	襄阳府	襄阳府
26	567	251	扬州府	扬州府
27	222	280	成都府	成都府
28	148	405	大理府	大理府
29	618	317	临安府	临安府
30	432	90	古战场	云中镇
31	202	118	龙门客栈	龙门镇
32	366	222	军马场	永乐镇
33	508	246	梅花岭	稻香村
34	261	303	长江河谷	江津村
35	234	456	白族市集	石鼓镇
36	579	362	雁荡龙湫	龙泉村
37	424	340	洞庭湖畔	巴陵县
38	432	90	镇东墓园	云中镇
39	202	118	祁连山	龙门镇
40	366	222	潼关	永乐镇
41	508	246	淮水沙洲	稻香村
42	261	303	蜀南竹海	江津村
43	234	456	茶马古道	石鼓镇
44	579	362	铸剑坊	龙泉村
45	424	340	岳阳楼	巴陵县
46	420	187	后山禁地	少林派
47	504	81	天忍教禁地	天忍教
48	174	179	见性峰	昆仑派
49	339	242	天柱峰	武当派
50	527	278	姑苏水榭	丐帮
51	202	330	九老峰	峨嵋派
52	167	487	百花谷	翠烟门
53	232	382	翡翠湖	唐门
54	513	388	南夷部落	五毒教
55	441	384	青螺岛	天王帮
56	420	187	塔林东部	少林派
57	504	81	金国皇陵一层	天忍教
58	174	179	冰穴迷宫一层	昆仑派
59	339	242	龙虎幻境东部	武当派
60	527	278	燕子坞外围	丐帮
61	202	330	九老洞一层	峨嵋派
62	167	487	百花阵外阵	翠烟门
63	232	382	湖畔竹林东部	唐门
64	513	388	原始森林东部	五毒教
65	441	384	芦苇荡东南部	天王帮
66	420	187	塔林西部	少林派
67	504	81	金国皇陵二层	天忍教
68	174	179	冰穴迷宫二层	昆仑派
69	339	242	龙虎幻境西部	武当派
70	527	278	燕子坞中段	丐帮
71	202	330	九老洞二层	峨嵋派
72	167	487	百花阵内阵	翠烟门
73	232	382	湖畔竹林西部	唐门
74	513	388	原始森林西部	五毒教
75	441	384	芦苇荡西北部	天王帮
86	401	131	太行古径	太行古径
87	243	213	大散关	大散关
88	446	296	汉水古渡	汉水古渡
89	609	258	寒山古刹	寒山古刹
90	187	256	浣花溪	浣花溪
91	157	362	洱海摩岩	洱海摩岩
92	544	317	采石矶	采石矶
93	401	131	药王洞	太行古径
94	245	86	居延泽	居延泽
95	460	224	伏牛山	伏牛山
96	583	291	虎丘剑池	虎丘剑池
97	187	256	响水洞	浣花溪
98	100	422	点苍山	点苍山
99	498	339	彭蠡古泽	彭蠡古泽
100	365	144	风陵渡	风陵渡
101	289	95	沙漠迷宫	沙漠迷宫
102	460	224	鸡冠洞	伏牛山
103	551	241	蜀岗山	蜀岗山
104	255	264	剑阁蜀道	剑阁蜀道
105	100	422	段氏皇陵	点苍山
106	536	351	九嶷溪	九嶷溪
107	372	185	龙门石窟	龙门石窟
108	289	95	西夏皇陵	沙漠迷宫
109	488	302	黄鹤楼	黄鹤楼
110	551	241	荐菊洞	蜀岗山
111	295	265	剑门关	剑门关
112	94	374	天龙寺	天龙寺
113	536	351	帮源秘洞	九嶷溪
114	390	57	敕勒川	敕勒川
115	160	50	嘉峪关	嘉峪关
116	317	176	华山	华山
117	508	186	蜀冈秘境	蜀冈秘境
118	313	330	丰都鬼城	丰都鬼城
119	309	447	苗岭	苗岭
120	551	404	武夷山	武夷山
121	364	363	武陵山	武陵山
122	369	29	漠北草原	漠北草原
123	170	93	敦煌古城	敦煌古城
124	317	176	活死人墓	华山
125	524	144	大禹台	大禹台
126	344	304	三峡栈道	三峡栈道
127	309	447	蚩尤洞	苗岭
128	486	433	锁云渊	锁云渊
129	364	363	伏流洞	武陵山
130	312	27	蒙古王庭	蒙古王庭
131	130	111	月牙泉	月牙泉
132	295	207	阿房宫废墟	阿房宫废墟
133	573	143	梁山泊	梁山泊
134	388	320	神女峰	神女峰
135	297	398	夜郎旧墟	夜郎旧墟
136	577	442	鼓浪屿	鼓浪屿
137	389	403	桃花源	桃花源
224	478	369	明教	明教
