MapId	Xpos	Ypos	MapName	Country
1	444	69	云中镇	金国
2	185	83	龙门镇	西夏蒙古
3	345	213	永乐镇	金国
4	529	231	稻香村	宋国东部
5	242	298	江津村	宋国西部
6	227	453	石鼓镇	大理国
7	544	364	龙泉村	宋国东部
8	424	338	巴陵县	宋国西部
9	436	185	少林派	金国
10	524	83	天忍教	金国
11	392	47	萨满教	西夏蒙古
12	161	167	昆仑派	西夏蒙古
13	281	134	西夏一品堂	西夏蒙古
14	364	252	武当派	宋国西部
15	560	270	丐帮	宋国东部
16	198	321	峨嵋派	宋国西部
17	167	466	翠烟门	大理国
18	208	369	唐门	大理国
19	134	429	大理段氏	大理国
20	514	402	五毒教	宋国东部
21	596	399	长歌门	宋国东部
22	408	367	天王帮	宋国西部
23	467	131	汴京府	金国
24	227	150	凤翔府	西夏蒙古
25	409	251	襄阳府	宋国西部
26	591	252	扬州府	宋国东部
27	214	266	成都府	宋国西部
28	114	392	大理府	大理国
29	625	290	临安府	宋国东部
30	466	40	古战场	金国
31	157	97	龙门客栈	西夏蒙古
32	359	198	军马场	金国
33	510	215	梅花岭	宋国东部
34	278	320	长江河谷	宋国西部
35	238	426	白族市集	大理国
36	615	333	雁荡龙湫	宋国东部
37	470	351	洞庭湖畔	宋国西部
38	478	66	镇东墓园	金国
39	152	119	祁连山	西夏蒙古
40	347	186	潼关	金国
41	504	239	淮水沙洲	宋国东部
42	236	336	蜀南竹海	宋国西部
43	169	395	茶马古道	大理国
44	595	365	铸剑坊	宋国东部
45	467	318	岳阳楼	宋国西部
46	418	191	后山禁地	金国
47	541	60	天忍教禁地	金国
48	141	164	见性峰	西夏蒙古
49	344	252	天柱峰	宋国西部
50	545	279	姑苏水榭	宋国东部
51	192	336	九老峰	宋国西部
52	141	471	百花谷	大理国
53	195	383	翡翠湖	大理国
54	495	410	南夷部落	宋国东部
55	425	381	青螺岛	宋国西部
56	403	198	塔林东部	金国
57	553	51	金国皇陵一层	金国
58	124	170	冰穴迷宫一层	西夏蒙古
59	332	246	龙虎幻境东部	宋国西部
60	530	277	燕子坞外围	宋国东部
