DomainId	DomainName	CountryId	FightMap	MapType	CenterX	CenterY	nRange	ReputeParam	ReactRate	TitleDetail
1	龙门镇	1	31	village	1950	3443	100	4	30	2
5	大散关	1	87	fight	1808	3739	100	6	30	2
6	居延泽	1	94	fight	1787	3609	100	6	30	2
7	沙漠迷宫	1	101	fight	1774	3535	100	5	30	2
8	嘉峪关	1	115	fight	1624	3158	100	4	30	2
9	敦煌古城	1	123	fight	1835	3658	100	3	30	2
10	月牙泉	1	131	fight	1798	3490	100	5	30	2
11	永乐镇	4	32	village	1790	3599	100	4	30	2
14	汉水古渡	4	88	fight	1751	3615	100	6	30	2
15	伏牛山	4	95	fight	1746	3575	100	10	30	2
16	黄鹤楼	4	109	fight	1765	3564	100	4	30	2
17	华山	4	116	fight	1797	3539	100	3	30	2
18	阿房宫废墟	2	132	fight	1777	3553	100	4	30	2
19	江津村	4	34	village	1738	3644	150	4	30	2
22	浣花溪	4	90	fight	1784	3712	100	8	30	2
23	剑阁蜀道	4	104	fight	1734	3475	100	3	30	2
24	剑门关	4	111	fight	1794	3572	100	8	30	2
25	丰都鬼城	4	118	fight	1704	3530	100	4	30	2
26	三峡栈道	4	126	fight	1702	3587	100	4	30	2
27	神女峰	4	134	fight	1761	3522	100	4	30	2
28	云中镇	2	30	village	1782	3568	100	4	30	2
33	太行古径	2	86	fight	1825	3501	100	6	30	2
34	风陵渡	2	100	fight	1779	3527	100	3	30	2
35	龙门石窟	2	107	fight	1763	3571	100	4	30	2
36	敕勒川	1	114	fight	1747	3525	100	3	30	2
37	漠北草原	1	122	fight	1825	3485	100	2	30	2
38	蒙古王庭	1	130	fight	1720	3459	100	4	30	2
39	稻香村	4	33	village	1771	3737	150	4	30	2
42	寒山古刹	4	89	fight	1745	3466	100	3	30	2
43	虎丘剑池	4	96	fight	1833	3648	100	4	30	2
44	蜀冈山	2	103	fight	1806	3559	100	4	30	2
45	蜀冈秘境	2	117	fight	1610	3203	100	5	30	2
46	大禹台	2	125	fight	1772	3542	100	2	30	2
47	梁山泊	2	133	fight	1711	3481	100	7	30	2
48	龙泉村	4	36	village	1751	3534	150	4	30	2
53	采石矶	4	92	fight	1854	3436	100	5	30	2
54	彭蠡古泽	4	99	fight	1425	2857	100	3	30	2
55	九嶷溪	4	106	fight	1799	3593	100	5	30	2
56	武夷山	4	120	fight	1727	3548	100	3	30	2
57	锁云渊	4	128	fight	1739	3507	100	4	30	2
58	鼓浪屿	4	136	fight	1698	3479	100	3	30	2
59	巴陵县	4	37	village	1782	3580	150	4	30	2
61	武陵山	4	121	fight	1639	3291	100	4	30	2
62	桃花源	4	137	fight	1818	3638	100	3	30	2
63	石鼓镇	3	35	village	1867	3699	100	4	30	2
68	洱海摩岩	3	91	fight	1802	3503	100	4	30	2
69	点苍山	3	98	fight	1761	3593	100	3	30	2
70	天龙寺	3	112	fight	1712	3589	100	2	30	2
71	苗岭	3	119	fight	1666	3493	100	1	30	2
72	夜郎旧墟	3	135	fight	1831	3648	100	3	30	2
