Id	Type	QuestionType	AnswerId	Question	Choice_1	Choice_2	Choice_3	Choice_4
顺序id	类型（1乡试题库，2殿试题库）	题目类型	正确答案	问题	选择1	选择2	选择3	选择3
1	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMQ==	sbvKwLPGzqqhsMrpyqWhsbXEysfPwsHQxMTSu867yum3qLzSo78=	zfX0y9au	zfXP19au	0dXV5sfk	wfi5q8io
2	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uNA==	0tTPwsTEuPayu8rHobC+xqGxtcSx8LPGo78=	zfzTx87v	yaiz7tbj	tfbKq7mz	xvDGv8b3
3	1	0qLLtLOvuNk=	a2VqdXF1ZXN0aW9uMQ==	w/ezr6GwvrjE0dau0tuhscrH1uzUyp7Jus3ExNK7zru3qs31tcS24cio1q7V+aO/	1uzppg==	uqvQxQ==	z/S6zg==	wfWzuQ==
4	1	ytC+rsqzu/U=	a2VqdXF1ZXN0aW9uMQ==	0ruw48jLw8ezo8u1tcShsM7lzrahsdbQsruw/MCo0tTPwsTE0rvP7qO/	zbQ=	z8w=	v+A=	0ME=
5	1	1u7X07DZvNI=	a2VqdXF1ZXN0aW9uMw==	obC1w7XAtuDW+qOsyqe1wLnR1vqhscrHxMTOu8P7vNK1xLnbteOjvw==	v9fX0w==	wM/X0w==	w8/X0w==	16/X0w==
6	1	0qLLtLOvuNk=	a2VqdXF1ZXN0aW9uMQ==	y87IytfayrHG2qOs1f7WzrjEuO+1xNb3s9bV38rHo78=	t7bW2dHN	v9zXvA==	sPzV/A==	zfWwssqv
7	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMQ==	obbC5dH0uLOht7jo073By8LlyfG1xMPAw7KjrMv8tcTX99Xfysejvw==	stzWsg==	styy2Q==	styz5Q==	stzYpw==
8	1	xKvUz7Wkx+A=	a2VqdXF1ZXN0aW9uMg==	vfDTuc7kz8DQocu11tCjrMW30fS35rXEtsDDxc7k0afKx6O/	vsXR9NXmvq0=	uPLzobmm	0/HFrtDEvq0=	zay56b2jt6g=
9	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	ysC958nPz9a05tfutPO1xLnFtPq7yrzSuN+8tr2o1v7IusrHo78=	ucq5rA==	srzArbTvuaw=	sNe5rA==	wqy4obms
10	1	0rDIpMqw0sU=	a2VqdXF1ZXN0aW9uMg==	yrLDtMPF08DUtrnYsrvJz6O/	zPrDxQ==	x/LDxQ==	xL7DxQ==	sLLIq8PF
11	1	0rDIpMqw0sU=	a2VqdXF1ZXN0aW9uMg==	yMvO3tDFsrvBoqOstPLSu9fWo78=	zO4=	0dQ=	vLA=	wK0=
12	1	zOzQ/rXYu8Y=	a2VqdXF1ZXN0aW9uMQ==	zvewstK7ubLKx7bgydm49rOvtPq1xLnFtryjvw==	yq7B+bOv	yq7LxLOv	yq7I/bOv	yq7O5bOv
13	1	0qLLtLOvuNk=	a2VqdXF1ZXN0aW9uMg==	v7XO9bXb1PjGvbaoyP23qtauwtKjrNLUz8LExNK7z+6yu8r009qhsMj9t6qhsaO/	ydC/yc+y	tvSx2MKh	uaK+q9bS	zuLI/bnw
