MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	备注
188	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	九曲之战(凤翔一)
191	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	五丈原之战(凤翔一)
194	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	蟠龙谷之战(凤翔一)
1549	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会会场（1）
1550	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会会场（2）
1551	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会会场（3）
1552	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会会场（4）
1553	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会会场（5）
1554	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会会场（6）
1555	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武林大会会场（7）
1556	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会会场（8）
1557	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会会场（9）
1558	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会会场（10）
1559	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会会场（11）
1560	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会会场（12）
1561	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会准备场（1）
1562	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会准备场（2）
1563	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会准备场（3）
1564	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会准备场（4）
1565	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会准备场（5）
1566	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会准备场（6）
1567	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武林大会准备场（7）
1568	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会准备场（8）
1569	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会准备场（9）
1570	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会准备场（10）
1571	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会准备场（11）
1572	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会准备场（12）
1573	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会比赛场（1_1）
1574	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会比赛场（2_1）
1575	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会比赛场（3_1）
1576	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会比赛场（4_1）
1577	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会比赛场（5_1）
1578	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会比赛场（6_1）
1579	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武林大会比赛场（7_1）
1580	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会比赛场（8_1）
1581	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会比赛场（9_1）
1582	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会比赛场（10_1）
1583	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会比赛场（11_1）
1584	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会比赛场（12_1）
1585	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会比赛场（1_2）
1586	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会比赛场（2_2）
1587	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会比赛场（3_2）
1588	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会比赛场（4_2）
1589	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会比赛场（5_2）
1590	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会比赛场（6_2）
1591	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武林大会比赛场（7_2）
1592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会比赛场（8_2）
1593	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会比赛场（9_2）
1594	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会比赛场（10_2）
1595	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会比赛场（11_2）
1596	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会比赛场（12_2）
1597	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会多人比赛场（1_1）
1598	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会多人比赛场（2_1）
1599	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会多人比赛场（3_1）
1600	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会多人比赛场（4_1）
1601	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会多人比赛场（5_1）
1602	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会多人比赛场（6_1）
1603	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	武林大会多人比赛场（7_1）
1604	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会多人比赛场（8_1）
1605	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会多人比赛场（9_1）
1606	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会多人比赛场（10_1）
1607	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会多人比赛场（11_1）
1608	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会多人比赛场（12_1）
1609	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	英雄岛（1）
1610	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	英雄岛（2）
1611	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	英雄岛（3）
1612	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	英雄岛（4）
1613	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	英雄岛（5）
1614	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	英雄岛（6）
1615	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	英雄岛（7）
1616	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	试炼谷（1）
1617	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	试炼谷（2）
1618	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	试炼谷（3）
1619	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	试炼谷（4）
1620	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	试炼谷（5）
1621	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	试炼谷（6）
1622	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	试炼谷（7）
1623	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会团体赛准备场（1）
1624	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会团体赛准备场（2）
1625	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会团体赛准备场（3）
1626	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会团体赛准备场（4）
1627	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会团体赛准备场（5）
1628	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会团体赛准备场（6）
1629	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	武林大会团体赛赛场（5）
1630	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	武林大会团体赛赛场（6）
1631	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	武林大会团体赛赛场（1）
1632	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	武林大会团体赛赛场（2）
1633	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	武林大会团体赛赛场（3）
1634	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	武林大会团体赛赛场（4）
1638	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	嘉峪关之战凤翔一
1644	1	1	1	1	1	1	1	1	1	1	1	1	8	8	8	8	英雄岛（8）
1645	1	1	1	1	2	2	2	2	2	2	2	2	9	9	9	9	英雄岛（9）
1646	1	1	1	2	3	3	7	3	3	3	3	3	10	10	10	10	英雄岛（10）
1647	1	1	2	2	4	4	4	4	4	4	4	4	11	11	11	11	英雄岛（11）
1648	1	2	3	3	5	5	5	5	5	5	5	5	12	12	12	12	英雄岛（12）
1649	1	2	3	3	3	6	6	6	6	6	6	6	13	13	13	13	英雄岛（13）
1650	1	2	2	4	2	4	3	7	7	7	7	7	7	14	14	14	英雄岛（14）
1651	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	跨服宋金报名点
1653	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	大逃杀准备场（1）
1654	1	2	2	2	2	7	7	7	7	7	7	7	7	7	7	7	大逃杀准备场（2）
1655	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	大逃杀（1）
1656	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	大逃杀（2）
1657	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	大逃杀（3）
1658	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	大逃杀（4）
1659	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6	6	大逃杀（5）
1660	1	2	2	2	2	7	7	7	7	7	7	7	7	7	7	7	大逃杀（6）
1661	1	2	2	2	2	7	7	7	7	7	7	7	7	7	7	7	大逃杀（7）
1662	1	2	2	2	2	7	7	7	7	7	7	7	7	7	7	7	大逃杀（8）
1663	1	2	2	2	2	7	7	7	7	7	7	7	7	7	7	7	大逃杀（9）
1664	1	2	2	2	2	7	7	7	7	7	7	7	7	7	7	7	大逃杀（10）
1893	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛会场（1）
1894	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	初级联赛会场（2）
1895	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛会场（3）
1896	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛会场（4）
1897	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛会场（5）
1898	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	初级联赛会场（6）
1899	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛会场（7）
1900	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛会场（8）
1901	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛会场（9）
1902	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛会场（10）
1903	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛会场（11）
1904	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛会场（12）
1905	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛准备场（1）
1906	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	初级联赛准备场（2）
1907	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛准备场（3）
1908	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛准备场（4）
1909	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛准备场（5）
1910	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	初级联赛准备场（6）
1911	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛准备场（7）
1912	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛准备场（8）
1913	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛准备场（9）
1914	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛准备场（10）
1915	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛准备场（11）
1916	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛准备场（12）
1917	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛比赛场（1）
1918	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	初级联赛比赛场（2）
1919	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛比赛场（3）
1920	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛比赛场（4）
1921	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛比赛场（5）
1922	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	初级联赛比赛场（6）
1923	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛比赛场（7）
1924	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛比赛场（8）
1925	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛比赛场（9）
1926	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛比赛场（10）
1927	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛比赛场（11）
1928	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛比赛场（12）
1929	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛会场（1）
1930	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级联赛会场（2）
1931	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛会场（3）
1932	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛会场（4）
1933	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛会场（5）
1934	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级联赛会场（6）
1935	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛会场（7）
1936	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛会场（8）
1937	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛会场（9）
1938	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛会场（10）
1939	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛会场（11）
1940	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛会场（12）
1941	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛准备场（1）
1942	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级联赛准备场（2）
1943	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛准备场（3）
1944	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛准备场（4）
1945	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛准备场（5）
1946	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级联赛准备场（6）
1947	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛准备场（7）
1948	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛准备场（8）
1949	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛准备场（9）
1950	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛准备场（10）
1951	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛准备场（11）
1952	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛准备场（12）
1953	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛比赛场（1）
1954	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级联赛比赛场（2）
1955	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛比赛场（3）
1956	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛比赛场（4）
1957	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛比赛场（5）
1958	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级联赛比赛场（6）
1959	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛比赛场（7）
1960	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛比赛场（8）
1961	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛比赛场（9）
1962	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛比赛场（10）
1963	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛比赛场（11）
1964	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛比赛场（12）
1965	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级多人赛比赛场（1）
1966	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	初级多人赛比赛场（2）
1967	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级多人赛比赛场（3）
1968	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级多人赛比赛场（4）
1969	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级多人赛比赛场（5）
1970	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	初级多人赛比赛场（6）
1971	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级多人赛比赛场（7）
1972	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级多人赛比赛场（8）
1973	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级多人赛比赛场（9）
1974	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级多人赛比赛场（10）
1975	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级多人赛比赛场（11）
1976	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级多人赛比赛场（12）
1977	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级多人赛比赛场（1）
1978	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级多人赛比赛场（2）
1979	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级多人赛比赛场（3）
1980	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级多人赛比赛场（4）
1981	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级多人赛比赛场（5）
1982	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级多人赛比赛场（6）
1983	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级多人赛比赛场（7）
1984	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级多人赛比赛场（8）
1985	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级多人赛比赛场（9）
1986	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级多人赛比赛场（10）
1987	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级多人赛比赛场（11）
1988	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级多人赛比赛场（12）
1989	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛比赛场（1）
1990	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	初级联赛比赛场（2）
1991	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛比赛场（3）
1992	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛比赛场（4）
1993	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛比赛场（5）
1994	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	初级联赛比赛场（6）
1995	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛比赛场（7）
1996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	初级联赛比赛场（8）
1997	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	初级联赛比赛场（9）
1998	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	初级联赛比赛场（10）
1999	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	初级联赛比赛场（11）
2000	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	初级联赛比赛场（12）
2001	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛比赛场（1）
2002	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级联赛比赛场（2）
2003	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛比赛场（3）
2004	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛比赛场（4）
2005	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛比赛场（5）
2006	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级联赛比赛场（6）
2007	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛比赛场（7）
2008	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级联赛比赛场（8）
2009	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级联赛比赛场（9）
2010	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级联赛比赛场（10）
2011	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级联赛比赛场（11）
2012	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级联赛比赛场（12）
1694	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级跨服联赛比赛场（1）
1695	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级跨服联赛比赛场（2）
1696	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级跨服联赛比赛场（3）
1697	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级跨服联赛比赛场（4）
1698	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级跨服联赛比赛场（5）
1699	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级跨服联赛比赛场（6）
1700	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级跨服联赛比赛场（7）
1701	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级跨服联赛比赛场（8）
1702	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级跨服联赛比赛场（9）
1703	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级跨服联赛比赛场（10）
1704	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级跨服联赛比赛场（11）
1705	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	高级跨服联赛比赛场（12）
1706	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	高级跨服联赛比赛场（1）
1707	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	高级跨服联赛比赛场（2）
1708	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	高级跨服联赛比赛场（3）
1709	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	高级跨服联赛比赛场（4）
1710	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	高级跨服联赛比赛场（5）
1711	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	高级跨服联赛比赛场（6）
