Id	ITEM_G	ITEM_D	ITEM_P	ITEM_L	NUM	CARD_G	CARD_D	CARD_P	CARD_L	CARD_DESC	CARD_WEIGHT	PROBABILITY
1	18	1	200	1	5	18	1	313	24	я╙с╟г╧	9	3000
2	18	1	201	1	5	18	1	313	25	аИйчу╫я╔	9	3000
3	18	1	202	1	5	18	1	313	26	╤щ╪ваИ╥Ш	9	3000
4	18	1	203	1	5	18	1	313	27	во╬╖╩цеЕ	9	3000
5	18	1	204	1	5	18	1	313	28	фъ╡йои╣╓	9	3000
6	18	1	315	1	1	18	1	313	29	п╟аИ	10	3000
7	18	1	316	1	1	18	1	313	30	й╔╨ш	10	3000
8	18	1	317	1	1	18	1	313	31	╠Ыа╚	10	3000
9	18	1	334	1	1	18	1	313	43	т╧аИ	10	3000
10	18	1	335	1	1	18	1	313	44	я╘╬╖й╞	10	3000
