BATTLE_LEVEL	WORLD_MAP_ID1	WORLD_MAP_ID2	WORLD_MAP_ID3	NPC_NUM_TYPE	BATTLE_MAP_NAME	BATTLE_RULE	START_FLAG	END_FLAG
1	187	263	284	1	九曲之战	2		
2	188	264		1	九曲之战	2		OpenSongjinDaXiaBattle
2	188	264		1	九曲之战	3		OpenSongjinDaXiaBattle
3	189	265		1	九曲之战	1		
3	189	265		1	九曲之战	2		
3	189	265		1	九曲之战	3		
1	193	269	286	1	蟠龙谷之战	2		
2	194	270		1	蟠龙谷之战	2		
2	194	270		1	蟠龙谷之战	3		
3	195	271		1	蟠龙谷之战	1		
3	195	271		1	蟠龙谷之战	2		
3	195	271		1	蟠龙谷之战	3		
1	1635	1636	1637	2	嘉峪关之战	2		
2	1638	1639		2	嘉峪关之战	2		OpenSongjinDaXiaBattle
2	1638	1639		2	嘉峪关之战	3		OpenSongjinDaXiaBattle
2	1638	1639		2	嘉峪关之战	5	OpenSongjinDaXiaBattle	
3	1641	1642		2	嘉峪关之战	1		
3	1641	1642		2	嘉峪关之战	2		
3	1641	1642		2	嘉峪关之战	3		
2	1638	1639		2	嘉峪关之战	6	OpenSongjinProtectTotem	
3	1641	1642		2	嘉峪关之战	6	OpenSongjinProtectTotem	
