QID	Use	Kind	Question	Answer	Select1	Setect2
1	0	战斗技能	陈年好酒的效果是什么?	增加篝火所赠予的经验	增加杀怪获得的经验	增加组队共享的经验
2	0	战斗技能	陈年好酒的效果可以持续多长时间?	3分钟	1分钟	5分钟
3	0	战斗技能	按什么键可以开始自动战斗?	Ctrl+F	Ctrl+C	Ctrl+A
4	0	战斗技能	下面关于怒气技能的说法，哪个是正确的?	怒气技能对玩家无效，pk状态下不能使用	怒气技能可以在任何情况下使用	怒气技能可以无限制的使用
5	0	疗伤	在哪里可以购买九转续命丸?	奇珍阁	药店	杂货店
6	0	疗伤	下面关于原地疗伤的说法，哪个是错误的?	使用食品可以原地疗伤	接受队友的治疗可以原地疗伤	使用九转续命丸可以原地疗伤
7	0	疗伤	重伤后，怎么样可以回城疗伤? 	点击弹出的疗伤选择界面的回城疗伤按钮	走回新手村复活疗伤	等待30秒自动回城复活
8	0	疗伤	怎样可以设定重伤回城复活点?	点击新手村/门派/城市的物品保管人，设置自己的疗伤点	车夫传送自动设置自己的疗伤点	不用设置，自动设定为本门派的物品保管人
9	0	战斗模式	下面关于屠杀的说法，哪个是错误的?	屠杀模式下可以攻击同一家族或者帮会的玩家	练功模式玩家不可以主动攻击屠杀模式玩家。	PK模式为屠杀时，玩家也不可以攻击白名阵营玩家。
10	0	战斗模式	同家族、同帮会、帮会联盟、同队伍中的玩家在什么情况下可以互相攻击?	建立切磋和仇杀关系时	一方进入屠杀模式时	双方都在练功模式时
11	0	战斗模式	按什么键可以切换战斗模式?	Ctrl+H	Ctrl+Z	Ctrl+C
12	0	清恶名值	通过哪个NPC可以自首坐牢?	临安和汴京的衙役	各个新手村的礼官	本门掌门
13	0	清恶名值	通过哪个NPC可以诵读慈悲心经降低恶名值?	云游僧人	衙役	本门掌门
14	0	清恶名值	在哪里可以购买慈悲心经	奇珍阁	药店	杂货店
15	0	清恶名值	当前正在坐牢的玩家，可以使用什么道具离开大牢?	刑部令牌	慈悲心经	朝廷诏书
16	0	擂台	通过哪个NPC可以报名参加擂台	公平子	武林盟主	叶芷琳
17	0	擂台	擂台允许的报名双方人数是多少？	1V1——6V6的对战	1V1——8V8的对战	1V1——10V10的对战
18	0	宋金	怎样进入宋金战场报名点?	在各大城市的宋/金军招募使处报名进入或者通过宋金诏书传入	通过车夫报名进入	通过各个掌门报名进入
19	0	宋金	60-89级玩家可以参加哪个战场?	扬州战场	凤翔战场	襄阳战场
20	0	宋金	90-119级玩家可以参加哪个战场?	凤翔战场	扬州战场	襄阳战场
21	0	宋金	120级和120级以上的玩家可以参加哪个战场?	襄阳战场	凤翔战场	扬州战场
22	0	宋金	双方至少各有多少人才能开启扬州战场?	6人	8人	12人
23	0	宋金	双方至少各有多少人才能开启凤翔战场?	8人	6人	12人
24	0	宋金	双方至少各有多少人才能开启襄阳战场?	12人	6人	8人
25	0	宋金	下面关于战场内组队的说法正确的是?	可以与本阵营玩家自由组队	可以与任何人组队	只可以与本帮会的人组队
26	0	宋金	宋金战场的杀戮模式，根据什么判定胜负?	双方各自的总积分	双方各自的杀人数	双方各自的护旗成功数量
27	0	宋金	宋金战场的护旗模式，优先根据什么判定胜负?	双方各自的护旗成功数量	双方各自的总积分	双方各自的杀人数
28	0	宋金	宋金战场的护旗模式，当双方护旗数量相同时，根据什么判定胜负?	双方各自的总积分	双方各自的杀人数	双方各自的剩余人数
29	0	宋金	宋金战场的元帅护卫模式中，下列说法不正确的是?	本方人数少于50大将出现	本方所有NPC大将全部被斩杀，元帅出现	战斗结束前20分钟，元帅出现
30	0	宋金	宋金战场中，按什么键可以查看战报?	~键	Tab键	Shift键
31	0	宋金	在哪个NPC处可以用战场积分换取经验奖励?	战场报名点的募兵校尉	宋金招募使	衙役
32	0	宋金	战场声望是按照什么标准奖励的?	根据每场战局的最终排名和积分	根据参加宋金战场的次数	根据在线时间
33	0	宋金	战场积分有什么用?	可以换取经验奖励，累计宋金荣誉	可以换取获得战场光环	可以换取剑侠币
34	0	宋金	战场声望可以累积么?	可以	不可以	一周内可以累积
35	0	宋金	宋金战场进行时，如何从战场返回报名点?	在军需官处选择返回报名点	无法返回报名点	用传送符返回报名点
36	0	宋金	宋金战场的军需要在哪个NPC处领取?	战场报名点的军需官	战场报名点的物品保管人	战场报名点的传送人
37	0	生活技能	活力的作用是什么?	加工生活技能需要的材料和装备拆解	用生活技能的材料制作所需要的物品	换取经验
38	0	生活技能	精力的作用是什么?	用生活技能的材料制作所需要的物品	加工生活技能需要的材料	换取经验
39	0	生活技能	怎样可以获得生活技能需要的材料?	在商店购买，或者通过装备拆解得到	在野外杀怪可以获得	从奇珍阁购买
40	0	生活技能	每个人可以学习多少个生活技能的配方?	没有限制	1个	2个
41	0	生活技能	下面关于装备拆解的说法正确的是?	只有非绑定装备才能拆解	强化过的装备可以拆解	声望换取的装备可以拆解
42	0	生活技能	装备拆解除需要被拆解的装备以外，还需要消耗什么?	活力值	精力值	剑侠币
43	0	生活技能	按哪个键可以打开生活技能面板?	F8	F4	F1
44	0	生活技能	生活技能怎么样升级?	通过成功使用该生活技能获得的经验升级	通过杀怪获得的经验升级	用剑侠币升级
45	0	生活技能	怎么样可以学习到生活技能?	通过教育任务学习或者到20级自动学会生活技能	在本门掌门处学习生活技能	在白秋琳处学习生活技能
46	0		怎样可以自动寻路?	在小地图上点鼠标左键可以自动寻路	在聊天框内输入想到达的坐标	按Tab键自动到达
47	0		打开背包的快捷键是什么?	F2	F3       	F4       
48	0	组队	如何邀请玩家组队?	“按住Ctrl然后右键点击另一个玩家，选择“组队”	在聊天框内输入“邀请组队”	双击想邀请的玩家
49	0	组队	如何加入队伍?	按住Ctrl然后右键点击另一个是队长的玩家，选择“入队”	在聊天框内输入“入队”	双击在队伍中的玩家
50	0	组队	如何退出队伍?	打开组队界面，点击离开队伍按钮	在聊天框内输入“退队”	双击队长
51	0	组队	谁可以踢人出队伍?	只有队伍的队长可以	队伍里的每个成员都可以	队伍里级别最高的人才可以
52	0	组队	谁可以选择队伍物品分配模式?	只有队伍的队长可以	队伍里的每个成员都可以	队伍里级别最高的人才可以
53	0	组队	组队的队伍共享模式下，打怪掉落的物品怎样分配?	只要是队伍中的成员就都可以拾取	只有队长可以拾取	只有杀死它的那个人才能拾取
54	0	组队	组队的个人保护模式下，打怪掉落的物品怎样分配?	只有杀死它的那个人才能拾取	只有队长可以拾取	只要是队伍中的成员就都可以拾取
55	0	组队	打开组队界面的快捷键是什么?	P	I	M
56	0	好友	如何加别人为好友	按住Ctrl然后右键点击另一个玩家，选择“好友”	在聊天框内输入“好友+玩家名字”	双击想加为好友的玩家
57	0	好友	打开好友界面的快捷键是什么?	F5	F4	F8
58	0	好友	如何在好友界面进行交互操作?	在好友界面右键点击玩家名字后弹出交互界面	在聊天框内输入“好友+玩家名字”	双击好友发的人物
59	0	好友	和其他人交易的快捷键是什么?	按住Ctrl然后右键点击另一个玩家，选择“交易”	在聊天框内输入“交易+玩家名字”	双击想交易的人物
60	0	强化	找哪个NPC可以强化装备?	冶炼大师	铁匠	龙五太爷
61	0	强化	强化装备需要什么材料?	剑侠币和玄晶	金币	精力和活力
62	0	强化	强化装备失败，会有什么后果?	装备强化等级不变，其他属性不变	强化等级变为0级	装备会消失
63	0		怎么获得离线托管时间?	使用白驹丸	做义军任务	人物升级自动获得
64	0		怎样获得白驹丸?	在“奇珍阁”购买	在活动中获得	杀怪获得
65	0		用来修理装备最大耐久的道具是什么?	金犀	白驹丸	九转续命丸
66	0		上马下马的快捷键是什么?	M	P	I
67	0		打开邮箱的快捷键是什么?	I	M	N
68	0	师徒	多少级的玩家可以收徒弟?	达到69级	达到60级	达到80级
69	0	师徒	每人同时最多可以拥有多少未出师的徒弟？	3个	5个	8个
70	0	师徒	每人可以同时拜多少个玩家为师父？	1个	2个	3个
71	0	师徒	多少级才可以拜师？	20级	10级	30级
72	0	师徒	出师的条件错误的一项是什么？	徒弟拜师30天以上	徒弟等级达到69级	徒弟与师傅亲密度达到3级
73	0		多少级的玩家可以体验白虎堂活动?	50级以上	70级以上	100级以上
74	0		每人每天最多可以参加多少次白虎堂活动?	3次	1次	2次
75	0		每人每天可以猜多少个灯谜?	30个	20个	10个
76	0		猜灯谜活动的花灯会出现在哪些地图?	8个新手村	7个城市	各个门派
77	0		猜灯谜活动在哪个NPC处领取奖励?	礼官	白秋琳	龙五太爷
78	0		多少级时可以加入门派?	10级	20级	30级
79	0		剑侠世界一共有多少个新手村?	8个	10个	6个
80	0		剑侠世界一共有多少个门派?	12个	10个	8个
81	0		剑侠世界一共有多少个城市?	7个	8个	10个
82	0		按什么键可以进入聊天界面？	回车键	Tab键	Shift键
83	0		按什么键可以切换聊天频道？	Page Down	回车键	Tab键
84	0		什么是金币？	金币是一种特殊的货币，可以用来在“奇珍阁”购买各种道具	金币就是剑侠币	金币是生活技能制造出来的特殊货币
