Type	X	Y
rand	1436	3297
rand	1439	3361
rand	1436	3364
rand	1439	3368
rand	1440	3301
rand	1444	3305
rand	1448	3309
rand	1452	3313
rand	1445	3355
rand	1442	3358
rand	1443	3372
rand	1456	3317
rand	1471	3406
rand	1474	3409
rand	1477	3412
rand	1480	3409
rand	1483	3406
rand	1486	3403
rand	1499	3371
rand	1502	3368
rand	1502	3374
rand	1511	3359
rand	1505	3365
rand	1508	3362
rand	1531	3295
rand	1533	3281
rand	1528	3287
rand	1540	3284
rand	1539	3275
rand	1544	3281
rand	1547	3276
rand	1550	3272
rand	1567	3275
rand	1552	3267
rand	1569	3280
rand	1574	3276
rand	1577	3281
rand	1574	3286
rand	1580	3290
rand	1591	3231
rand	1593	3225
rand	1598	3227
rand	1586	3231
rand	1593	3259
rand	1591	3253
rand	1587	3246
rand	1585	3240
rand	1585	3290
rand	1597	3264
rand	1602	3221
rand	1604	3215
rand	1607	3210
rand	1608	3274
rand	1605	3271
rand	1600	3269
rand	1628	3203
rand	1630	3208
rand	1635	3204
rand	1636	3214
rand	1642	3214
rand	1641	3222
rand	1645	3226
rand	1649	3230
rand	1653	3234
rand	1649	3287
rand	1652	3290
rand	1655	3293
rand	1651	3282
rand	1649	3274
rand	1658	3297
rand	1661	3301
rand	1666	3300
rand	1667	3310
yellow	1702	3324
yellow	1707	3329
yellow	1710	3332
yellow	1713	3335
yellow	1716	3338
yellow	1719	3341
yellow	1722	3344
yellow	1742	3282
yellow	1729	3286
yellow	1737	3288
yellow	1735	3355
yellow	1737	3366
yellow	1756	3289
yellow	1751	3289
yellow	1747	3367
yellow	1756	3377
yellow	1775	3321
yellow	1772	3318
yellow	1769	3315
yellow	1766	3312
yellow	1763	3309
yellow	1760	3306
yellow	1762	3373
green	1695	3315
green	1728	3350
green	1776	3338
green	1759	3297
