Type	X	Y
rand	1494	3227
rand	1490	3222
rand	1493	3215
rand	1492	3207
rand	1501	3304
rand	1498	3301
rand	1495	3298
rand	1491	3296
rand	1511	3270
rand	1514	3267
rand	1517	3264
rand	1513	3316
rand	1510	3313
rand	1507	3310
rand	1504	3307
rand	1549	3284
rand	1551	3287
rand	1558	3275
rand	1555	3278
rand	1552	3281
rand	1554	3290
rand	1555	3295
rand	1556	3301
rand	1582	3286
rand	1588	3292
rand	1585	3289
rand	1599	3303
rand	1592	3296
rand	1596	3300
rand	1603	3307
rand	1640	3238
rand	1644	3242
rand	1648	3246
rand	1652	3250
rand	1656	3254
rand	1661	3297
rand	1658	3300
rand	1655	3303
rand	1667	3291
rand	1664	3294
yellow	1500	3169
yellow	1508	3159
yellow	1511	3156
yellow	1515	3154
yellow	1518	3152
yellow	1527	3145
yellow	1530	3142
yellow	1533	3139
yellow	1546	3127
yellow	1549	3124
yellow	1555	3118
yellow	1558	3115
yellow	1561	3112
yellow	1573	3100
yellow	1576	3097
yellow	1579	3094
yellow	1582	3091
green	1498	3175
green	1523	3148
green	1552	3121
rand	1613	3204
rand	1617	3208
rand	1621	3212
rand	1628	3133
rand	1631	3136
rand	1634	3139
rand	1697	3190
rand	1703	3193
rand	1709	3191
rand	1737	3160
rand	1730	3152
rand	1728	3172
rand	1736	3171
rand	1741	3171
rand	1744	3162
green	1648	3156
yellow	1651	3159
yellow	1654	3162
yellow	1657	3165
yellow	1660	3168
yellow	1663	3171
yellow	1666	3174
yellow	1671	3169
yellow	1675	3172
rand	1680	3173
rand	1688	3180
