Faction	RoutId	PartId	Sex	Genre	DetailType	ParticularType	Level	PartInfo	RoutInfo
1	1	1	1	2	6	61	10	护身符	刀少
1	1	2	1	2	3	232	10	衣服	刀少
1	1	3	1	2	8	110	10	腰带	刀少
1	1	4	1	2	7	112	10	鞋子	刀少
1	1	5	1	2	10	112	10	护腕	刀少
1	1	6	1	2	9	230	10	帽子	刀少
1	1	7	1	2	5	60	10	项链	刀少
1	1	8	1	2	11	110	10	玉佩	刀少
1	1	9	1	2	4	60	10	戒指	刀少
1	1	10	1	2	1	191	10	武器	刀少
1	1	1	2	2	6	61	10	护身符	刀少
1	1	2	2	2	3	242	10	衣服	刀少
1	1	3	2	2	8	120	10	腰带	刀少
1	1	4	2	2	7	122	10	鞋子	刀少
1	1	5	2	2	10	122	10	护腕	刀少
1	1	6	2	2	9	240	10	帽子	刀少
1	1	7	2	2	5	60	10	项链	刀少
1	1	8	2	2	11	120	10	玉佩	刀少
1	1	9	2	2	4	60	10	戒指	刀少
1	1	10	2	2	1	191	10	武器	刀少
1	2	1	1	2	6	61	10	护身符	棍少
1	2	2	1	2	3	212	10	衣服	棍少
1	2	3	1	2	8	110	10	腰带	棍少
1	2	4	1	2	7	112	10	鞋子	棍少
1	2	5	1	2	10	112	10	护腕	棍少
1	2	6	1	2	9	210	10	帽子	棍少
1	2	7	1	2	5	60	10	项链	棍少
1	2	8	1	2	11	110	10	玉佩	棍少
1	2	9	1	2	4	60	10	戒指	棍少
1	2	10	1	2	1	201	10	武器	棍少
1	2	1	2	2	6	61	10	护身符	棍少
1	2	2	2	2	3	222	10	衣服	棍少
1	2	3	2	2	8	120	10	腰带	棍少
1	2	4	2	2	7	122	10	鞋子	棍少
1	2	5	2	2	10	122	10	护腕	棍少
1	2	6	2	2	9	220	10	帽子	棍少
1	2	7	2	2	5	60	10	项链	棍少
1	2	8	2	2	11	120	10	玉佩	棍少
1	2	9	2	2	4	60	10	戒指	棍少
1	2	10	2	2	1	201	10	武器	棍少
2	1	1	1	2	6	61	10	护身符	枪天
2	1	2	1	2	3	212	10	衣服	枪天
2	1	3	1	2	8	110	10	腰带	枪天
2	1	4	1	2	7	112	10	鞋子	枪天
2	1	5	1	2	10	112	10	护腕	枪天
2	1	6	1	2	9	210	10	帽子	枪天
2	1	7	1	2	5	60	10	项链	枪天
2	1	8	1	2	11	110	10	玉佩	枪天
2	1	9	1	2	4	60	10	戒指	枪天
2	1	10	1	2	1	211	10	武器	枪天
2	1	1	2	2	6	61	10	护身符	枪天
2	1	2	2	2	3	222	10	衣服	枪天
2	1	3	2	2	8	120	10	腰带	枪天
2	1	4	2	2	7	122	10	鞋子	枪天
2	1	5	2	2	10	122	10	护腕	枪天
2	1	6	2	2	9	220	10	帽子	枪天
2	1	7	2	2	5	60	10	项链	枪天
2	1	8	2	2	11	120	10	玉佩	枪天
2	1	9	2	2	4	60	10	戒指	枪天
2	1	10	2	2	1	211	10	武器	枪天
2	2	1	1	2	6	61	10	护身符	锤天
2	2	2	1	2	3	212	10	衣服	锤天
2	2	3	1	2	8	110	10	腰带	锤天
2	2	4	1	2	7	112	10	鞋子	锤天
2	2	5	1	2	10	112	10	护腕	锤天
2	2	6	1	2	9	210	10	帽子	锤天
2	2	7	1	2	5	60	10	项链	锤天
2	2	8	1	2	11	110	10	玉佩	锤天
2	2	9	1	2	4	60	10	戒指	锤天
2	2	10	1	2	1	221	10	武器	锤天
2	2	1	2	2	6	61	10	护身符	锤天
2	2	2	2	2	3	222	10	衣服	锤天
2	2	3	2	2	8	120	10	腰带	锤天
2	2	4	2	2	7	122	10	鞋子	锤天
2	2	5	2	2	10	122	10	护腕	锤天
2	2	6	2	2	9	220	10	帽子	锤天
2	2	7	2	2	5	60	10	项链	锤天
2	2	8	2	2	11	120	10	玉佩	锤天
2	2	9	2	2	4	60	10	戒指	锤天
2	2	10	2	2	1	221	10	武器	锤天
3	1	1	1	2	6	71	10	护身符	陷阱
3	1	2	1	2	3	252	10	衣服	陷阱
3	1	3	1	2	8	130	10	腰带	陷阱
3	1	4	1	2	7	132	10	鞋子	陷阱
3	1	5	1	2	10	132	10	护腕	陷阱
3	1	6	1	2	9	250	10	帽子	陷阱
3	1	7	1	2	5	70	10	项链	陷阱
3	1	8	1	2	11	130	10	玉佩	陷阱
3	1	9	1	2	4	70	10	戒指	陷阱
3	1	10	1	2	2	30	10	武器	陷阱
3	1	1	2	2	6	71	10	护身符	陷阱
3	1	2	2	2	3	262	10	衣服	陷阱
3	1	3	2	2	8	140	10	腰带	陷阱
3	1	4	2	2	7	142	10	鞋子	陷阱
3	1	5	2	2	10	142	10	护腕	陷阱
3	1	6	2	2	9	260	10	帽子	陷阱
3	1	7	2	2	5	70	10	项链	陷阱
3	1	8	2	2	11	140	10	玉佩	陷阱
3	1	9	2	2	4	70	10	戒指	陷阱
3	1	10	2	2	2	30	10	武器	陷阱
3	2	1	1	2	6	71	10	护身符	袖箭
3	2	2	1	2	3	252	10	衣服	袖箭
3	2	3	1	2	8	130	10	腰带	袖箭
3	2	4	1	2	7	132	10	鞋子	袖箭
3	2	5	1	2	10	132	10	护腕	袖箭
3	2	6	1	2	9	250	10	帽子	袖箭
3	2	7	1	2	5	70	10	项链	袖箭
3	2	8	1	2	11	130	10	玉佩	袖箭
3	2	9	1	2	4	70	10	戒指	袖箭
3	2	10	1	2	2	40	10	武器	袖箭
3	2	1	2	2	6	71	10	护身符	袖箭
3	2	2	2	2	3	262	10	衣服	袖箭
3	2	3	2	2	8	140	10	腰带	袖箭
3	2	4	2	2	7	142	10	鞋子	袖箭
3	2	5	2	2	10	142	10	护腕	袖箭
3	2	6	2	2	9	260	10	帽子	袖箭
3	2	7	2	2	5	70	10	项链	袖箭
3	2	8	2	2	11	140	10	玉佩	袖箭
3	2	9	2	2	4	70	10	戒指	袖箭
3	2	10	2	2	2	40	10	武器	袖箭
4	1	1	1	2	6	71	10	护身符	刀毒
4	1	2	1	2	3	252	10	衣服	刀毒
4	1	3	1	2	8	130	10	腰带	刀毒
4	1	4	1	2	7	132	10	鞋子	刀毒
4	1	5	1	2	10	132	10	护腕	刀毒
4	1	6	1	2	9	250	10	帽子	刀毒
4	1	7	1	2	5	70	10	项链	刀毒
4	1	8	1	2	11	130	10	玉佩	刀毒
4	1	9	1	2	4	70	10	戒指	刀毒
4	1	10	1	2	1	231	10	武器	刀毒
4	1	1	2	2	6	71	10	护身符	刀毒
4	1	2	2	2	3	262	10	衣服	刀毒
4	1	3	2	2	8	140	10	腰带	刀毒
4	1	4	2	2	7	142	10	鞋子	刀毒
4	1	5	2	2	10	142	10	护腕	刀毒
4	1	6	2	2	9	260	10	帽子	刀毒
4	1	7	2	2	5	70	10	项链	刀毒
4	1	8	2	2	11	140	10	玉佩	刀毒
4	1	9	2	2	4	70	10	戒指	刀毒
4	1	10	2	2	1	231	10	武器	刀毒
4	2	1	1	2	6	71	10	护身符	掌毒
4	2	2	1	2	3	252	10	衣服	掌毒
4	2	3	1	2	8	130	10	腰带	掌毒
4	2	4	1	2	7	132	10	鞋子	掌毒
4	2	5	1	2	10	132	10	护腕	掌毒
4	2	6	1	2	9	250	10	帽子	掌毒
4	2	7	1	2	5	70	10	项链	掌毒
4	2	8	1	2	11	130	10	玉佩	掌毒
4	2	9	1	2	4	70	10	戒指	掌毒
4	2	10	1	2	1	241	10	武器	掌毒
4	2	1	2	2	6	71	10	护身符	掌毒
4	2	2	2	2	3	262	10	衣服	掌毒
4	2	3	2	2	8	140	10	腰带	掌毒
4	2	4	2	2	7	142	10	鞋子	掌毒
4	2	5	2	2	10	142	10	护腕	掌毒
4	2	6	2	2	9	260	10	帽子	掌毒
4	2	7	2	2	5	70	10	项链	掌毒
4	2	8	2	2	11	140	10	玉佩	掌毒
4	2	9	2	2	4	70	10	戒指	掌毒
4	2	10	2	2	1	241	10	武器	掌毒
5	1	1	1	2	6	81	10	护身符	掌峨
5	1	2	1	2	3	312	10	衣服	掌峨
