MapId	PosX	PosY
23	1453	3138	
23	1452	3149	
23	1448	3146	
23	1453	3143	
23	1446	3154	
23	1455	3156	
23	1460	3136	
23	1458	3158	
23	1464	3155	
23	1464	3165	
23	1457	3166	
23	1461	3163	
23	1469	3167	
23	1467	3173	
23	1471	3171	
23	1474	3175	
23	1484	3184	
23	1473	3182	
23	1477	3189	
23	1483	3179	
23	1480	3184	
23	1484	3192	
23	1494	3190	
23	1488	3195	
23	1489	3190	
23	1490	3180	
23	1494	3198	
23	1501	3195	
23	1500	3201	
23	1506	3198	
23	1504	3211	
23	1513	3212	
23	1506	3204	
23	1517	3223	
23	1514	3218	
23	1517	3211	
23	1521	3007	
23	1523	2998	
23	1531	2996	
23	1527	3003	
23	1528	2988	
23	1533	2982	
23	1526	3140	
23	1520	3220	
23	1529	3229	
23	1523	3231	
23	1525	3225	
23	1524	3216	
23	1534	3237	
23	1538	2975	
23	1545	2986	
23	1538	2989	
23	1541	2981	
23	1551	2978	
23	1548	2983	
23	1548	2976	
23	1546	3155	
23	1548	3147	
23	1544	3152	
23	1540	3154	
23	1551	3142	
23	1549	3163	
23	1537	3230	
23	1545	3223	
23	1551	3216	
23	1547	3220	
23	1539	3225	
23	1544	3217	
23	1550	3210	
23	1549	3262	
23	1563	2967	
23	1556	2971	
23	1564	2961	
23	1560	2967	
23	1566	3162	
23	1562	3153	
23	1562	3163	
23	1558	3153	
23	1558	3144	
23	1554	3148	
23	1559	3136	
23	1556	3140	
23	1564	3176	
23	1553	3169	
23	1557	3211	
23	1554	3211	
23	1558	3206	
23	1567	3249	
23	1567	3277	
23	1569	2961	
23	1569	2971	
23	1572	2977	
23	1581	2984	
23	1583	2994	
23	1578	2984	
23	1578	2990	
23	1578	2976	
23	1569	3159	
23	1575	3157	
23	1572	3165	
23	1568	3169	
23	1577	3189	
23	1579	3196	
23	1572	3184	
23	1577	3246	
23	1572	3252	
23	1576	3258	
23	1577	3251	
23	1574	3238	
23	1572	3247	
23	1569	3257	
23	1582	3244	
23	1583	3256	
23	1583	3251	
23	1571	3237	
23	1574	3269	
23	1574	3278	
23	1570	3271	
23	1579	3265	
23	1590	2982	
23	1590	2994	
23	1584	2989	
23	1587	2982	
23	1589	2990	
23	1591	3001	
23	1597	2998	
23	1594	2988	
23	1591	2976	
23	1598	3131	
23	1599	3116	
23	1595	3137	
23	1589	3145	
23	1585	3149	
23	1586	3252	
23	1590	3250	
23	1600	3004	
23	1612	3003	
23	1606	3002	
23	1606	3014	
23	1603	3009	
23	1613	3011	
23	1613	3028	
23	1608	3037	
23	1603	3033	
23	1601	3040	
23	1600	3047	
23	1610	3129	
23	1606	3123	
23	1613	3124	
23	1603	3120	
23	1605	3115	
23	1602	3112	
23	1616	3026	
23	1621	3014	
23	1623	3008	
23	1627	3027	
23	1624	3022	
23	1629	3037	
23	1627	3119	
23	1617	3126	
23	1621	3119	
23	1623	3113	
23	1616	3135	
23	1627	3130	
23	1621	3138	
23	1628	3136	
23	1637	3039	
23	1634	3027	
23	1643	3036	
23	1634	3034	
23	1634	3041	
23	1643	3049	
23	1647	3048	
23	1638	3049	
23	1645	3058	
23	1643	3043	
23	1646	3092	
23	1640	3098	
23	1641	3094	
23	1636	3101	
23	1637	3093	
23	1653	3058	
23	1651	3066	
23	1650	3055	
23	1656	3052	
23	1657	3066	
23	1651	3081	
23	1649	3087	
23	1664	3064	
24	1565	3478
24	1577	3483
24	1568	3474
24	1572	3482
24	1577	3469
24	1581	3462
24	1583	3501
24	1592	3449
24	1594	3443
24	1598	3510
24	1589	3505
24	1601	3441
24	1613	3430
24	1606	3438
24	1614	3530
24	1606	3529
24	1608	3522
24	1604	3523
24	1627	3415
24	1619	3421
24	1631	3412
24	1622	3419
24	1620	3542
24	1626	3537
24	1635	3550
24	1643	3562
24	1634	3557
24	1655	3573
24	1659	3567
24	1662	3585
24	1679	3407
24	1671	3399
24	1679	3395
24	1666	3577
24	1676	3590
24	1669	3592
24	1683	3385
24	1694	3380
24	1687	3415
24	1695	3425
24	1684	3602
24	1684	3587
24	1695	3607
24	1690	3613
24	1690	3599
24	1701	3370
24	1710	3365
24	1706	3437
24	1709	3445
24	1711	3437
24	1701	3611
24	1710	3607
24	1704	3616
24	1697	3622
24	1710	3625
24	1709	3633
24	1724	3357
24	1717	3362
24	1714	3445
24	1724	3457
24	1724	3518
24	1722	3527
24	1713	3527
24	1717	3538
24	1726	3537
24	1720	3639
24	1734	3372
24	1728	3368
24	1739	3383
24	1731	3465
24	1741	3473
24	1735	3510
24	1728	3511
24	1740	3501
24	1731	3535
24	1739	3539
24	1730	3638
24	1730	3648
24	1736	3660
24	1757	3405
24	1754	3397
24	1757	3393
24	1755	3407
24	1749	3397
24	1757	3483
24	1749	3503
24	1744	3510
24	1748	3490
24	1755	3495
24	1748	3550
24	1747	3538
24	1759	3548
24	1756	3675
24	1748	3674
24	1746	3663
24	1756	3667
24	1758	3684
24	1754	3681
24	1770	3408
24	1768	3405
24	1767	3417
24	1775	3400
24	1762	3481
