Index	Name	Id	BindType	Timeout	Rate	Weight	Level	TaskCountNoUse	ServerCountUse	ChangeCoin	SystemMsg	TongMsg	FriendMsg
1	游龙阁声望符[护身符]	18,1,529,1			5	1	5	1000	100000	8000	1	1	1
2	游龙阁声望符[帽子]	18,1,529,2			5	1	5	1000	100000	8000	1	1	1
3	游龙阁声望符[衣服]	18,1,529,3			5	1	5	1000	100000	8000	1	1	1
4	游龙阁声望符[腰带]	18,1,529,4			5	1	5	1000	100000	8000	1	1	1
5	游龙阁声望符[鞋子]	18,1,529,5			5	1	5	1000	100000	8000	1	1	1
6	10级玄晶（绑定）	18,1,114,10			27	2	4	0	0	400	1	1	1
7	9级玄晶（绑定）	18,1,114,9			270	5	4	0	0	100	1	1	1
8	高级勾魂玉	18,1,146,3			90	5	4	0	0	120	1	1	1
9	马牌（奔宵）	1,12,11,4		259200	45	5	4	0	0	100	1	1	1
10	8级玄晶（绑定）	18,1,114,8			2700	15	4	0	0	30		1	1
11	彩云追月	18,1,464,1			450	10	4	0	0	100		1	1
12	沧海月明	18,1,465,1			450	10	4	0	0	100		1	1
13	和氏玉	22,1,81,1			450	10	4	0	0	80		1	1
14	7级玄晶（绑定）	18,1,114,7			27000	50	3	0	0	10			
15	初级祈福令牌（绑定）	18,1,212,1	1		9000	30	3	0	0	18			
16	秘境地图	18,1,251,1	1		9000	33	3	0	0	18			
17	游龙阁碎金锭	18,1,527,2			7200	30	3	0	0	10			
18	穿珠银帖(绑定)	18,1,541,2	1		9000	30	3	0	0	10			
19	百炼强身丸（绑定）	18,1,468,1	1		18000	40	3	0	0	5			
20	6级玄晶（绑定）	18,1,114,6			108000	40	3	0	0	2			
21	灵芝续命丸·箱（绑定）	18,1,241,1	1		18000	40	3	0	0	3			
22	六韬辑注	18,1,320,2			900	30	3	0	0	5			
23	酒箱（50瓶）（绑定）	18,1,189,2	1		9000	30	2	0	0	1			
24	游龙阁开心蛋	18,1,525,1			72000	80	3	0	0	4			
25	游龙阁威望符	18,1,528,1			90000	50	2	0	0	1			
26	乾坤符	18,1,85,1			4500	50	2	0	0	1			
27	5级玄晶（绑定）	18,1,114,5			108000	60	1	0	0	1			
28	游龙阁精气丸	18,1,532,1			27000	50	2	0	0	2			
29	游龙阁活气丸	18,1,531,1			27000	50	2	0	0	2			
30	游龙阁修炼符	18,1,526,1			135000	60	1	0	0	1			
31	游龙阁铜钱	18,1,527,1			156679	60	1	0	0	1			
32	普通的精魄（绑定）	18,1,544,1	1		36000	60	1	0	0	1			
33	同伴经验书（不绑定）	18,1,543,1			72000	60	1	0	0	1			
34	游龙阁声望符[项链]	18,1,529,6			5	1	5	1000	100000	8000	1	1	1
35	游龙阁声望符[戒指]	18,1,529,7			5	1	5	1000	100000	8000	1	1	1
36	游龙阁声望符[护腕]	18,1,529,8			5	1	5	1000	100000	8000	1	1	1
37	游龙阁声望符[腰坠]	18,1,529,9			5	1	5	1000	100000	8000	1	1	1
38	小游龙阁声望符[护身符]	18,1,1251,1			15	3	4	0	0	800	1	1	1
39	小游龙阁声望符[帽子]	18,1,1251,2			15	3	4	0	0	800	1	1	1
40	小游龙阁声望符[衣服]	18,1,1251,3			15	3	4	0	0	800	1	1	1
41	小游龙阁声望符[腰带]	18,1,1251,4			15	3	4	0	0	800	1	1	1
42	小游龙阁声望符[鞋子]	18,1,1251,5			15	3	4	0	0	800	1	1	1
43	小游龙阁声望符[项链]	18,1,1251,6			15	3	4	0	0	800	1	1	1
44	小游龙阁声望符[戒指]	18,1,1251,7			15	3	4	0	0	800	1	1	1
45	小游龙阁声望符[护腕]	18,1,1251,8			15	3	4	0	0	800	1	1	1
46	小游龙阁声望符[腰坠]	18,1,1251,9			15	3	4	0	0	800	1	1	1
