Id	PosType	Layer	AdjustColor	ImageFile	IconFile	Loop	Buff	DrawProp	Tip
1	head	1		\image\effect\fightskill\public\state_weak.spr	\image\icon\fightskill\state\weak.spr	1	0	1	虚弱，攻击力降低至50%
2		1	Cyan		\image\icon\fightskill\state\slowall.spr	1	0	1	迟缓，移动和出招速度减慢至50%
3		1	Gold		\image\icon\fightskill\state\burn.spr	1	0	1	灼伤，受到的伤害增加至1.5倍
4		1	Green3		\image\icon\fightskill\state\poisoning.spr	1	0	1	中毒，受到持续的毒伤害
5	head	1		\image\effect\fightskill\public\state_stun.spr	\image\icon\fightskill\state\stun.spr	1	0	1	眩晕，暂停移动，暂停出招，无法使用道具
6	head	1		\image\effect\fightskill\public\state_fixed.spr	\image\icon\fightskill\state\fixed.spr	1	0	1	定身，无法移动，无法使用轻功
7	body	1		\image\effect\fightskill\public\state_palsy.spr	\image\icon\fightskill\state\palsy.spr	1	0	1	麻痹，无法移动，无法出招
8	head	1		\image\effect\fightskill\public\state_slowrun.spr	\image\icon\fightskill\state\slowrun.spr	1	0	1	移动速度降低
9	body	1		\image\effect\fightskill\public\state_freeze.spr	\image\icon\fightskill\state\freeze.spr	1	0	1	冻结，无法移动，无法出招，无法使用道具，不受伤害
10	head	1		\image\effect\fightskill\public\state_confuse.spr	\image\icon\fightskill\state\confuse.spr	1	0	1	混乱，在附近失控的随机乱走，可以使用道具
11	head	1		\image\effect\other\tanhao.spr		1	0	1	主线头顶叹号
12	head	1		\image\effect\other\wenhao.spr		1	0	1	主线头顶问号
13	minimap	1		\image\effect\other\tanhao_map.spr		1	0		主线小地图叹号
14	minimap	1		\image\effect\other\wenhao_map.spr		1	0		主线小地图问号
15	ground	0		\image\effect\fightskill\shaolin\sl_70_alhsg_b.spr	\image\icon\fightskill\state\aluohanshengong.spr	1	1	2	阿罗汉神功
16	body	1		\image\effect\fightskill\shaolin\sl_70_ptxf_b.spr	\image\icon\fightskill\state\putixinfa.spr	1	1	2	菩提心法
17	body	1		\image\effect\fightskill\shaolin\sl_30_bdmw_b.spr	\image\icon\fightskill\state\budongmingwang.spr	1	0	3	不动明王
18	head	1		\image\effect\fightskill\tianwang\tw_70_twzy_b.spr	\image\icon\fightskill\state\tianwangzhanyi.spr	1	1	2	天王战意
19	body	1		\image\effect\fightskill\tianwang\tw_70_jzz_b.spr	\image\icon\fightskill\state\jinzhongzhao.spr	1	1	2	金钟罩
20	ground	0		\image\effect\fightskill\tangmen\tm_30_cds_b2.spr	\image\icon\fightskill\state\cuidushu.spr	1	1	2	淬毒术
21	ground	0		\image\effect\fightskill\wudu\wu_30_wxg_b.spr		1	1	2	无形蛊
22	head	1		\image\effect\fightskill\wudu\wu_70_wgsx_b.spr	\image\icon\fightskill\state\wangushixin.spr	1	0	2	万蛊蚀心
23	head	1		\image\effect\fightskill\wudu\wu_30_bmxg_b.spr	\image\icon\fightskill\state\beimoxueguang.spr	1	0	2	悲魔血光
24	head	1		\image\effect\fightskill\wudu\wu_50_cxdc_b.spr	\image\icon\fightskill\state\chuanxinduci.spr	1	0	2	穿心毒刺
