Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	UnLockInterval
[面具]快乐的小男孩		1	1	13	1	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	100	0			3	0	mask	0	0		4118	4118																																																																																																																																
[面具]快乐的小女孩		1	1	13	2	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	100	0			3	0	mask	0	0		4119	4119																																																																																																																																
[面具]快乐的小男孩		1	1	13	3	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	6000	0			2	0	mask	0	0		4118	4118																																																																																																																																
[面具]快乐的小女孩		1	1	13	4	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	6000	0			2	0	mask	0	0		4119	4119																																																																																																																																
[面具]谷仙仙		1	1	13	5	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	100	0			2	0	mask	0	0		2772	2772																																																																																																																																
[面具]醉僧		1	1	13	6	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	100	0			2	0	mask	0	0		2773	2773																																																																																																																																
[面具]女刺客		1	1	13	7	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	3000	0			2	0	mask	0	0		2207	2207																																																																																																																																
[面具]夺宝贼		1	1	13	8	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	3000	0			2	0	mask	0	0		2007	2007																																																																																																																																
[面具]小野人		1	1	13	9	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	3000	0			2	0	mask	0	0		2309	2309																																																																																																																																
[面具]冷霜然		1	1	13	10	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	100	0			2	0	mask	0	0		2741	2741																																																																																																																																
[面具]肖良		1	1	13	11	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	100	0			2	0	mask	0	0		2742	2742																																																																																																																																
[面具]宝果子		1	1	13	12	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	100	0			3	0	mask	0	0		4173	4173																																																																																																																																
[面具]二丫		1	1	13	13	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	100	0			3	0	mask	0	0		4174	4174																																																																																																																																
[面具]圣诞老人		1	1	13	14	1	\image\item\equip\mask\mianju_putong.spr		35	用于易容术的面具，装备到装备栏中即可变成该NPC的样子		0	0	0			2	0	mask	0	0		3468	3468																																																																																																																																
