Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	ZhenId	UnLockInterval	FightPower
初级阵法图：五行阵	阵法图：五行阵	1	1	15	1	1	\image\item\equip\book\n_xinshoumiji_s.spr	\image\item\equip\book\n_xinshoumiji.spr	32	激活规则：队长身边每多一个不同五行的成员，则阵法激活等级提高一级		0	500	10000			1		zhen																																																																											5	1																																																									1		
中级阵法图：八卦阵·离	阵法图：八卦阵·离	1	1	15	2	1	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	组队情况下，装备阵法的角色可以获得满级的阵法属性；未装备阵法的角色则根据激活规则获得对应等级的队长所装备的阵法效果。<enter>激活规则：队伍内每多一个69级或69级以上的队员，阵法激活等级提高一级。		0		5760000			1		zhongjizhenfa																																																																											5	69																																																									2		1
中级阵法图：八卦阵·兑	阵法图：八卦阵·兑	1	1	15	3	1	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	组队情况下，装备阵法的角色可以获得满级的阵法属性；未装备阵法的角色则根据激活规则获得对应等级的队长所装备的阵法效果。<enter>激活规则：队伍内每多一个69级或69级以上的队员，阵法激活等级提高一级。		0		5760000			1		zhongjizhenfa																																																																											5	69																																																									3		1
中级阵法图：八卦阵·艮	阵法图：八卦阵·艮	1	1	15	4	1	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	组队情况下，装备阵法的角色可以获得满级的阵法属性；未装备阵法的角色则根据激活规则获得对应等级的队长所装备的阵法效果。<enter>激活规则：队伍内每多一个69级或69级以上的队员，阵法激活等级提高一级。		0		5760000			1		zhongjizhenfa																																																																											5	69																																																									4		1
中级阵法图：八卦阵·坎	阵法图：八卦阵·坎	1	1	15	5	1	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	组队情况下，装备阵法的角色可以获得满级的阵法属性；未装备阵法的角色则根据激活规则获得对应等级的队长所装备的阵法效果。<enter>激活规则：队伍内每多一个69级或69级以上的队员，阵法激活等级提高一级。		0		5760000			1		zhongjizhenfa																																																																											5	69																																																									5		1
中级阵法图：八卦阵·巽	阵法图：八卦阵·巽	1	1	15	6	1	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	组队情况下，装备阵法的角色可以获得满级的阵法属性；未装备阵法的角色则根据激活规则获得对应等级的队长所装备的阵法效果。<enter>激活规则：队伍内每多一个69级或69级以上的队员，阵法激活等级提高一级。		0		5760000			1		zhongjizhenfa																																																																											5	69																																																									6		1
中级阵法图：八卦阵·乾	阵法图：八卦阵·乾	1	1	15	7	1	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	组队情况下，装备阵法的角色可以获得满级的阵法属性；未装备阵法的角色则根据激活规则获得对应等级的队长所装备的阵法效果。<enter>激活规则：队伍内每多一个69级或69级以上的队员，阵法激活等级提高一级。		0		5760000			1		zhongjizhenfa																																																																											5	69																																																									7		1
中级阵法图：青龙阵	阵法图：青龙阵	1	1	15	8	1	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	组队情况下，装备阵法的角色可以获得满级的阵法属性；未装备阵法的角色则根据激活规则获得对应等级的队长所装备的阵法效果。<enter>激活规则：队伍内每多一个69级或69级以上的队员，阵法激活等级提高一级。		0		5760000			1		zhongjizhenfa																																																																											5	69																																																									8		1
中级阵法图：玄武阵	阵法图：玄武阵	1	1	15	9	1	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	组队情况下，装备阵法的角色可以获得满级的阵法属性；未装备阵法的角色则根据激活规则获得对应等级的队长所装备的阵法效果。<enter>激活规则：队伍内每多一个69级或69级以上的队员，阵法激活等级提高一级。		0		5760000			1		zhongjizhenfa																																																																											5	69																																																									9		1
中级阵法图：白虎阵	阵法图：白虎阵	1	1	15	10	1	\image\item\equip\book\zhenfatu_104.spr	\image\item\equip\book\zhenfatu_104.spr	32	组队情况下，装备阵法的角色可以获得满级的阵法属性；未装备阵法的角色则根据激活规则获得对应等级的队长所装备的阵法效果。<enter>激活规则：队伍内每多一个69级或69级以上的队员，阵法激活等级提高一级。		0		5760000			1		zhongjizhenfa																																																																											5	69																																																									10		1
