SkillId	Type	EquipId	DelLevel	Desc
改变装备需求等级的buf	装备类型：0表示所有不区别品质的一类装备，100表示具体某一件装备，6表示白银装备，7表示黄金装备（后面白银和黄金品质和装备品质的数值一致）	根据前面type的定义填写相应的数值，具体装备就填gdpl，如果是黄金或者白银就填装备部件	降多少需求等级	备注
2859	3	4,9	10	帽子炼化
2859	4	4,9	10	帽子炼化
2859	5	4,9	10	帽子炼化
2859	7	4,9	10	黄金帽子
2859	6	4,3	10	白银衣服
2859	7	4,3	20	黄金衣服
2859	3	4,8	10	腰带炼化
2859	4	4,8	10	腰带炼化
2859	5	4,8	10	腰带炼化
2859	7	2,8	10	黄金腰带
2859	6	2,10	10	白银护腕
2859	7	2,10	20	黄金护腕
2859	6	2,7	30	白银鞋子
2859	7	2,7	40	黄金鞋子
2859	3	4,5	10	项链炼化
2859	4	4,5	10	项链炼化
2859	5	4,5	10	项链炼化
2859	6	2,5	28	白银项链
2859	7	2,5	38	黄金项链
2859	7	2,4	8	黄金戒指
2859	6	2,11	34	白银腰坠
2859	7	2,11	44	黄金腰坠
2859	7	2,6	10	黄金护身符
2859	6	4,10	10	白银炼化护腕
2859	6	4,7	30	白银炼化鞋子
2859	6	4,5	28	白银炼化项链
2859	6	4,11	34	白银炼化腰坠
2859	7	4,8	10	黄金炼化腰带
2859	7	4,10	20	黄金炼化护腕
2859	7	4,7	40	黄金炼化鞋子
2859	7	4,5	38	黄金炼化项链
2859	7	4,4	8	黄金炼化戒指
2859	7	4,11	44	黄金炼化腰坠
2859	7	4,6	10	黄金炼化护身符
2859	0	1,24	10	真元
