id	MaleKind	MaleG	MaleD	MaleP	MaleL	FemaleKind	FemaleG	FemaleD	FemaleP	FemaleL
1	金系超凡希冀披风·男	1	17	1	1	金系超凡希冀披风·女	1	17	2	1
2	金系出尘惊虹披风·男	1	17	1	2	金系出尘惊虹披风·女	1	17	2	2
3	金系凌绝雾影披风·男	1	17	1	3	金系凌绝雾影披风·女	1	17	2	3
4	金系惊世独舞披风·男	1	17	1	4	金系惊世独舞披风·女	1	17	2	4
5	金系御空冯虚披风·男	1	17	1	5	金系御空冯虚披风·女	1	17	2	5
6	金系混天镇元披风·男	1	17	1	6	金系混天镇元披风·女	1	17	2	6
7	金系雏凤翎羽披风·男	1	17	1	7	金系雏凤翎羽披风·女	1	17	2	7
8	金系潜龙吟渊披风·男	1	17	1	8	金系潜龙吟渊披风·女	1	17	2	8
9	金系至尊传说披风·男	1	17	1	9	金系至尊传说披风·女	1	17	2	9
10	金系无双王者披风·男	1	17	1	10	金系无双王者披风·女	1	17	2	10
11	木系超凡希冀披风·男	1	17	3	1	木系超凡希冀披风·女	1	17	4	1
12	木系出尘惊虹披风·男	1	17	3	2	木系出尘惊虹披风·女	1	17	4	2
13	木系凌绝雾影披风·男	1	17	3	3	木系凌绝雾影披风·女	1	17	4	3
14	木系惊世独舞披风·男	1	17	3	4	木系惊世独舞披风·女	1	17	4	4
15	木系御空冯虚披风·男	1	17	3	5	木系御空冯虚披风·女	1	17	4	5
16	木系混天镇元披风·男	1	17	3	6	木系混天镇元披风·女	1	17	4	6
17	木系雏凤翎羽披风·男	1	17	3	7	木系雏凤翎羽披风·女	1	17	4	7
18	木系潜龙吟渊披风·男	1	17	3	8	木系潜龙吟渊披风·女	1	17	4	8
19	木系至尊传说披风·男	1	17	3	9	木系至尊传说披风·女	1	17	4	9
20	木系无双王者披风·男	1	17	3	10	木系无双王者披风·女	1	17	4	10
21	水系超凡希冀披风·男	1	17	5	1	水系超凡希冀披风·女	1	17	6	1
22	水系出尘惊虹披风·男	1	17	5	2	水系出尘惊虹披风·女	1	17	6	2
23	水系凌绝雾影披风·男	1	17	5	3	水系凌绝雾影披风·女	1	17	6	3
24	水系惊世独舞披风·男	1	17	5	4	水系惊世独舞披风·女	1	17	6	4
25	水系御空冯虚披风·男	1	17	5	5	水系御空冯虚披风·女	1	17	6	5
26	水系混天镇元披风·男	1	17	5	6	水系混天镇元披风·女	1	17	6	6
27	水系雏凤翎羽披风·男	1	17	5	7	水系雏凤翎羽披风·女	1	17	6	7
