Id	Describe	Faction1	Faction2	Faction3	Faction4	Faction5	Faction6	Faction7	Faction8	Faction9	Faction10	Faction11	Faction12	Faction13
1	五行印	"1,16,1,1"	"1,16,2,1"	"1,16,3,1"	"1,16,4,1"	"1,16,5,1"	"1,16,6,1"	"1,16,7,1"	"1,16,8,1"	"1,16,9,1"	"1,16,10,1"	"1,16,11,1"	"1,16,12,1"	"1,16,13,1"
2	超凡希冀披风·男	"1,17,1,1"	"1,17,1,1"	"1,17,3,1"	"1,17,3,1"	"1,17,5,1"	"1,17,5,1"	"1,17,7,1"	"1,17,7,1"	"1,17,9,1"	"1,17,9,1"	"1,17,3,1"	"1,17,5,1"	"1,17,9,1"
3	超凡希冀披风·女	"1,17,2,1"	"1,17,2,1"	"1,17,4,1"	"1,17,4,1"	"1,17,6,1"	"1,17,6,1"	"1,17,8,1"	"1,17,8,1"	"1,17,10,1"	"1,17,10,1"	"1,17,4,1"	"1,17,6,1"	"1,17,10,1"
4	出尘惊虹披风·男	"1,17,1,2"	"1,17,1,2"	"1,17,3,2"	"1,17,3,2"	"1,17,5,2"	"1,17,5,2"	"1,17,7,2"	"1,17,7,2"	"1,17,9,2"	"1,17,9,2"	"1,17,3,2"	"1,17,5,2"	"1,17,9,2"
5	出尘惊虹披风·女	"1,17,2,2"	"1,17,2,2"	"1,17,4,2"	"1,17,4,2"	"1,17,6,2"	"1,17,6,2"	"1,17,8,2"	"1,17,8,2"	"1,17,10,2"	"1,17,10,2"	"1,17,4,2"	"1,17,6,2"	"1,17,10,2"
6	凌绝雾影披风·男	"1,17,1,3"	"1,17,1,3"	"1,17,3,3"	"1,17,3,3"	"1,17,5,3"	"1,17,5,3"	"1,17,7,3"	"1,17,7,3"	"1,17,9,3"	"1,17,9,3"	"1,17,3,3"	"1,17,5,3"	"1,17,9,3"
7	凌绝雾影披风·女	"1,17,2,3"	"1,17,2,3"	"1,17,4,3"	"1,17,4,3"	"1,17,6,3"	"1,17,6,3"	"1,17,8,3"	"1,17,8,3"	"1,17,10,3"	"1,17,10,3"	"1,17,4,3"	"1,17,6,3"	"1,17,10,3"
8	惊世独舞披风·男	"1,17,1,4"	"1,17,1,4"	"1,17,3,4"	"1,17,3,4"	"1,17,5,4"	"1,17,5,4"	"1,17,7,4"	"1,17,7,4"	"1,17,9,4"	"1,17,9,4"	"1,17,3,4"	"1,17,5,4"	"1,17,9,4"
9	惊世独舞披风·女	"1,17,2,4"	"1,17,2,4"	"1,17,4,4"	"1,17,4,4"	"1,17,6,4"	"1,17,6,4"	"1,17,8,4"	"1,17,8,4"	"1,17,10,4"	"1,17,10,4"	"1,17,4,4"	"1,17,6,4"	"1,17,10,4"
10	御空冯需披风·男	"1,17,1,5"	"1,17,1,5"	"1,17,3,5"	"1,17,3,5"	"1,17,5,5"	"1,17,5,5"	"1,17,7,5"	"1,17,7,5"	"1,17,9,5"	"1,17,9,5"	"1,17,3,5"	"1,17,5,5"	"1,17,9,5"
11	御空冯需披风·女	"1,17,2,5"	"1,17,2,5"	"1,17,4,5"	"1,17,4,5"	"1,17,6,5"	"1,17,6,5"	"1,17,8,5"	"1,17,8,5"	"1,17,10,5"	"1,17,10,5"	"1,17,4,5"	"1,17,6,5"	"1,17,10,5"
12	混天镇元披风·男	"1,17,1,6"	"1,17,1,6"	"1,17,3,6"	"1,17,3,6"	"1,17,5,6"	"1,17,5,6"	"1,17,7,6"	"1,17,7,6"	"1,17,9,6"	"1,17,9,6"	"1,17,3,6"	"1,17,5,6"	"1,17,9,6"
13	混天镇元披风·女	"1,17,2,6"	"1,17,2,6"	"1,17,4,6"	"1,17,4,6"	"1,17,6,6"	"1,17,6,6"	"1,17,8,6"	"1,17,8,6"	"1,17,10,6"	"1,17,10,6"	"1,17,4,6"	"1,17,6,6"	"1,17,10,6"
14	雏凤翎羽披风·男	"1,17,1,7"	"1,17,1,7"	"1,17,3,7"	"1,17,3,7"	"1,17,5,7"	"1,17,5,7"	"1,17,7,7"	"1,17,7,7"	"1,17,9,7"	"1,17,9,7"	"1,17,3,7"	"1,17,5,7"	"1,17,9,7"
15	雏凤翎羽披风·女	"1,17,2,7"	"1,17,2,7"	"1,17,4,7"	"1,17,4,7"	"1,17,6,7"	"1,17,6,7"	"1,17,8,7"	"1,17,8,7"	"1,17,10,7"	"1,17,10,7"	"1,17,4,7"	"1,17,6,7"	"1,17,10,7"
16	潜龙吟渊披风·男	"1,17,1,8"	"1,17,1,8"	"1,17,3,8"	"1,17,3,8"	"1,17,5,8"	"1,17,5,8"	"1,17,7,8"	"1,17,7,8"	"1,17,9,8"	"1,17,9,8"	"1,17,3,8"	"1,17,5,8"	"1,17,9,8"
17	潜龙吟渊披风·女	"1,17,2,8"	"1,17,2,8"	"1,17,4,8"	"1,17,4,8"	"1,17,6,8"	"1,17,6,8"	"1,17,8,8"	"1,17,8,8"	"1,17,10,8"	"1,17,10,8"	"1,17,4,8"	"1,17,6,8"	"1,17,10,8"
18	至尊传说披风·男	"1,17,1,9"	"1,17,1,9"	"1,17,3,9"	"1,17,3,9"	"1,17,5,9"	"1,17,5,9"	"1,17,7,9"	"1,17,7,9"	"1,17,9,9"	"1,17,9,9"	"1,17,3,9"	"1,17,5,9"	"1,17,9,9"
19	至尊传说披风·女	"1,17,2,9"	"1,17,2,9"	"1,17,4,9"	"1,17,4,9"	"1,17,6,9"	"1,17,6,9"	"1,17,8,9"	"1,17,8,9"	"1,17,10,9"	"1,17,10,9"	"1,17,4,9"	"1,17,6,9"	"1,17,10,9"
20	无双王者披风·男	"1,17,1,10"	"1,17,1,10"	"1,17,3,10"	"1,17,3,10"	"1,17,5,10"	"1,17,5,10"	"1,17,7,10"	"1,17,7,10"	"1,17,9,10"	"1,17,9,10"	"1,17,3,10"	"1,17,5,10"	"1,17,9,10"
21	无双王者披风·女	"1,17,2,10"	"1,17,2,10"	"1,17,4,10"	"1,17,4,10"	"1,17,6,10"	"1,17,6,10"	"1,17,8,10"	"1,17,8,10"	"1,17,10,10"	"1,17,10,10"	"1,17,4,10"	"1,17,6,10"	"1,17,10,10"
