Name	Kind	kind3	kind2	kind7	kind4	kind5	kind6	SuiteID	bVN	b2	Category	Genre	DetailType	ParticularType	Level
仙缘符	蓝装_金系所有路线仙缘符			金系		3	pve				1	2	6	11	10
仙缘符	蓝装_木系所有路线仙缘符			木系		3	pve				1	2	6	21	10
仙缘符	蓝装_水系所有路线仙缘符			水系		3	pve				1	2	6	31	10
仙缘符	蓝装_火系所有路线仙缘符			火系		3	pve				1	2	6	41	10
仙缘符	蓝装_土系所有路线仙缘符			土系		3	pve				1	2	6	51	10
仙缘符	紫装PVE_金系所有路线仙缘符			金系		4	pve				1	2	6	61	10
仙缘符	紫装PVE_木系所有路线仙缘符			木系		4	pve				1	2	6	71	10
仙缘符	紫装PVE_水系所有路线仙缘符			水系		4	pve				1	2	6	81	10
仙缘符	紫装PVE_火系所有路线仙缘符			火系		4	pve				1	2	6	91	10
仙缘符	紫装PVE_土系所有路线仙缘符			土系		4	pve				1	2	6	101	10
仙缘符	紫装PVP_金系所有路线仙缘符			金系		4	pvp				1	2	6	111	10
仙缘符	紫装PVP_木系所有路线仙缘符			木系		4	pvp				1	2	6	121	10
仙缘符	紫装PVP_水系所有路线仙缘符			水系		4	pvp				1	2	6	131	10
仙缘符	紫装PVP_火系所有路线仙缘符			火系		4	pvp				1	2	6	141	10
仙缘符	紫装PVP_土系所有路线仙缘符			土系		4	pvp				1	2	6	151	10
仙缘符	橙装PVE_金系所有路线仙缘符			金系		5	pve				1	2	6	161	10
仙缘符	橙装PVE_木系所有路线仙缘符			木系		5	pve				1	2	6	171	10
仙缘符	橙装PVE_水系所有路线仙缘符			水系		5	pve				1	2	6	181	10
仙缘符	橙装PVE_火系所有路线仙缘符			火系		5	pve				1	2	6	191	10
仙缘符	橙装PVE_土系所有路线仙缘符			土系		5	pve				1	2	6	201	10
仙缘符	橙装PVP_金系所有路线仙缘符			金系		5	pvp				1	2	6	211	10
仙缘符	橙装PVP_木系所有路线仙缘符			木系		5	pvp				1	2	6	221	10
仙缘符	橙装PVP_水系所有路线仙缘符			水系		5	pvp				1	2	6	231	10
仙缘符	橙装PVP_火系所有路线仙缘符			火系		5	pvp				1	2	6	241	10
仙缘符	橙装PVP_土系所有路线仙缘符			土系		5	pvp				1	2	6	251	10
虎魄天晶符	金系祈福白银护身符			金系		6	pvp				1	2	6	252	10
虎魄天晶符	木系祈福白银护身符			木系		6	pvp				1	2	6	253	10
虎魄天晶符	水系祈福白银护身符			水系		6	pvp				1	2	6	254	10
虎魄天晶符	火系祈福白银护身符			火系		6	pvp				1	2	6	255	10
虎魄天晶符	土系祈福白银护身符			土系		6	pvp				1	2	6	256	10
凛日星幻符	金系祈福黄金护身符			金系		7	pvp				1	2	6	257	10
凛日星幻符	木系祈福黄金护身符			木系		7	pvp				1	2	6	258	10
凛日星幻符	水系祈福黄金护身符			水系		7	pvp				1	2	6	259	10
凛日星幻符	火系祈福黄金护身符			火系		7	pvp				1	2	6	260	10
凛日星幻符	土系祈福黄金护身符			土系		7	pvp				1	2	6	261	10
仙缘符	紫装PVE_金系转门派用仙缘符			金系		4	pve				1	2	6	262	10
仙缘符	紫装PVE_木系转门派用仙缘符			木系		4	pve				1	2	6	263	10
仙缘符	紫装PVE_水系转门派用仙缘符			水系		4	pve				1	2	6	264	10
仙缘符	紫装PVE_火系转门派用仙缘符			火系		4	pve				1	2	6	265	10
仙缘符	紫装PVE_土系转门派用仙缘符			土系		4	pve				1	2	6	266	10
仙缘符	橙装PVE_金系转门派用仙缘符			金系		5	pve				1	2	6	267	10
仙缘符	橙装PVE_木系转门派用仙缘符			木系		5	pve				1	2	6	268	10
仙缘符	橙装PVE_水系转门派用仙缘符			水系		5	pve				1	2	6	269	10
仙缘符	橙装PVE_火系转门派用仙缘符			火系		5	pve				1	2	6	270	10
仙缘符	橙装PVE_土系转门派用仙缘符			土系		5	pve				1	2	6	271	10
虎魄天晶符	金系祈福白银护身符_vn			金系		6	pvp		vn		1	2	6	272	10
虎魄天晶符	木系祈福白银护身符_vn			木系		6	pvp		vn		1	2	6	273	10
虎魄天晶符	水系祈福白银护身符_vn			水系		6	pvp		vn		1	2	6	274	10
虎魄天晶符	火系祈福白银护身符_vn			火系		6	pvp		vn		1	2	6	275	10
虎魄天晶符	土系祈福白银护身符_vn			土系		6	pvp		vn		1	2	6	276	10
凛日星幻符	金系祈福黄金护身符_vn			金系		7	pvp		vn		1	2	6	277	10
凛日星幻符	木系祈福黄金护身符_vn			木系		7	pvp		vn		1	2	6	278	10
凛日星幻符	水系祈福黄金护身符_vn			水系		7	pvp		vn		1	2	6	279	10
凛日星幻符	火系祈福黄金护身符_vn			火系		7	pvp		vn		1	2	6	280	10
凛日星幻符	土系祈福黄金护身符_vn			土系		7	pvp		vn		1	2	6	281	10
镜华铠	蓝装_棍少、天王镜华铠		铁	金系	男	3	pve				1	2	3	12	10
霹雳金凤甲	蓝装_棍少、天王霹雳金凤甲			金系	女	3	pve				1	2	3	22	10
千忍秘装	蓝装_刀少千忍秘装		皮	金系	男	3	pve				1	2	3	32	10
九尾白狐裘	蓝装_刀少九尾白狐裘		皮	金系	女	3	pve				1	2	3	42	10
千忍秘装	蓝装_刀毒、唐门、明教千忍秘装		皮	木系	男	3	pve				1	2	3	52	10
九尾白狐裘	蓝装_刀毒、唐门、明教九尾白狐裘		皮	木系	女	3	pve				1	2	3	62	10
绛纱袍	蓝装_掌毒绛纱袍		布	木系	男	3	pve				1	2	3	72	10
沉香衫	蓝装_掌毒沉香衫		布	木系	女	3	pve				1	2	3	82	10
镜华铠	蓝装_指段镜华铠		铁	水系	男	3	pve				1	2	3	92	10
霹雳金凤甲	蓝装_指段霹雳金凤甲			水系	女	3	pve				1	2	3	102	10
绛纱袍	蓝装_峨嵋、翠烟、气段绛纱袍		布	水系	男	3	pve				1	2	3	112	10
沉香衫	蓝装_峨嵋、翠烟、气段沉香衫		布	水系	女	3	pve				1	2	3	122	10
镜华铠	蓝装_战忍镜华铠		铁	火系	男	3	pve				1	2	3	132	10
霹雳金凤甲	蓝装_战忍霹雳金凤甲			火系	女	3	pve				1	2	3	142	10
千忍秘装	蓝装_魔忍、丐帮千忍秘装		皮	火系	男	3	pve				1	2	3	152	10
九尾白狐裘	蓝装_魔忍、丐帮九尾白狐裘		皮	火系	女	3	pve				1	2	3	162	10
镜华铠	蓝装_剑武镜华铠		铁	土系	男	3	pve				1	2	3	172	10
霹雳金凤甲	蓝装_剑武霹雳金凤甲			土系	女	3	pve				1	2	3	182	10
绛纱袍	蓝装_气武、昆仑绛纱袍		布	土系	男	3	pve				1	2	3	192	10
沉香衫	蓝装_气武、昆仑沉香衫		布	土系	女	3	pve				1	2	3	202	10
镜华铠	紫装PVE_棍少、天王镜华铠		铁	金系	男	4	pve				1	2	3	212	10
霹雳金凤甲	紫装PVE_棍少、天王霹雳金凤甲			金系	女	4	pve				1	2	3	222	10
千忍秘装	紫装PVE_刀少千忍秘装		皮	金系	男	4	pve				1	2	3	232	10
九尾白狐裘	紫装PVE_刀少九尾白狐裘		皮	金系	女	4	pve				1	2	3	242	10
千忍秘装	紫装PVE_刀毒、唐门、明教千忍秘装		皮	木系	男	4	pve				1	2	3	252	10
九尾白狐裘	紫装PVE_刀毒、唐门、明教九尾白狐裘		皮	木系	女	4	pve				1	2	3	262	10
绛纱袍	紫装PVE_掌毒绛纱袍		布	木系	男	4	pve				1	2	3	272	10
沉香衫	紫装PVE_掌毒沉香衫		布	木系	女	4	pve				1	2	3	282	10
镜华铠	紫装PVE_指段镜华铠		铁	水系	男	4	pve				1	2	3	292	10
霹雳金凤甲	紫装PVE_指段霹雳金凤甲			水系	女	4	pve				1	2	3	302	10
绛纱袍	紫装PVE_峨嵋、翠烟、气段绛纱袍		布	水系	男	4	pve				1	2	3	312	10
沉香衫	紫装PVE_峨嵋、翠烟、气段沉香衫		布	水系	女	4	pve				1	2	3	322	10
镜华铠	紫装PVE_战忍镜华铠		铁	火系	男	4	pve				1	2	3	332	10
霹雳金凤甲	紫装PVE_战忍霹雳金凤甲			火系	女	4	pve				1	2	3	342	10
千忍秘装	紫装PVE_魔忍、丐帮千忍秘装		皮	火系	男	4	pve				1	2	3	352	10
九尾白狐裘	紫装PVE_魔忍、丐帮九尾白狐裘		皮	火系	女	4	pve				1	2	3	362	10
镜华铠	紫装PVE_剑武镜华铠		铁	土系	男	4	pve				1	2	3	372	10
霹雳金凤甲	紫装PVE_剑武霹雳金凤甲			土系	女	4	pve				1	2	3	382	10
绛纱袍	紫装PVE_气武、昆仑绛纱袍		布	土系	男	4	pve				1	2	3	392	10
沉香衫	紫装PVE_气武、昆仑沉香衫		布	土系	女	4	pve				1	2	3	402	10
镜华铠	紫装PVP_棍少、天王镜华铠		铁	金系	男	4	pvp				1	2	3	412	10
霹雳金凤甲	紫装PVP_棍少、天王霹雳金凤甲			金系	女	4	pvp				1	2	3	422	10
千忍秘装	紫装PVP_刀少千忍秘装		皮	金系	男	4	pvp				1	2	3	432	10
九尾白狐裘	紫装PVP_刀少九尾白狐裘		皮	金系	女	4	pvp				1	2	3	442	10
千忍秘装	紫装PVP_刀毒、唐门、明教千忍秘装		皮	木系	男	4	pvp				1	2	3	452	10
九尾白狐裘	紫装PVP_刀毒、唐门、明教九尾白狐裘		皮	木系	女	4	pvp				1	2	3	462	10
绛纱袍	紫装PVP_掌毒绛纱袍		布	木系	男	4	pvp				1	2	3	472	10
沉香衫	紫装PVP_掌毒沉香衫		布	木系	女	4	pvp				1	2	3	482	10
镜华铠	紫装PVP_指段镜华铠		铁	水系	男	4	pvp				1	2	3	492	10
霹雳金凤甲	紫装PVP_指段霹雳金凤甲			水系	女	4	pvp				1	2	3	502	10
绛纱袍	紫装PVP_峨嵋、翠烟、气段绛纱袍		布	水系	男	4	pvp				1	2	3	512	10
沉香衫	紫装PVP_峨嵋、翠烟、气段沉香衫		布	水系	女	4	pvp				1	2	3	522	10
镜华铠	紫装PVP_战忍镜华铠		铁	火系	男	4	pvp				1	2	3	532	10
霹雳金凤甲	紫装PVP_战忍霹雳金凤甲			火系	女	4	pvp				1	2	3	542	10
千忍秘装	紫装PVP_魔忍、丐帮千忍秘装		皮	火系	男	4	pvp				1	2	3	552	10
九尾白狐裘	紫装PVP_魔忍、丐帮九尾白狐裘		皮	火系	女	4	pvp				1	2	3	562	10
镜华铠	紫装PVP_剑武镜华铠		铁	土系	男	4	pvp				1	2	3	572	10
霹雳金凤甲	紫装PVP_剑武霹雳金凤甲			土系	女	4	pvp				1	2	3	582	10
绛纱袍	紫装PVP_气武、昆仑绛纱袍		布	土系	男	4	pvp				1	2	3	592	10
沉香衫	紫装PVP_气武、昆仑沉香衫		布	土系	女	4	pvp				1	2	3	602	10
镜华铠	橙装PVE_棍少、天王镜华铠		铁	金系	男	5	pve				1	2	3	612	10
霹雳金凤甲	橙装PVE_棍少、天王霹雳金凤甲			金系	女	5	pve				1	2	3	622	10
千忍秘装	橙装PVE_刀少千忍秘装		皮	金系	男	5	pve				1	2	3	632	10
九尾白狐裘	橙装PVE_刀少九尾白狐裘		皮	金系	女	5	pve				1	2	3	642	10
千忍秘装	橙装PVE_刀毒、唐门、明教千忍秘装		皮	木系	男	5	pve				1	2	3	652	10
九尾白狐裘	橙装PVE_刀毒、唐门、明教九尾白狐裘		皮	木系	女	5	pve				1	2	3	662	10
绛纱袍	橙装PVE_掌毒绛纱袍		布	木系	男	5	pve				1	2	3	672	10
沉香衫	橙装PVE_掌毒沉香衫		布	木系	女	5	pve				1	2	3	682	10
镜华铠	橙装PVE_指段镜华铠		铁	水系	男	5	pve				1	2	3	692	10
霹雳金凤甲	橙装PVE_指段霹雳金凤甲			水系	女	5	pve				1	2	3	702	10
绛纱袍	橙装PVE_峨嵋、翠烟、气段绛纱袍		布	水系	男	5	pve				1	2	3	712	10
沉香衫	橙装PVE_峨嵋、翠烟、气段沉香衫		布	水系	女	5	pve				1	2	3	722	10
镜华铠	橙装PVE_战忍镜华铠		铁	火系	男	5	pve				1	2	3	732	10
霹雳金凤甲	橙装PVE_战忍霹雳金凤甲			火系	女	5	pve				1	2	3	742	10
千忍秘装	橙装PVE_魔忍、丐帮千忍秘装		皮	火系	男	5	pve				1	2	3	752	10
九尾白狐裘	橙装PVE_魔忍、丐帮九尾白狐裘		皮	火系	女	5	pve				1	2	3	762	10
镜华铠	橙装PVE_剑武镜华铠		铁	土系	男	5	pve				1	2	3	772	10
霹雳金凤甲	橙装PVE_剑武霹雳金凤甲			土系	女	5	pve				1	2	3	782	10
绛纱袍	橙装PVE_气武、昆仑绛纱袍		布	土系	男	5	pve				1	2	3	792	10
沉香衫	橙装PVE_气武、昆仑沉香衫		布	土系	女	5	pve				1	2	3	802	10
镜华铠	橙装PVP_棍少、天王镜华铠		铁	金系	男	5	pvp				1	2	3	812	10
霹雳金凤甲	橙装PVP_棍少、天王霹雳金凤甲			金系	女	5	pvp				1	2	3	822	10
千忍秘装	橙装PVP_刀少千忍秘装		皮	金系	男	5	pvp				1	2	3	832	10
九尾白狐裘	橙装PVP_刀少九尾白狐裘		皮	金系	女	5	pvp				1	2	3	842	10
千忍秘装	橙装PVP_刀毒、唐门、明教千忍秘装		皮	木系	男	5	pvp				1	2	3	852	10
九尾白狐裘	橙装PVP_刀毒、唐门、明教九尾白狐裘		皮	木系	女	5	pvp				1	2	3	862	10
绛纱袍	橙装PVP_掌毒绛纱袍		布	木系	男	5	pvp				1	2	3	872	10
沉香衫	橙装PVP_掌毒沉香衫		布	木系	女	5	pvp				1	2	3	882	10
镜华铠	橙装PVP_指段镜华铠		铁	水系	男	5	pvp				1	2	3	892	10
霹雳金凤甲	橙装PVP_指段霹雳金凤甲			水系	女	5	pvp				1	2	3	902	10
绛纱袍	橙装PVP_峨嵋、翠烟、气段绛纱袍		布	水系	男	5	pvp				1	2	3	912	10
沉香衫	橙装PVP_峨嵋、翠烟、气段沉香衫		布	水系	女	5	pvp				1	2	3	922	10
镜华铠	橙装PVP_战忍镜华铠		铁	火系	男	5	pvp				1	2	3	932	10
霹雳金凤甲	橙装PVP_战忍霹雳金凤甲			火系	女	5	pvp				1	2	3	942	10
千忍秘装	橙装PVP_魔忍、丐帮千忍秘装		皮	火系	男	5	pvp				1	2	3	952	10
九尾白狐裘	橙装PVP_魔忍、丐帮九尾白狐裘		皮	火系	女	5	pvp				1	2	3	962	10
镜华铠	橙装PVP_剑武镜华铠		铁	土系	男	5	pvp				1	2	3	972	10
霹雳金凤甲	橙装PVP_剑武霹雳金凤甲			土系	女	5	pvp				1	2	3	982	10
绛纱袍	橙装PVP_气武、昆仑绛纱袍		布	土系	男	5	pvp				1	2	3	992	10
沉香衫	橙装PVP_气武、昆仑沉香衫		布	土系	女	5	pvp				1	2	3	1002	10
镜华铠	蓝装_棍少、天王10级声望装		铁	金系	男	3	pvp				1	2	3	1008	10
霹雳金凤甲	蓝装_棍少、天王10级声望装			金系	女	3	pvp				1	2	3	1014	10
千忍秘装	蓝装_刀少10级声望装		皮	金系	男	3	pvp				1	2	3	1020	10
九尾白狐裘	蓝装_刀少10级声望装		皮	金系	女	3	pvp				1	2	3	1026	10
千忍秘装	蓝装_刀毒、唐门、明教10级声望装		皮	木系	男	3	pvp				1	2	3	1032	10
九尾白狐裘	蓝装_刀毒、唐门、明教10级声望装		皮	木系	女	3	pvp				1	2	3	1038	10
绛纱袍	蓝装_掌毒10级声望装		布	木系	男	3	pvp				1	2	3	1044	10
沉香衫	蓝装_掌毒10级声望装		布	木系	女	3	pvp				1	2	3	1050	10
镜华铠	蓝装_指段10级声望装		铁	水系	男	3	pvp				1	2	3	1056	10
霹雳金凤甲	蓝装_指段10级声望装			水系	女	3	pvp				1	2	3	1062	10
绛纱袍	蓝装_峨嵋、翠烟、气段10级声望装		布	水系	男	3	pvp				1	2	3	1068	10
沉香衫	蓝装_峨嵋、翠烟、气段10级声望装		布	水系	女	3	pvp				1	2	3	1074	10
镜华铠	蓝装_战忍10级声望装		铁	火系	男	3	pvp				1	2	3	1080	10
霹雳金凤甲	蓝装_战忍10级声望装			火系	女	3	pvp				1	2	3	1086	10
千忍秘装	蓝装_魔忍、丐帮10级声望装		皮	火系	男	3	pvp				1	2	3	1092	10
九尾白狐裘	蓝装_魔忍、丐帮10级声望装		皮	火系	女	3	pvp				1	2	3	1098	10
镜华铠	蓝装_剑武10级声望装		铁	土系	男	3	pvp				1	2	3	1104	10
霹雳金凤甲	蓝装_剑武10级声望装			土系	女	3	pvp				1	2	3	1110	10
绛纱袍	蓝装_气武、昆仑10级声望装		布	土系	男	3	pvp				1	2	3	1116	10
沉香衫	蓝装_气武、昆仑10级声望装		布	土系	女	3	pvp				1	2	3	1122	10
镜华铠	紫装PVP_棍少、天王10级声望装		铁	金系	男	4	pvp				1	2	3	1128	10
霹雳金凤甲	紫装PVP_棍少、天王10级声望装			金系	女	4	pvp				1	2	3	1134	10
千忍秘装	紫装PVP_刀少10级声望装		皮	金系	男	4	pvp				1	2	3	1140	10
九尾白狐裘	紫装PVP_刀少10级声望装		皮	金系	女	4	pvp				1	2	3	1146	10
千忍秘装	紫装PVP_刀毒、唐门、明教10级声望装		皮	木系	男	4	pvp				1	2	3	1152	10
九尾白狐裘	紫装PVP_刀毒、唐门、明教10级声望装		皮	木系	女	4	pvp				1	2	3	1158	10
绛纱袍	紫装PVP_掌毒10级声望装		布	木系	男	4	pvp				1	2	3	1164	10
沉香衫	紫装PVP_掌毒10级声望装		布	木系	女	4	pvp				1	2	3	1170	10
镜华铠	紫装PVP_指段10级声望装		铁	水系	男	4	pvp				1	2	3	1176	10
霹雳金凤甲	紫装PVP_指段10级声望装			水系	女	4	pvp				1	2	3	1182	10
绛纱袍	紫装PVP_峨嵋、翠烟、气段10级声望装		布	水系	男	4	pvp				1	2	3	1188	10
沉香衫	紫装PVP_峨嵋、翠烟、气段10级声望装		布	水系	女	4	pvp				1	2	3	1194	10
镜华铠	紫装PVP_战忍10级声望装		铁	火系	男	4	pvp				1	2	3	1200	10
霹雳金凤甲	紫装PVP_战忍10级声望装			火系	女	4	pvp				1	2	3	1206	10
千忍秘装	紫装PVP_魔忍、丐帮10级声望装		皮	火系	男	4	pvp				1	2	3	1212	10
九尾白狐裘	紫装PVP_魔忍、丐帮10级声望装		皮	火系	女	4	pvp				1	2	3	1218	10
镜华铠	紫装PVP_剑武10级声望装		铁	土系	男	4	pvp				1	2	3	1224	10
霹雳金凤甲	紫装PVP_剑武10级声望装			土系	女	4	pvp				1	2	3	1230	10
绛纱袍	紫装PVP_气武、昆仑10级声望装		布	土系	男	4	pvp				1	2	3	1236	10
沉香衫	紫装PVP_气武、昆仑10级声望装		布	土系	女	4	pvp				1	2	3	1242	10
镜华铠	橙装PVP_棍少、天王10级声望装		铁	金系	男	5	pvp				1	2	3	1248	10
霹雳金凤甲	橙装PVP_棍少、天王10级声望装			金系	女	5	pvp				1	2	3	1254	10
千忍秘装	橙装PVP_刀少10级声望装		皮	金系	男	5	pvp				1	2	3	1260	10
九尾白狐裘	橙装PVP_刀少10级声望装		皮	金系	女	5	pvp				1	2	3	1266	10
千忍秘装	橙装PVP_刀毒、唐门、明教10级声望装		皮	木系	男	5	pvp				1	2	3	1272	10
九尾白狐裘	橙装PVP_刀毒、唐门、明教10级声望装		皮	木系	女	5	pvp				1	2	3	1278	10
绛纱袍	橙装PVP_掌毒10级声望装		布	木系	男	5	pvp				1	2	3	1284	10
沉香衫	橙装PVP_掌毒10级声望装		布	木系	女	5	pvp				1	2	3	1290	10
镜华铠	橙装PVP_指段10级声望装		铁	水系	男	5	pvp				1	2	3	1296	10
霹雳金凤甲	橙装PVP_指段10级声望装			水系	女	5	pvp				1	2	3	1302	10
绛纱袍	橙装PVP_峨嵋、翠烟、气段10级声望装		布	水系	男	5	pvp				1	2	3	1308	10
沉香衫	橙装PVP_峨嵋、翠烟、气段10级声望装		布	水系	女	5	pvp				1	2	3	1314	10
镜华铠	橙装PVP_战忍10级声望装		铁	火系	男	5	pvp				1	2	3	1320	10
霹雳金凤甲	橙装PVP_战忍10级声望装			火系	女	5	pvp				1	2	3	1326	10
千忍秘装	橙装PVP_魔忍、丐帮10级声望装		皮	火系	男	5	pvp				1	2	3	1332	10
九尾白狐裘	橙装PVP_魔忍、丐帮10级声望装		皮	火系	女	5	pvp				1	2	3	1338	10
镜华铠	橙装PVP_剑武10级声望装		铁	土系	男	5	pvp				1	2	3	1344	10
霹雳金凤甲	橙装PVP_剑武10级声望装			土系	女	5	pvp				1	2	3	1350	10
绛纱袍	橙装PVP_气武、昆仑10级声望装		布	土系	男	5	pvp				1	2	3	1356	10
沉香衫	橙装PVP_气武、昆仑10级声望装		布	土系	女	5	pvp				1	2	3	1362	10
武侯束带	蓝装_金系所有路线武侯束带			金系	男	3	pve				1	2	8	10	10
越女玉带	蓝装_金系所有路线越女玉带			金系	女	3	pve				1	2	8	20	10
武侯束带	蓝装_木系所有路线武侯束带			木系	男	3	pve				1	2	8	30	10
越女玉带	蓝装_木系所有路线越女玉带			木系	女	3	pve				1	2	8	40	10
武侯束带	蓝装_水系所有路线武侯束带			水系	男	3	pve				1	2	8	50	10
越女玉带	蓝装_水系所有路线越女玉带			水系	女	3	pve				1	2	8	60	10
武侯束带	蓝装_火系所有路线武侯束带			火系	男	3	pve				1	2	8	70	10
越女玉带	蓝装_火系所有路线越女玉带			火系	女	3	pve				1	2	8	80	10
武侯束带	蓝装_土系所有路线武侯束带			土系	男	3	pve				1	2	8	90	10
越女玉带	蓝装_土系所有路线越女玉带			土系	女	3	pve				1	2	8	100	10
武侯束带	紫装PVE_金系所有路线武侯束带			金系	男	4	pve				1	2	8	110	10
越女玉带	紫装PVE_金系所有路线越女玉带			金系	女	4	pve				1	2	8	120	10
武侯束带	紫装PVE_木系所有路线武侯束带			木系	男	4	pve				1	2	8	130	10
越女玉带	紫装PVE_木系所有路线越女玉带			木系	女	4	pve				1	2	8	140	10
武侯束带	紫装PVE_水系所有路线武侯束带			水系	男	4	pve				1	2	8	150	10
越女玉带	紫装PVE_水系所有路线越女玉带			水系	女	4	pve				1	2	8	160	10
武侯束带	紫装PVE_火系所有路线武侯束带			火系	男	4	pve				1	2	8	170	10
越女玉带	紫装PVE_火系所有路线越女玉带			火系	女	4	pve				1	2	8	180	10
武侯束带	紫装PVE_土系所有路线武侯束带			土系	男	4	pve				1	2	8	190	10
越女玉带	紫装PVE_土系所有路线越女玉带			土系	女	4	pve				1	2	8	200	10
武侯束带	紫装PVP_金系所有路线武侯束带			金系	男	4	pvp				1	2	8	210	10
越女玉带	紫装PVP_金系所有路线越女玉带			金系	女	4	pvp				1	2	8	220	10
武侯束带	紫装PVP_木系所有路线武侯束带			木系	男	4	pvp				1	2	8	230	10
越女玉带	紫装PVP_木系所有路线越女玉带			木系	女	4	pvp				1	2	8	240	10
武侯束带	紫装PVP_水系所有路线武侯束带			水系	男	4	pvp				1	2	8	250	10
越女玉带	紫装PVP_水系所有路线越女玉带			水系	女	4	pvp				1	2	8	260	10
武侯束带	紫装PVP_火系所有路线武侯束带			火系	男	4	pvp				1	2	8	270	10
越女玉带	紫装PVP_火系所有路线越女玉带			火系	女	4	pvp				1	2	8	280	10
武侯束带	紫装PVP_土系所有路线武侯束带			土系	男	4	pvp				1	2	8	290	10
越女玉带	紫装PVP_土系所有路线越女玉带			土系	女	4	pvp				1	2	8	300	10
武侯束带	橙装PVE_金系所有路线武侯束带			金系	男	5	pve				1	2	8	310	10
越女玉带	橙装PVE_金系所有路线越女玉带			金系	女	5	pve				1	2	8	320	10
武侯束带	橙装PVE_木系所有路线武侯束带			木系	男	5	pve				1	2	8	330	10
越女玉带	橙装PVE_木系所有路线越女玉带			木系	女	5	pve				1	2	8	340	10
武侯束带	橙装PVE_水系所有路线武侯束带			水系	男	5	pve				1	2	8	350	10
越女玉带	橙装PVE_水系所有路线越女玉带			水系	女	5	pve				1	2	8	360	10
武侯束带	橙装PVE_火系所有路线武侯束带			火系	男	5	pve				1	2	8	370	10
越女玉带	橙装PVE_火系所有路线越女玉带			火系	女	5	pve				1	2	8	380	10
武侯束带	橙装PVE_土系所有路线武侯束带			土系	男	5	pve				1	2	8	390	10
越女玉带	橙装PVE_土系所有路线越女玉带			土系	女	5	pve				1	2	8	400	10
武侯束带	橙装PVP_金系所有路线武侯束带			金系	男	5	pvp				1	2	8	410	10
越女玉带	橙装PVP_金系所有路线越女玉带			金系	女	5	pvp				1	2	8	420	10
武侯束带	橙装PVP_木系所有路线武侯束带			木系	男	5	pvp				1	2	8	430	10
越女玉带	橙装PVP_木系所有路线越女玉带			木系	女	5	pvp				1	2	8	440	10
武侯束带	橙装PVP_水系所有路线武侯束带			水系	男	5	pvp				1	2	8	450	10
越女玉带	橙装PVP_水系所有路线越女玉带			水系	女	5	pvp				1	2	8	460	10
武侯束带	橙装PVP_火系所有路线武侯束带			火系	男	5	pvp				1	2	8	470	10
越女玉带	橙装PVP_火系所有路线越女玉带			火系	女	5	pvp				1	2	8	480	10
武侯束带	橙装PVP_土系所有路线武侯束带			土系	男	5	pvp				1	2	8	490	10
越女玉带	橙装PVP_土系所有路线越女玉带			土系	女	5	pvp				1	2	8	500	10
武侯束带	蓝装_金系所有路线10级声望腰带			金系	男	3	pvp				1	2	8	505	10
越女玉带	蓝装_金系所有路线10级声望腰带			金系	女	3	pvp				1	2	8	510	10
武侯束带	蓝装_木系所有路线10级声望腰带			木系	男	3	pvp				1	2	8	515	10
越女玉带	蓝装_木系所有路线10级声望腰带			木系	女	3	pvp				1	2	8	520	10
武侯束带	蓝装_水系所有路线10级声望腰带			水系	男	3	pvp				1	2	8	525	10
越女玉带	蓝装_水系所有路线10级声望腰带			水系	女	3	pvp				1	2	8	530	10
武侯束带	蓝装_火系所有路线10级声望腰带			火系	男	3	pvp				1	2	8	535	10
越女玉带	蓝装_火系所有路线10级声望腰带			火系	女	3	pvp				1	2	8	540	10
武侯束带	蓝装_土系所有路线10级声望腰带			土系	男	3	pvp				1	2	8	545	10
越女玉带	蓝装_土系所有路线10级声望腰带			土系	女	3	pvp				1	2	8	550	10
武侯束带	紫装PVP_金系所有路线10级声望腰带			金系	男	4	pvp				1	2	8	555	10
越女玉带	紫装PVP_金系所有路线10级声望腰带			金系	女	4	pvp				1	2	8	560	10
武侯束带	紫装PVP_木系所有路线10级声望腰带			木系	男	4	pvp				1	2	8	565	10
越女玉带	紫装PVP_木系所有路线10级声望腰带			木系	女	4	pvp				1	2	8	570	10
武侯束带	紫装PVP_水系所有路线10级声望腰带			水系	男	4	pvp				1	2	8	575	10
越女玉带	紫装PVP_水系所有路线10级声望腰带			水系	女	4	pvp				1	2	8	580	10
武侯束带	紫装PVP_火系所有路线10级声望腰带			火系	男	4	pvp				1	2	8	585	10
越女玉带	紫装PVP_火系所有路线10级声望腰带			火系	女	4	pvp				1	2	8	590	10
武侯束带	紫装PVP_土系所有路线10级声望腰带			土系	男	4	pvp				1	2	8	595	10
越女玉带	紫装PVP_土系所有路线10级声望腰带			土系	女	4	pvp				1	2	8	600	10
武侯束带	橙装PVP_金系所有路线10级声望腰带			金系	男	5	pvp				1	2	8	605	10
