Name	Kind	kind3	kind2	kind7	kind4	kind5	kind6	SuiteID	bVN	b2	Category	Genre	DetailType	ParticularType	Level
偃月刀	蓝装_刀少偃月刀	外功系		金系		3	pve				13	2	1	11	10
金箍棒	蓝装_棍少金箍棒	外功系		金系		3	pve				14	2	1	21	10
破天戟	蓝装_枪天破天戟	格斗系		金系		3	pve				15	2	1	31	10
破天锤	蓝装_锤天破天锤	格斗系		金系		3	pve				16	2	1	41	10
偃月刀	蓝装_刀毒偃月刀	外功系		木系		3	pve				13	2	1	51	10
青龙缠手	蓝装_掌毒青龙缠手	内功系		木系		3	pve				11	2	1	61	10
偃月刀	蓝装_刀翠偃月刀	外功系		水系		3	pve				13	2	1	71	10
青龙缠手	蓝装_指段青龙缠手	格斗系		水系		3	pve				11	2	1	81	10
青龙缠手	蓝装_掌峨青龙缠手	内功系		水系		3	pve				11	2	1	91	10
龙渊剑	蓝装_剑翠、气段、辅峨龙渊剑	内功系		水系		3	pve				12	2	1	101	10
金箍棒	蓝装_棍丐金箍棒	外功系		火系		3	pve				14	2	1	111	10
破天戟	蓝装_战忍破天戟	外功系		火系		3	pve				15	2	1	121	10
青龙缠手	蓝装_掌丐青龙缠手	内功系		火系		3	pve				11	2	1	131	10
偃月刀	蓝装_魔忍偃月刀	内功系		火系		3	pve				13	2	1	141	10
偃月刀	蓝装_刀昆偃月刀	外功系		土系		3	pve				13	2	1	151	10
龙渊剑	蓝装_剑武龙渊剑	外功系		土系		3	pve				12	2	1	161	10
龙渊剑	蓝装_气武龙渊剑	内功系		土系		3	pve				12	2	1	171	10
龙渊剑	蓝装_剑昆龙渊剑	内功系		土系		3	pve				12	2	1	181	10
偃月刀	紫装PVE_刀少偃月刀	外功系		金系		4	pve				13	2	1	191	10
金箍棒	紫装PVE_棍少金箍棒	外功系		金系		4	pve				14	2	1	201	10
破天戟	紫装PVE_枪天破天戟	格斗系		金系		4	pve				15	2	1	211	10
破天锤	紫装PVE_锤天破天锤	格斗系		金系		4	pve				16	2	1	221	10
偃月刀	紫装PVE_刀毒偃月刀	外功系		木系		4	pve				13	2	1	231	10
青龙缠手	紫装PVE_掌毒青龙缠手	内功系		木系		4	pve				11	2	1	241	10
偃月刀	紫装PVE_刀翠偃月刀	外功系		水系		4	pve				13	2	1	251	10
青龙缠手	紫装PVE_指段青龙缠手	格斗系		水系		4	pve				11	2	1	261	10
青龙缠手	紫装PVE_掌峨青龙缠手	内功系		水系		4	pve				11	2	1	271	10
龙渊剑	紫装PVE_剑翠、气段、辅峨龙渊剑	内功系		水系		4	pve				12	2	1	281	10
金箍棒	紫装PVE_棍丐金箍棒	外功系		火系		4	pve				14	2	1	291	10
破天戟	紫装PVE_战忍破天戟	外功系		火系		4	pve				15	2	1	301	10
青龙缠手	紫装PVE_掌丐青龙缠手	内功系		火系		4	pve				11	2	1	311	10
偃月刀	紫装PVE_魔忍偃月刀	内功系		火系		4	pve				13	2	1	321	10
偃月刀	紫装PVE_刀昆偃月刀	外功系		土系		4	pve				13	2	1	331	10
龙渊剑	紫装PVE_剑武龙渊剑	外功系		土系		4	pve				12	2	1	341	10
龙渊剑	紫装PVE_气武龙渊剑	内功系		土系		4	pve				12	2	1	351	10
龙渊剑	紫装PVE_剑昆龙渊剑	内功系		土系		4	pve				12	2	1	361	10
偃月刀	紫装PVP_刀少偃月刀	外功系		金系		4	pvp				13	2	1	371	10
金箍棒	紫装PVP_棍少金箍棒	外功系		金系		4	pvp				14	2	1	381	10
破天戟	紫装PVP_枪天破天戟	格斗系		金系		4	pvp				15	2	1	391	10
破天锤	紫装PVP_锤天破天锤	格斗系		金系		4	pvp				16	2	1	401	10
偃月刀	紫装PVP_刀毒偃月刀	外功系		木系		4	pvp				13	2	1	411	10
青龙缠手	紫装PVP_掌毒青龙缠手	内功系		木系		4	pvp				11	2	1	421	10
偃月刀	紫装PVP_刀翠偃月刀	外功系		水系		4	pvp				13	2	1	431	10
青龙缠手	紫装PVP_指段青龙缠手	格斗系		水系		4	pvp				11	2	1	441	10
青龙缠手	紫装PVP_掌峨青龙缠手	内功系		水系		4	pvp				11	2	1	451	10
龙渊剑	紫装PVP_剑翠、气段、辅峨龙渊剑	内功系		水系		4	pvp				12	2	1	461	10
金箍棒	紫装PVP_棍丐金箍棒	外功系		火系		4	pvp				14	2	1	471	10
破天戟	紫装PVP_战忍破天戟	外功系		火系		4	pvp				15	2	1	481	10
青龙缠手	紫装PVP_掌丐青龙缠手	内功系		火系		4	pvp				11	2	1	491	10
偃月刀	紫装PVP_魔忍偃月刀	内功系		火系		4	pvp				13	2	1	501	10
偃月刀	紫装PVP_刀昆偃月刀	外功系		土系		4	pvp				13	2	1	511	10
龙渊剑	紫装PVP_剑武龙渊剑	外功系		土系		4	pvp				12	2	1	521	10
龙渊剑	紫装PVP_气武龙渊剑	内功系		土系		4	pvp				12	2	1	531	10
龙渊剑	紫装PVP_剑昆龙渊剑	内功系		土系		4	pvp				12	2	1	541	10
