RefineId	Desc	Detail	RequirRefineLev	ResRefineLev	AddValue	Desc2	AddFightPower	Fee
1	逍遥套装_护腕手镯	10	0	1	2250000	原来的装备炼化全是一次为150，300，450，但是在现有装备中可能被装备系数放大过，所以全都用150%	1	10000
2	逍遥套装_玉佩香囊	11	0	1	4500000		1	10000
3	逍遥套装_鞋子	7	0	1	6750000		1	10000
4	联赛套装_衣服	3	0	1	2250000		1	10000
5	联赛套装_护身符	6	0	1	4500000		1	10000
6	联赛套装_戒指	4	0	1	6750000		1	10000
7	领土套装_帽子	9	0	1	2250000		1	10000
8	领土套装_项链	5	0	1	6750000		1	10000
9	领土套装_腰带	8	0	1	4500000		1	10000
10	始皇套装_护腕手镯	10	1	2	4500000		2	10000
11	始皇套装_玉佩香囊	11	1	2	9000000		2	10000
12	始皇套装_衣服	3	1	2	9000000		2	10000
