Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType
铜矿石[1级矿石]	铜矿石[1级矿石]	22	1	1	1	\image\item\lifeskill\kuangshi\kuangshi_101_s.spr		32	从矿脉挖出的矿石，兵器铺有售。<enter><color=gold>可使用生活技能[矿物加工]加工成铜锭。当生活技能等级达到10后可以加工更高一级的材料。<color>		0	50	100	50		1	0		stuffitem		1		
锡矿石[2级矿石]	锡矿石[2级矿石]	22	1	1	2	\image\item\lifeskill\kuangshi\kuangshi_102_s.spr		32	从矿脉挖出的矿石，兵器铺有售。<enter><color=gold>可使用生活技能[矿物加工]（技能等级10以上）加工成锡锭。<color>		0	100	100	100		1	0		stuffitem		1		
铁矿石[3级矿石]	铁矿石[3级矿石]	22	1	1	3	\image\item\lifeskill\kuangshi\kuangshi_103_s.spr		32	从矿脉挖出的矿石，兵器铺有售。<enter><color=gold>可使用生活技能[矿物加工]（技能等级20以上）加工成铁锭。<color>		0	300	100	300		1	0		stuffitem		1		
银矿石[4级矿石]	银矿石[4级矿石]	22	1	1	4	\image\item\lifeskill\kuangshi\kuangshi_104_s.spr		32	从矿脉挖出的矿石，兵器铺有售。<enter><color=gold>可使用生活技能[矿物加工]（技能等级30以上）加工成银锭。<color>		0	800	100	800		1	0		stuffitem		1		
金矿石[5级矿石]	金矿石[5级矿石]	22	1	1	5	\image\item\lifeskill\kuangshi\kuangshi_105_s.spr		32	从矿脉挖出的矿石，兵器铺有售。<enter><color=gold>可使用生活技能[矿物加工]（技能等级40以上）加工成金锭。<color>		0	1400	100	1400		1	0		stuffitem		1		
乌金矿石[6级矿石]	乌金矿石[6级矿石]	22	1	1	6	\image\item\lifeskill\kuangshi\kuangshi_106_s.spr		32	从矿脉挖出的矿石，兵器铺有售。<enter><color=gold>可使用生活技能[矿物加工]（技能等级50以上）加工成乌金锭。<color>		0	2100	100	2100		1	0		stuffitem		1		
紫金矿石[7级矿石]	紫金矿石[7级矿石]	22	1	1	7	\image\item\lifeskill\kuangshi\kuangshi_107_s.spr		32	从矿脉挖出的矿石，兵器铺有售。<enter><color=gold>可使用生活技能[矿物加工]（技能等级60以上）加工成紫金锭。<color>		0	4000	100	4000		1	0		stuffitem		1		
寒铁矿石[8级矿石]	寒铁矿石[8级矿石]	22	1	1	8	\image\item\lifeskill\kuangshi\kuangshi_108_s.spr		32	从矿脉挖出的矿石，兵器铺有售。<enter><color=gold>可使用生活技能[矿物加工]（技能等级70以上）加工成寒铁锭。<color>		0	6000	100	6000		1	0		stuffitem		1		
玄铁矿石[9级矿石]	玄铁矿石[9级矿石]	22	1	1	9	\image\item\lifeskill\kuangshi\kuangshi_109_s.spr		32	从矿脉挖出的矿石，兵器铺有售。<enter><color=gold>可使用生活技能[矿物加工]（技能等级80以上）加工成玄铁锭。<color>		0	7500	100	7500		1	0		stuffitem		1		
陨铁矿石[10级矿石]	陨铁矿石[10级矿石]	22	1	1	10	\image\item\lifeskill\kuangshi\kuangshi_110_s.spr		32	从矿脉挖出的矿石，兵器铺有售。<enter><color=gold>可使用生活技能[矿物加工]（技能等级90以上）加工成陨铁锭。<color>		0	17500	100	17500		1	0		stuffitem		1		
