Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType
天忍小旗	天忍小旗	20	1	1	1	\image\item\other\quest\quest_0012_s.spr		32	天忍教弟子的传令信物。		0	0	1	1		3	0		taskitem				
地穴钥匙	地穴钥匙	20	1	2	1	\image\item\other\quest\quest_0013_s.spr		32	天王岛神秘地穴的门钥匙。		0	0	100	1		3	0		taskitem				
雄胆草	雄胆草	20	1	3	1	\image\item\other\quest\quest_0014_s.spr		32	味道奇特，可用来驱赶鳄鱼或其他猛兽。		0	0	100	1		3	0		taskitem				
裘止水的信	裘止水的信	20	1	4	1	\image\item\other\quest\quest_0003_s.spr		32	裘止水的亲笔书信，里面可能隐藏着重大秘密。		0	0	1	1		3	0		taskitem				
伪造的联络信函	伪造的联络信函	20	1	5	1	\image\item\other\quest\quest_0003_s.spr		32	企图诬陷天王帮叛逆的伪造的信函。		0	0	100	1		3	0		taskitem				
榆钱	榆钱	20	1	6	1	\image\item\other\quest\quest_0002_s.spr		32	榆树的果实和种子，形状类似铜钱。		0	0	100	1		3	0		taskitem				
怖者之枪	怖者之枪	20	1	7	1	\image\item\other\quest\quest_0004_s.spr		32	这柄枪原属禁军第一武士夏步尘所有，就是一直在江湖上流传的刺客之枪。		0	0	1	1		3	0		taskitem				
西瓜	西瓜	20	1	8	1	\image\item\other\quest\quest_0005_s.spr		32	解暑水果，水分充足。		0	0	100	1		3	0		taskitem				
猴儿酒	猴儿酒	20	1	9	1	\image\item\other\quest\quest_0006_s.spr		32	猴儿们酿制的美酒，口味甘醇，不可多得。		0	0	100	1		3	0		taskitem				
毛笔	毛笔	20	1	10	1	\image\item\other\quest\quest_0009_s.spr		32	绘制地图的基本材料之一。		0	0	100	1		3	0		taskitem				
宣纸	宣纸	20	1	11	1	\image\item\other\quest\quest_0010_s.spr		32	绘制地图的基本材料之一。		0	0	100	1		3	0		taskitem				
地图画册	地图画册	20	1	12	1	\image\item\other\quest\quest_0011_s.spr		32	绘制好的地理图册，可用于军事，研究等领域。		0	0	100	1		3	0		taskitem				
影者暗记	影者暗记	20	1	13	1	\image\item\other\quest\quest_0008_s.spr		32	丐帮“影社”专用的，用与指示地理方位的路标。		0	0	100	1		3	0		taskitem				
五毒教旗标	五毒教旗标	20	1	14	1	\image\item\other\quest\quest_0012_s.spr		32	五毒教内弟子用于记路的专有标记。		0	0	100	1		3	0		taskitem				
忘忧草	忘忧草	20	1	15	1	\image\item\other\quest\quest_0014_s.spr		32	一种稀有草木。		0	0	1	1		3	0		taskitem				
紫罗兰	紫罗兰	20	1	16	1	\image\item\other\quest\quest_0019_s.spr		32	一种稀有草木。		0	0	1	1		3	0		taskitem				
星星草	星星草	20	1	17	1	\image\item\other\quest\quest_0020_s.spr		32	一种稀有草木。		0	0	1	1		3	0		taskitem				
风信子	风信子	20	1	18	1	\image\item\other\quest\quest_0021_s.spr		32	一种稀有草木。		0	0	1	1		3	0		taskitem				
石碑	石碑	20	1	19	1	\image\item\other\quest\quest_0070_s.spr		32	上面有一行字，模糊，难以辨认。		0	0	100	1		3	0		taskitem				
瑶山部族长首级	瑶山部族长首级	20	1	20	1	\image\item\other\quest\quest_0015_s.spr		32	瑶山族男子首级。		0	0	100	1		3	0		taskitem				
涎香香囊	涎香香囊	20	1	21	1	\image\item\other\quest\quest_0064_s.spr		32	瑶山族男子随身携带的香囊。		0	0	100	1		1	0		taskitem				
沉甸甸的银袋	沉甸甸的银袋	20	1	22	1	\image\item\other\quest\quest_0016_s.spr		32	一袋沉甸甸的银子。		0	0	100	1		3	0		taskitem				
娥皇之歌	娥皇之歌	20	1	23	1	\image\item\other\quest\quest_0018_s.spr		32	动人的歌曲，原始部落的女巫们时常吟唱。		0	0	1	1		3	0		taskitem				
女巫头发	女巫头发	20	1	24	1	\image\item\other\quest\quest_0071_s.spr		32	南夷女巫头上棕黑粗糙的长发		0	0	100	1		3	0		taskitem				
黄铜钥匙甲	黄铜钥匙甲	20	1	25	1	\image\item\other\quest\quest_0013_s.spr		32	昆仑山大雪之冢的门钥匙。		0	0	100	1		3	0		taskitem				
黄铜钥匙乙	黄铜钥匙乙	20	1	26	1	\image\item\other\quest\quest_0013_s.spr		32	昆仑山大雪之冢的门钥匙。		0	0	100	1		3	0		taskitem				
黄铜钥匙丙	黄铜钥匙丙	20	1	27	1	\image\item\other\quest\quest_0013_s.spr		32	昆仑山大雪之冢的门钥匙。		0	0	100	1		3	0		taskitem				
谢雨田的书信	谢雨田的书信	20	1	28	1	\image\item\other\quest\quest_0003_s.spr		32	昆仑派上代仅存弟子谢雨田对整个内乱事件的描述。		0	0	100	1		3	0		taskitem				
古剑长青	古剑长青	20	1	29	1	\image\item\other\quest\quest_0033_s.spr		32	上代昆仑派大侠剑皇楚欺天的遗物		0	0	1	1		3	0		taskitem				
土茯苓	土茯苓	20	1	30	1	\image\item\other\quest\quest_0034_s.spr		32	珍贵药材，可治疗多种疑难杂症。		0	0	1	1		3	0		taskitem				
山药	山药	20	1	31	1	\image\item\other\quest\quest_0035_s.spr		32	珍贵药材，可治疗多种疑难杂症。		0	0	1	1		3	0		taskitem				
九节菖蒲	九节菖蒲	20	1	32	1	\image\item\other\quest\quest_0036_s.spr		32	珍贵药材，可治疗多种疑难杂症。		0	0	1	1		3	0		taskitem				
大青蔸	大青蔸	20	1	33	1	\image\item\other\quest\quest_0037_s.spr		32	珍贵药材，可治疗多种疑难杂症。		0	0	1	1		3	0		taskitem				
丝线	丝线	20	1	34	1	\image\item\other\quest\quest_0072_s.spr		32	缝制衣物的必备材料。		0	0	100	1		3	0		taskitem				
金刚禅杖（未开光）	金刚禅杖（未开光）	20	1	35	1	\image\item\other\quest\quest_0073_s.spr		32	传说中乃达摩大师东渡时所携的伏魔之杖		0	0	1	1		3	0		taskitem				
金刚禅杖（开光）	金刚禅杖（开光）	20	1	36	1	\image\item\other\quest\quest_0073_s.spr		32	传说中乃达摩大师东渡时所携的伏魔之杖		0	0	1	1		3	0		taskitem				
地根草	地根草	20	1	37	1	\image\item\other\quest\quest_0037_s.spr		32	传说中可以起死回生，增进功力的灵药		0	0	100	1		3	0		taskitem				
释者斗笠	释者斗笠	20	1	38	1	\image\item\other\quest\quest_0075_s.spr		32	第四代法门寺主持所带过的斗笠		0	0	100	1		3	0		taskitem				
废庙钥匙	废庙钥匙	20	1	39	1	\image\item\other\quest\quest_0013_s.spr		32	废旧庙宇的门钥匙。		0	0	100	1		3	0		taskitem				
木人零件	木人零件	20	1	40	1	\image\item\other\quest\quest_0038_s.spr		32	少林木人巷中木人身上的零件。		0	0	100	1		1	0		taskitem				
路晓然交付的信函	路晓然交付的信函	20	1	41	1	\image\item\other\quest\quest_0003_s.spr		32	路晓然交付的信函。		0	0	1	1		3	0		taskitem				
路晓然交付的包袱	路晓然交付的包袱	20	1	42	1	\image\item\other\quest\quest_0042_s.spr		32	路晓然交付的包袱。		0	0	1	1		3	0		taskitem				
