Faction	RoutId	PartId	Sex	Genre	DetailType	ParticularType	Level	PartInfo	RoutInfo
1	1	1	1	2	6	161	10	护身符	刀少
1	1	2	1	2	3	632	10	衣服	刀少
1	1	3	1	2	8	310	10	腰带	刀少
1	1	4	1	2	7	312	10	鞋子	刀少
1	1	5	1	2	10	312	10	护腕	刀少
1	1	6	1	2	9	630	10	帽子	刀少
1	1	7	1	2	5	160	10	项链	刀少
1	1	8	1	2	11	310	10	玉佩	刀少
1	1	9	1	2	4	160	10	戒指	刀少
1	1	10	1	2	1	551	10	武器	刀少
1	1	1	2	2	6	161	10	护身符	刀少
1	1	2	2	2	3	642	10	衣服	刀少
1	1	3	2	2	8	320	10	腰带	刀少
1	1	4	2	2	7	322	10	鞋子	刀少
1	1	5	2	2	10	322	10	护腕	刀少
1	1	6	2	2	9	640	10	帽子	刀少
1	1	7	2	2	5	160	10	项链	刀少
1	1	8	2	2	11	320	10	玉佩	刀少
1	1	9	2	2	4	160	10	戒指	刀少
1	1	10	2	2	1	551	10	武器	刀少
1	2	1	1	2	6	161	10	护身符	棍少
1	2	2	1	2	3	612	10	衣服	棍少
1	2	3	1	2	8	310	10	腰带	棍少
1	2	4	1	2	7	312	10	鞋子	棍少
1	2	5	1	2	10	312	10	护腕	棍少
1	2	6	1	2	9	610	10	帽子	棍少
1	2	7	1	2	5	160	10	项链	棍少
1	2	8	1	2	11	310	10	玉佩	棍少
1	2	9	1	2	4	160	10	戒指	棍少
1	2	10	1	2	1	561	10	武器	棍少
1	2	1	2	2	6	161	10	护身符	棍少
1	2	2	2	2	3	622	10	衣服	棍少
1	2	3	2	2	8	320	10	腰带	棍少
1	2	4	2	2	7	322	10	鞋子	棍少
1	2	5	2	2	10	322	10	护腕	棍少
1	2	6	2	2	9	620	10	帽子	棍少
1	2	7	2	2	5	160	10	项链	棍少
1	2	8	2	2	11	320	10	玉佩	棍少
1	2	9	2	2	4	160	10	戒指	棍少
1	2	10	2	2	1	561	10	武器	棍少
2	1	1	1	2	6	161	10	护身符	枪天
2	1	2	1	2	3	612	10	衣服	枪天
2	1	3	1	2	8	310	10	腰带	枪天
2	1	4	1	2	7	312	10	鞋子	枪天
2	1	5	1	2	10	312	10	护腕	枪天
2	1	6	1	2	9	610	10	帽子	枪天
2	1	7	1	2	5	160	10	项链	枪天
2	1	8	1	2	11	310	10	玉佩	枪天
2	1	9	1	2	4	160	10	戒指	枪天
2	1	10	1	2	1	571	10	武器	枪天
2	1	1	2	2	6	161	10	护身符	枪天
2	1	2	2	2	3	622	10	衣服	枪天
2	1	3	2	2	8	320	10	腰带	枪天
2	1	4	2	2	7	322	10	鞋子	枪天
2	1	5	2	2	10	322	10	护腕	枪天
2	1	6	2	2	9	620	10	帽子	枪天
2	1	7	2	2	5	160	10	项链	枪天
2	1	8	2	2	11	320	10	玉佩	枪天
2	1	9	2	2	4	160	10	戒指	枪天
2	1	10	2	2	1	571	10	武器	枪天
2	2	1	1	2	6	161	10	护身符	锤天
2	2	2	1	2	3	612	10	衣服	锤天
2	2	3	1	2	8	310	10	腰带	锤天
2	2	4	1	2	7	312	10	鞋子	锤天
2	2	5	1	2	10	312	10	护腕	锤天
2	2	6	1	2	9	610	10	帽子	锤天
2	2	7	1	2	5	160	10	项链	锤天
2	2	8	1	2	11	310	10	玉佩	锤天
2	2	9	1	2	4	160	10	戒指	锤天
2	2	10	1	2	1	581	10	武器	锤天
2	2	1	2	2	6	161	10	护身符	锤天
2	2	2	2	2	3	622	10	衣服	锤天
2	2	3	2	2	8	320	10	腰带	锤天
2	2	4	2	2	7	322	10	鞋子	锤天
2	2	5	2	2	10	322	10	护腕	锤天
2	2	6	2	2	9	620	10	帽子	锤天
2	2	7	2	2	5	160	10	项链	锤天
2	2	8	2	2	11	320	10	玉佩	锤天
2	2	9	2	2	4	160	10	戒指	锤天
2	2	10	2	2	1	581	10	武器	锤天
3	1	1	1	2	6	171	10	护身符	陷阱
3	1	2	1	2	3	652	10	衣服	陷阱
3	1	3	1	2	8	330	10	腰带	陷阱
3	1	4	1	2	7	332	10	鞋子	陷阱
3	1	5	1	2	10	332	10	护腕	陷阱
3	1	6	1	2	9	650	10	帽子	陷阱
3	1	7	1	2	5	170	10	项链	陷阱
3	1	8	1	2	11	330	10	玉佩	陷阱
3	1	9	1	2	4	170	10	戒指	陷阱
3	1	10	1	2	2	70	10	武器	陷阱
3	1	1	2	2	6	171	10	护身符	陷阱
3	1	2	2	2	3	662	10	衣服	陷阱
3	1	3	2	2	8	340	10	腰带	陷阱
3	1	4	2	2	7	342	10	鞋子	陷阱
3	1	5	2	2	10	342	10	护腕	陷阱
3	1	6	2	2	9	660	10	帽子	陷阱
3	1	7	2	2	5	170	10	项链	陷阱
3	1	8	2	2	11	340	10	玉佩	陷阱
3	1	9	2	2	4	170	10	戒指	陷阱
3	1	10	2	2	2	70	10	武器	陷阱
3	2	1	1	2	6	171	10	护身符	袖箭
