Faction	RouteId	MaleId	FemaleId	描述
0	0	2885	2885	心魔就是心魔
1	1	2886	2910	m刀少
1	2	2887	2911	m棍少
2	1	2888	2912	m枪天
2	2	2889	2913	m锤天
3	1	2890	2914	m弩唐
3	2	2891	2915	m坑唐
4	1	2892	2916	m刀毒
4	2	2893	2917	m掌毒
5	1	2896	2920	m掌峨
5	2	2897	2921	m辅娥
6	2	2898	2922	m刀翠
6	1	2899	2923	m剑翠
7	1	2902	2926	m掌丐
7	2	2903	2927	m棍丐
8	2	2904	2928	m魔忍
8	1	2905	2929	m战忍
9	2	2906	2930	m剑武
9	1	2907	2931	m气武
10	1	2908	2932	m刀昆
10	2	2909	2933	m剑昆
11	1	2894	2918	m锤明
11	2	2895	2919	m剑明
12	1	2900	2924	m指段
12	2	2901	2925	m气段
13	1	11023	11025	m剑古墓
13	2	11024	11026	m针古墓
