MAP_CLASS	MAP_INFO	MAP_ID	MAP_X	MAP_Y	TO_FIGHTSTATE
新手村	云中镇	1	1389	3102	
新手村	永乐镇	3	1693	3288	
新手村	石鼓镇	6	1572	3106	
新手村	龙泉村	7	1510	3268	
新手村	龙门镇	2	1785	3586	
新手村	江津村	5	1597	3131	
新手村	稻香村	4	1624	3253	
新手村	巴陵县	8	1721	3381	
城市	扬州府	26	1641	3129	
城市	襄阳府	25	1630	3169	
城市	临安府	29	1605	3946	
城市	凤翔府	24	1767	3540	
城市	大理府	28	1439	3366	
城市	成都府	27	1666	3260	
城市	汴京府	23	1486	3179	
门派	武当派	14	1435	2991	
门派	五毒教	20	1574	3145	
门派	天王帮	22	1663	3039	
门派	天忍教	10	1658	3324	
门派	唐门	18	1633	3179	
门派	少林派	9	1702	3093	
门派	昆仑派	12	1700	3080	
门派	丐帮	15	1606	3245	
门派	峨嵋派	16	1584	3041	
门派	翠烟门	17	1487	3093	
门派	大理段氏	19	1618	3120	
门派	明教	224	1625	3181	
白虎堂	扬州府报名点	26	1454	3220	
白虎堂	襄阳府报名点	25	1596	3258	
白虎堂	临安府报名点	29	1691	3899	
白虎堂	凤翔府报名点	24	1841	3395	
白虎堂	大理府报名点	28	1549	3242	
白虎堂	成都府报名点	27	1593	3117	
白虎堂	汴京府报名点	23	1568	3162	
逍遥谷	汴京府报名点	23	1447	3160	
野外地图\5级地图	 古战场	30	1623	4041	
野外地图\5级地图	 龙门客栈	31	2034	3550	
野外地图\5级地图	 军马场	32	1611	3966	
野外地图\5级地图	 梅花岭	33	1988	4048	
野外地图\5级地图	 长江河谷	34	1689	3407	
野外地图\5级地图	 白族市集	35	2024	3979	
野外地图\5级地图	 雁荡龙湫	36	1613	3938	
野外地图\5级地图	 洞庭湖畔	37	1788	3255	
野外地图\15级地图	 镇东墓园	38	1569	3529	
野外地图\15级地图	 祁连山	39	2035	3252	
野外地图\15级地图	 潼关	40	1816	3883	
野外地图\15级地图	 淮水沙洲	41	1973	3377	
野外地图\15级地图	 蜀南竹海	42	2028	3430	
野外地图\15级地图	 茶马古道	43	1958	3830	
