NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
野狼	0	741	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\baihuazhen_2\npc\yelang.txt	1		
红衣高手	0	742	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\baihuazhen_2\npc\hongyigaoshou.txt	1		
紫衣高手	0	743	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\baihuazhen_2\npc\ziyigaoshou.txt	1		
黑衣人	0	750	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\baihuazhen_2\npc\heiyiren.txt	1		3
黑衣人头目	0	1146	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\baihuazhen_2\npc\heiyirensl.txt	1		
夏盛	0	752	3	5	60	1	20	20	20	20	20	1		73280	122496		1		
冬淮	0	753	3	5	60	1	20	20	20	20	20	1		62368	125024		1		
采花贼	0	771	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\baihuazhen_2\npc\caihuazei.txt	1		
采花贼头目	0	1148	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	59904	122720		1		
夺宝人	0	744	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\baihuazhen_2\npc\duobaoren.txt	1		0
夺宝人头目	0	1145	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	66624	107840		1		
石城士兵	0	772	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\baihuazhen_2\npc\shichengshibing.txt	1		
