NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
临安守军	0	2130	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\caishiji\npc\area1.txt			
临安守军	0	2130	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\caishiji\npc\area2.txt			
马帮武师	0	2131	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\caishiji\npc\area3.txt			1
漕帮帮众	0	2129	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\caishiji\npc\area4.txt			0
to_linanfu	1															\setting\map\map_info\caishiji\trap\to_linanfu.txt			
to_jiuyixi	1															\setting\map\map_info\caishiji\trap\to_jiuyixi.txt			
to_pengliguze	1															\setting\map\map_info\caishiji\trap\to_pengliguze.txt			
to_huqiujianchi	1															\setting\map\map_info\caishiji\trap\to_huqiujianchi.txt			
to_huanghelou	1															\setting\map\map_info\caishiji\trap\to_huanghelou.txt			
to_dukou1	1															\setting\map\map_info\caishiji\trap\to_dukou1.txt			
to_dukou2	1															\setting\map\map_info\caishiji\trap\to_dukou2.txt			
to_dukou3	1															\setting\map\map_info\caishiji\trap\to_dukou3.txt			
to_dukou4	1															\setting\map\map_info\caishiji\trap\to_dukou4.txt			
临安府入口	0	2525	4	5	1	1	20	20	20	20	20	1		66560	110112				
九嶷溪入口	0	2525	4	5	1	1	20	20	20	20	20	1		60128	121792				
彭蠡古泽入口	0	2525	4	5	1	1	20	20	20	20	20	1		49920	120992				
虎丘剑池入口	0	2525	4	5	1	1	20	20	20	20	20	1		66144	103328				
黄鹤楼入口	0	2525	4	5	1	1	20	20	20	20	20	1		50048	111648				
渡口	0	2525	4	5	1	1	20	20	20	20	20	1		56576	109664				
渡口	0	2525	4	5	1	1	20	20	20	20	20	1		55872	108896				
渡口	0	2525	4	5	1	1	20	20	20	20	20	1		54400	113952				
渡口	0	2525	4	5	1	1	20	20	20	20	20	1		55104	112288				
刘仲麟	0	554	3	5	60	1	20	20	20	20	20	1		63712	113440				
申若年	0	563	3	5	60	1	20	20	20	20	20	1		55232	115200				
温醉山	0	555	0	5	60	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt	64608	107200				
神射手	0	435	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\caishiji\npc\shensheshou.txt			
监军	0	436	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\caishiji\npc\jianjun.txt			
督军	0	1222	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt	51232	107808				
守卫	0	434	3	5	60	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\caishiji\npc\shouwei.txt			
盗墓蟊贼	0	1805	0	5	60	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\caishiji\npc\daomubaozei.txt			
养心草	0	1626	3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\caishiji\npc\yangxincao.txt			
天星草	0	1627	3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\caishiji\npc\tianxingcao.txt			
车夫	0	1882	3	5	60	1	20	20	20	20	20	1		62848	110080				
朱熹	0	1875	3	5	60	1	20	20	20	20	20	1		57024	109728				
蔡元定	0	1876	3	5	60	1	20	20	20	20	20	1		56896	109760				
吴铮铮	0	3019	0	5	55	1	20	20	20	20	20	16		64416	121408				3
武一刀	0	3020	0	5	55	1	20	20	20	20	20	16		58336	102688				0
西门无铭	0	3021	0	5	55	1	20	20	20	20	20	16		51296	102656				2
项令城	0	3022	0	5	55	1	20	20	20	20	20	16		54496	117728				4
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		61280	111200				
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		61408	111424				
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		61344	111648				
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		61216	111968				
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		61472	111936				
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		61344	111072				
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		61760	110688				
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		62784	111744				
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		62656	112064				
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		62400	112160				
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		62560	112448				
蒙面人	0	4557	0	5	130	1	20	20	20	20	20	1		62048	112384				
蒙面头领	0	4558	0	5	130	1	20	20	20	20	20	1		61728	110880				
蒙面头领	0	4558	0	5	130	1	20	20	20	20	20	1		61024	109088				
蒙面头领	0	4558	0	5	130	1	20	20	20	20	20	1		60960	108896				
蒙面头领	0	4558	0	5	130	1	20	20	20	20	20	1		62368	112576				
蒙面头领	0	4558	0	5	130	1	20	20	20	20	20	1		61472	111552				
蒙面头领	0	4558	0	5	130	1	20	20	20	20	20	1		62656	112448				
马车	0	4572	3	5	130	1	20	20	20	20	20	1		60896	111456		1		
张名实	0	4569	3	5	130	1	20	20	20	20	20	1		57984	108800				
