NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
野生小猴	0	2202	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\changjianghegu\npc\area1.txt			
黄虎	0	2009	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\changjianghegu\npc\area2.txt			
幼熊	0	2010	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\changjianghegu\npc\area3.txt			
驯养的麋鹿	0	2201	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\changjianghegu\npc\area4.txt			
to_jiangjincun	1															\setting\map\map_info\changjianghegu\trap\to_jiangjincun.txt			
江津村入口	0	2525	4	5	1	1	20	20	20	20	20	1		53760	108128				
沈铁石	0	3582	3	5	60	1	20	20	20	20	20	1		58560	120576		1		
许仕伟	0	3583	3	5	60	1	20	20	20	20	20	1		58464	120832		1		
驯养的麋鹿寻路点	0	3597	5	5	1	1	20	20	20	20	20	1		57184	118944		1		
野生小猴寻路点	0	3598	5	5	1	1	20	20	20	20	20	1		60128	118272		1		
黄虎寻路点	0	3599	5	5	1	1	20	20	20	20	20	1		62336	124608		1		
幼熊寻路点	0	3600	5	5	1	1	20	20	20	20	20	1		57792	120672		1		
试炼龙柱	0	4447	0	5	80	1	20	20	20	20	20	1		54432	104064		1		
驯养的麋鹿寻路点1	0	4675	5	5	1	1	20	20	20	20	20	1		58784	111392		1		
驯养的麋鹿寻路点2	0	4676	5	5	1	1	20	20	20	20	20	1		59200	102944		1		
驯养的麋鹿寻路点3	0	4677	5	5	1	1	20	20	20	20	20	1		55136	106880		1		
