NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
南宫婉儿	0	1123	3	5	60	1	20	20	20	20	20	1		55776	106304		1		
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		46688	105408				
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		47264	106176				
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		47616	106528				
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		48448	104064				
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		48992	104320				
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		50432	104832				
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		49952	106944				
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		47008	104768				
木良	0	3569	3	5	60	1	20	20	20	20	20	1		47872	104192				
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		49408	105152				
公平子	0	2501	3	5	60	1	20	20	20	20	20	1		47936	107328				
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		49600	106752				2
礼官	0	2601	3	5	60	1	20	20	20	20	20	1		51232	104448				
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	1		45312	104992				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		46048	104320				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		46016	107232				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		51328	107104				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		52256	102432				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		45536	103808				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		46368	107872				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		50976	107456				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		51488	101856				
马贩	0	2605	3	5	60	1	20	20	20	20	20	1		52736	103008				
石鼓镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		53600	111584				
大理段氏入口	0	2525	4	5	1	1	20	20	20	20	20	1		45760	112384				
洱海摩岩入口	0	2525	4	5	1	1	20	20	20	20	20	1		53536	99392				
点苍山入口	0	2525	4	5	1	1	20	20	20	20	20	1		43296	100992				
大理皇宫入口	0	2525	4	5	1	1	20	20	20	20	20	1		56672	105408				
许中流	0	545	3	5	60	1	20	20	20	20	20	1		53376	103360				
赵元靖	0	2607	3	5	60	1	20	20	20	20	20	1		52480	104704				
完颜隆旭	0	2608	3	5	60	1	20	20	20	20	20	1		50784	103232				
黄裳	0	2606	3	5	60	1	20	20	20	20	20	1		54272	105120				
细诺罗	0	550	3	5	60	1	20	20	20	20	20	1		51552	104800				
白虎堂护卫	0	2654	3	5	60	1	20	20	20	20	20	1		49600	103520				
云游僧人	0	2625	3	5	60	1	20	20	20	20	20	1		48256	101472				
义军军需官	0	2711	3	5	60	1	20	20	20	20	20	1		49472	105088				
to_shiguzhen	1															\setting\map\map_info\dalifu\trap\to_shiguzhen.txt			
to_daliduanshi	1															\setting\map\map_info\dalifu\trap\to_daliduanshi.txt			
to_erhaimoyan	1															\setting\map\map_info\dalifu\trap\to_erhaimoyan.txt			
to_diancangshan	1															\setting\map\map_info\dalifu\trap\to_diancangshan.txt			
to_huanggong	1															\setting\map\map_info\dalifu\trap\to_huanggong.txt			
谢满庭	0	1048	3	5	60	1	20	20	20	20	20	1		48224	109696				
被擒的刺客	0	1047	3	5	60	1	20	20	20	20	20	1		45024	106336				
马穿山	0	2955	3	5	60	1	20	20	20	20	20	1		52640	106112				
大壮	0	650	3	5	60	1	20	20	20	20	20	1		48032	104768				
6032	0	6032	5	5	1	1	20	20	20	20	20	1		51264	102048				
6034	0	6034	5	5	1	1	20	20	20	20	20	1		46272	108224				
6034	0	6034	5	5	1	1	20	20	20	20	20	1		51232	102112				
6036	0	6036	5	5	1	1	20	20	20	20	20	1		46208	108288				
6043	0	6043	5	5	1	1	20	20	20	20	20	1		50272	103616				
6044	0	6044	5	5	1	1	20	20	20	20	20	1		49344	105856				
