NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
to_shanzhai	1															\setting\map\map_info\diancangshan\trap\to_shanzhai.txt			
to_bieyuan	1															\setting\map\map_info\diancangshan\trap\to_bieyuan.txt			
乌布寨精兵	0	2156	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\diancangshan\npc\area1.txt	1		
乌布寨巡守	0	2157	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\diancangshan\npc\area2.txt	1		
黑水轻骑	0	2158	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\diancangshan\npc\area3.txt	1		
乌布寨巡守	0	2157	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\diancangshan\npc\area4.txt	1		
阿诺	0	579	3	5	70	1	20	20	20	20	20	1		58528	118080		1		
监工头领	0	580	0	5	70	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\diancangshan\npc\jiangongtouling.txt	1		
监工	0	582	0	5	70	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\diancangshan\npc\jiangong.txt	1		
李本源	0	585	0	5	70	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt	51424	118784		1		
苦工	0	583	0	5	70	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\diancangshan\npc\kugong.txt	1		
天龙寺入口	0	2525	4	5	70	1	20	20	20	20	20	1		57216	103168				
洱海摩岩入口	0	2525	4	5	70	1	20	20	20	20	20	1		61888	105888				
大理府入口	0	2525	4	5	70	1	20	20	20	20	20	1		61888	121696				
段氏皇陵入口	0	2525	4	5	70	1	20	20	20	20	20	1		53568	105536				
别院大厅	0	2525	4	5	70	1	20	20	20	20	20	1		58336	104160				
山寨民居	0	2525	4	5	70	1	20	20	20	20	20	1		58400	118112				
偷听者	0	994	0	5	70	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt	57888	117600		1		
许昌	0	859	3	5	70	1	20	20	20	20	20	1		59168	106944		1		
凶猛的门卫	0	961	0	5	70	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt	59296	105504		1		
凶猛的门卫	0	961	0	5	70	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt	59424	105376		1		
马氏	0	1046	3	5	70	1	20	20	20	20	20	1		57472	119232		1		
哈嘎	0	586	3	5	70	1	20	20	20	20	20	1		58752	116736		1		
子楚	0	596	3	5	70	1	20	20	20	20	20	1		58656	117632		1		
沈嫂	0	4408	3	5	150	1	20	20	20	20	20	1		58944	118464		1		
段智祥	0	4425	3	5	150	1	20	20	20	20	20	1		61344	121920		1		
桑大娘	0	4385	3	5	150	1	20	20	20	20	20	1		57088	119840		1		
乔装儒生	0	4435	0	5	115	1	20	20	20	20	20	2		60704	112448		1		
寺庙建筑工人	0	4436	0	5	115	1	20	20	20	20	20	2		60928	111968		1		
乔装书童	0	4437	0	5	115	1	20	20	20	20	20	2		61280	112320		1		
to_tianlongsi	1															\setting\map\map_info\diancangshan\trap\to_tianlongsi.txt			
to_erhaimoyan	1															\setting\map\map_info\diancangshan\trap\to_erhaimoyan.txt			
to_dalifu	1															\setting\map\map_info\diancangshan\trap\to_dalifu.txt			
to_duanshihuangling	1															\setting\map\map_info\diancangshan\trap\to_duanshihuangling.txt			
薛蝶衣	0	3043	0	5	65	1	20	20	20	20	20	16		59264	124192				0
钟铁腿	0	3044	0	5	65	1	20	20	20	20	20	16		58144	105984				1
应啸风	0	3045	0	5	65	1	20	20	20	20	20	16		59392	113184				2
游万里	0	3046	0	5	65	1	20	20	20	20	20	16		51680	103936				3
小月	0	5063	3	5	120	1	20	20	20	20	20	1		58176	104800				
刘老爷	0	5064	0	5	120	1	20	20	20	20	20	1		58848	103360				
