NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
黑无常	0	3123	0	5	95	1	20	20	20	20	20	16		46624	115104				1
白无常	0	3124	0	5	95	1	20	20	20	20	20	16		51744	123168				2
阎十殿	0	3125	0	5	95	1	20	20	20	20	20	16		59520	121088				3
钟神判	0	3126	0	5	95	1	20	20	20	20	20	16		59968	108992				0
to_jiangjincun	1															\setting\map\map_info\fengduguicheng\trap\to_jiangjincun.txt			
江津村入口	0	2525	4	5	1	1	20	20	20	20	20	1		50240	124896		1		
毒童子	0	2269	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\fengduguicheng\npc\area1.txt			
鬼奴	0	2270	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\fengduguicheng\npc\area2.txt			
鬼使	0	2271	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\fengduguicheng\npc\area3.txt			
埋骨兵	0	2272	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\fengduguicheng\npc\area4.txt			
to_sanxiazhandao	1															\setting\map\map_info\fengduguicheng\trap\to_sanxiazhandao.txt			
三峡栈道入口	0	2525	4	5	1	1	20	20	20	20	20	1		61216	109568		1		
to_shennvfeng	1															\setting\map\map_info\fengduguicheng\trap\to_shennvfeng.txt			
神女峰入口	0	2525	4	5	1	1	20	20	20	20	20	1		59904	119392		1		
to_yelangjiuxu	1															\setting\map\map_info\fengduguicheng\trap\to_yelangjiuxu.txt			
夜郎旧墟入口	0	2525	4	5	1	1	20	20	20	20	20	1		59104	122272		1		
