NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
猛安谋克军	0	2159	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\fenglingdu\npc\area1.txt			
猛安谋克军	0	2159	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\fenglingdu\npc\area2.txt			
马帮推手	0	2161	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\fenglingdu\npc\area3.txt			
漕帮舵手	0	2160	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\fenglingdu\npc\area4.txt			
to_huashan	1															\setting\map\map_info\fenglingdu\trap\to_huashan.txt			
to_longmenshiku	1															\setting\map\map_info\fenglingdu\trap\to_longmenshiku.txt			
to_shamomigong	1															\setting\map\map_info\fenglingdu\trap\to_shamomigong.txt			
to_taihanggujing	1															\setting\map\map_info\fenglingdu\trap\to_taihanggujing.txt			
to_dukou1	1															\setting\map\map_info\fenglingdu\trap\to_dukou1.txt			
to_dukou2	1															\setting\map\map_info\fenglingdu\trap\to_dukou2.txt			
to_dukou3	1															\setting\map\map_info\fenglingdu\trap\to_dukou3.txt			
to_dukou4	1															\setting\map\map_info\fenglingdu\trap\to_dukou4.txt			
龙门石窟入口	0	2525	4	5	75	1	20	20	20	20	20	1		63424	119584				
沙漠迷宫入口	0	2525	4	5	75	1	20	20	20	20	20	1		50688	107648				
太行古径入口	0	2525	4	5	75	1	20	20	20	20	20	1		63552	104000				
渡口	0	2525	4	5	75	1	20	20	20	20	20	1		53120	106016				
渡口	0	2525	4	5	75	1	20	20	20	20	20	1		52160	106944				
渡口	0	2525	4	5	75	1	20	20	20	20	20	1		53312	115968				
渡口	0	2525	4	5	75	1	20	20	20	20	20	1		52736	113888				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	54272	108224				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	54624	108416				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	55008	108480				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	55200	108128				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	55520	108032				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	55872	107904				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	55904	107328				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	55680	106976				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	55232	107392				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	54528	107808				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	55040	107936				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	55040	107936				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	54496	107168				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	54144	107168				
如影	0	1032	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	55488	107648				
癞痢头	0	1039	3	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	55456	109184				
马铁匠	0	1040	3	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	60576	109056				
陈守秋	0	3051	0	5	75	1	20	20	20	20	20	16		60416	102272				0
程踏波	0	3052	0	5	75	1	20	20	20	20	20	16		54368	100160				1
褚天悯	0	3053	0	5	75	1	20	20	20	20	20	16		54240	119808				2
完颜丑奴	0	3054	0	5	75	1	20	20	20	20	20	16		61088	105248				3
华山入口	0	2525	4	5	75	1	20	20	20	20	20	1		50816	116128				
