NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
云凤	0	4026	3	5	95	1	20	20	20	20	20	1		57952	105856		1		3
杨建	0	4024	3	5	95	1	20	20	20	20	20	1		53024	112544		1		3
朴散	0	4028	3	5	95	1	20	20	20	20	20	1		53504	120384		1		3
罗隐	0	4025	3	5	95	1	20	20	20	20	20	1		53952	105824		1		3
胡嘉	0	4030	3	5	95	1	20	20	20	20	20	1		52320	115744		1		3
龚垣	0	4027	3	5	95	1	20	20	20	20	20	1		60384	110752		1		3
船夫	0	4010	3	5	95	1	20	20	20	20	20	1		53216	120288		1		3
野人猎手	0	4009	0	5	95	1	20	20	20	20	20	1				\setting\map\map_info\funiushanhoushan\npc\yerenlieshou.txt	1		3
魔音鼓	0	4007	0	5	95	1	20	20	20	20	20	1				\setting\map\map_info\funiushanhoushan\npc\shoukuanglouluo.txt	1		3
狼犬	0	4008	0	5	95	1	20	20	20	20	20	1				\setting\map\map_info\funiushanhoushan\npc\huilang.txt	1		3
苦工	0	4005	0	5	95	1	20	20	20	20	20	1				\setting\map\map_info\funiushanhoushan\npc\kugong.txt	1		3
监工	0	4001	0	5	95	1	20	20	20	20	20	1				\setting\map\map_info\funiushanhoushan\npc\jiangong.txt	1		3
采石工匠	0	4003	0	5	95	1	20	20	20	20	20	1	\setting\npc\droprate\renwudiaoluo\caishigongjiang.txt			\setting\map\map_info\funiushanhoushan\npc\caishigongjiang.txt	1		
旧船	0	4012	3	5	95	1	20	20	20	20	20	1		60000	111328		1		3
旧船	0	4059	3	5	95	1	20	20	20	20	20	1		53248	120128		1		3
苦工顾峰	0	1926	3	5	95	1	20	20	20	20	20	1		60640	110944		1		3
狩猎的义军	0	1924	3	5	95	1	20	20	20	20	20	1		56448	98528		1		3
吴乙	0	1813	0	5	95	1	20	20	20	20	20	1		56672	105824		1		3
秦涛	0	1815	0	5	95	1	20	20	20	20	20	1		56704	101824		1		3
毕再遇	0	1817	0	5	95	1	20	20	20	20	20	1		57920	106432		1		3
伏牛山叛军	0	1811	0	5	95	1	20	20	20	20	20	1				\setting\map\map_info\funiushanhoushan\npc\funiushanpanjun.txt	1		
操练士卒	0	1822	0	0	95	1	20	20	20	20	20	1				\setting\map\map_info\funiushanhoushan\npc\caolianshizu.txt	1		
夺旗士卒	0	1823	0	5	95	1	20	20	20	20	20	1				\setting\map\map_info\funiushanhoushan\npc\duoqisizu.txt	1		
宋军士卒	0	1818	0	5	95	1	20	20	20	20	20	1				\setting\map\map_info\funiushanhoushan\npc\songjunshizu.txt	1		
