NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
小型赛报名官	0	3695	3	5	10	1	20	20	20	20	20	1		54368	112032		1		
大型团体赛报名官	0	3701	3	5	10	1	20	20	20	20	20	1		56320	113984		1		
物品保管人	0	2599	3	5	10	1	20	20	20	20	20	1		57600	109376		1		
英雄岛车夫	0	3698	3	5	10	1	20	20	20	20	20	1		57376	110560		1		
试炼谷接应人	0	3703	3	5	10	1	20	20	20	20	20	1		54752	113312		1		
武林大会商人	0	3705	3	5	10	1	20	20	20	20	20	1		58784	110688		1		
高级跨服联赛官员	0	3719	3	5	10	1	20	20	20	20	20	1		56000	109504		1		
黄金跨服联赛官员	0	3720	3	5	10	1	20	20	20	20	20	1		58688	111712		1		
铁浮城传送人	0	7136	3	5	10	1	20	20	20	20	20	1		58848	109024		1		
巾帼英雄赛官员	0	7121	3	5	10	1	20	20	20	20	20	1		59488	109600		1		
慕容剑飞	0	4701	3	5	10	1	20	20	20	20	20	1		56192	111776		1		
李若水	0	2473	3	5	10	1	20	20	20	20	20	1		58272	108576		1		
