NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
流亡刀兵	0	2183	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\area1.txt			
驻城守军	0	2184	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\area2.txt			
流寇	0	2185	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\area3.txt			
驻城守军	0	2184	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\area4.txt			
to_caishiji	1															\setting\map\map_info\huanghelou\trap\to_caishiji.txt			
to_hanshuigudu	1															\setting\map\map_info\huanghelou\trap\to_hanshuigudu.txt			
to_pengliguze	1															\setting\map\map_info\huanghelou\trap\to_pengliguze.txt			
to_funiushan	1															\setting\map\map_info\huanghelou\trap\to_funiushan.txt			
采石矶入口	0	2525	4	5	85	1	20	20	20	20	20	1		62080	113056				
汉水古渡入口	0	2525	4	5	85	1	20	20	20	20	20	1		51200	113984				
彭蠡古泽入口	0	2525	4	5	85	1	20	20	20	20	20	1		62080	121984				
伏牛山入口	0	2525	4	5	85	1	20	20	20	20	20	1		51040	104288				
to_juyilou	1															\setting\map\map_info\huanghelou\trap\to_juyilou.txt			
聚义楼	0	2525	4	5	85	1	20	20	20	20	20	1		54432	104832				
蝶飘飘	0	1001	3	5	85	1	20	20	20	20	20	1		54176	105088				
东鱼岛猎手	0	929	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\dongyudaolieshou.txt			
二队	0	933	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\erduiyanbangbangshou.txt			
丐帮弟子	0	939	3	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\gaibangdizi.txt			
巨鲸帮帮众	0	931	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\jujingbangdizi.txt			
清风寨强匪	0	927	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\qingfengzhaiqiangfei.txt			
三队	0	934	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\sanduiyanbangbangshou.txt			
天王帮弟子	0	938	3	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\tianwangbangdizi.txt			
五毒教弟子	0	936	0	0	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\wudujiaodizi.txt			
形意门弟子	0	930	0	0	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\xingyimendizi.txt			
万相	0	1003	3	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	61184	105152				
一队	0	932	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\huanghelou\npc\yiduiyanbangbangshou.txt			
信使	0	1120	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	51232	122784				
莫小小	0	3087	0	5	85	1	20	20	20	20	20	16		58336	124416				0
潘守安	0	3088	0	5	85	1	20	20	20	20	20	16		58272	111168				1
丛无影	0	3089	0	5	85	1	20	20	20	20	20	16		60352	106464				2
邓安奎	0	3090	0	5	85	1	20	20	20	20	20	16		52672	105632				
