NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
飞龙先生	0	807	3	5	60	1	20	20	20	20	20	1		50976	110048		1		
被困的禁军	0	945	0	5	55	1	20	20	20	20	20	1				\setting\map\map_info\huanhuaxi_shinei\npc\muren.txt	1		
疯狂的木人	0	946	0	0	55	1	20	20	20	20	20	1		55296	109952		1		
to_murenzhen	1															\setting\map\map_info\huanhuaxi_shinei\trap\to_murenzhen.txt			
to_murenzhenchukou	1															\setting\map\map_info\huanhuaxi_shinei\trap\to_murenzhenchukou.txt			
to_exit8	1															\setting\map\map_info\huanhuaxi_shinei\trap\to_exit8.txt			
to_exit9	1															\setting\map\map_info\huanhuaxi_shinei\trap\to_exit9.txt			
to_exit27	1															\setting\map\map_info\huanhuaxi_shinei\trap\to_exit27.txt			
飞龙阵入口	0	2525	4	5	1	1	20	20	20	20	20	1		52224	110304		1		
飞龙阵出口	0	2525	4	5	1	1	20	20	20	20	20	1		55424	109632		1		
离开飞龙谷	0	2525	4	5	1	1	20	20	20	20	20	1		50592	110848		1		
离开小屋	0	2525	4	5	1	1	20	20	20	20	20	1		53280	126432		1		
