NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
令狐瞻	0	3115	0	5	95	1	20	20	20	20	20	16		51168	117440				5
岳冷禅	0	3116	0	5	95	1	20	20	20	20	20	16		54400	111680				3
封之谷	0	3117	0	5	95	1	20	20	20	20	20	16		58272	103488				4
宁浣浣	0	3118	0	5	95	1	20	20	20	20	20	16		59392	114848				2
to_yonglezhen	1															\setting\map\map_info\huashan\trap\to_yonglezhen.txt			
to_fenglingdu	1															\setting\map\map_info\huashan\trap\to_fenglingdu.txt			
to_longmenshiku	1															\setting\map\map_info\huashan\trap\to_longmenshiku.txt			
永乐镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		60512	123040		1		
风陵渡入口	0	2525	4	5	1	1	20	20	20	20	20	1		63488	108576		1		
龙门石窟入口	0	2525	4	5	1	1	20	20	20	20	20	1		63488	115456		1		
华山叶猴	0	2261	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\huashan\npc\area1.txt			
华山守军	0	2262	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\huashan\npc\area2.txt			
异人剑客	0	2263	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\huashan\npc\area3.txt			
华山强贼	0	2264	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\huashan\npc\area4.txt			
to_huosirenmu	1															\setting\map\map_info\huashan\trap\to_huosirenmu.txt			
活死人墓入口	0	2525	4	5	1	1	20	20	20	20	20	1		50944	105856		1		
to_afanggongfeixu	1															\setting\map\map_info\huashan\trap\to_afanggongfeixu.txt			
阿房宫废墟入口	0	2525	4	5	1	1	20	20	20	20	20	1		49632	119776		1		
岳可山	0	4632	3	5	130	1	20	20	20	20	20	1		58560	117632		1		
秦知礼	0	4633	0	5	130	1	20	20	20	20	20	1		60064	116096		1		
秦知画	0	4634	0	5	130	1	20	20	20	20	20	1		59488	116192		1		
