NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
唐一尘	0	696	3	5	60	1	20	20	20	20	20	1		50688	122880		1		
唐一尘	0	696	3	5	60	1	20	20	20	20	20	1		60352	122976		1		
唐晓	0	701	3	5	150	1	20	20	20	20	20	1		50848	122944		1		
唐雅	0	704	3	5	60	1	20	20	20	20	20	1		53056	122560		1		
唐雅	0	704	3	5	60	1	20	20	20	20	20	1		55488	123040		1		
唐柔	0	705	3	5	60	1	20	20	20	20	20	1		53152	122432		1		
唐柔	0	705	3	5	60	1	20	20	20	20	20	1		55424	122944		1		
唐晓	0	706	3	5	150	1	20	20	20	20	20	1		53248	122752		1		
唐晓	0	706	3	5	150	1	20	20	20	20	20	1		55552	123360		1		
小奴	0	707	3	5	60	1	20	20	20	20	20	1		52960	122464		1		
唐缺	0	709	3	5	90	1	20	20	20	20	20	1		55360	123232		1		
唐峰	0	710	3	5	60	1	20	20	20	20	20	1		55584	123136		1		1
唐远家人	0	711	3	5	60	1	20	20	20	20	20	1		55360	123456		1		
唐缺	0	712	3	5	90	1	20	20	20	20	20	1		57792	123360		1		
唐鹤	0	727	3	5	90	1	20	20	20	20	20	1		60416	122816		1		
唐鹤	0	727	3	5	90	1	20	20	20	20	20	1		50624	122688		1		
唐缺亲卫	0	733	0	5	35	1	20	20	20	20	20	1				\setting\map\map_info\hupanzhulin_1_shinei\npc\tangqueqinwei.txt	1		1
唐缺	0	736	3	5	90	1	20	20	20	20	20	1		60512	123136		1		
去隐者峡	0	2525	4	5	1	1	20	20	20	20	20	1		50240	119456		1		
去湖畔竹林东部	0	2525	4	5	1	1	20	20	20	20	20	1		50400	123360		1		
去别雅小筑内院	0	2525	4	5	1	1	20	20	20	20	20	1		52832	123136		1		
去别雅小筑内院	0	2525	4	5	1	1	20	20	20	20	20	1		55168	123648		1		
去湖畔竹林东部	0	2525	4	5	1	1	20	20	20	20	20	1		57504	123872		1		
去湖畔竹林东部	0	2525	4	5	1	1	20	20	20	20	20	1		60160	123456		1		
to_exit17	1															\setting\map\map_info\hupanzhulin_1_shinei\trap\to_exit17.txt			
to_exit21	1															\setting\map\map_info\hupanzhulin_1_shinei\trap\to_exit21.txt			
to_exit22	1															\setting\map\map_info\hupanzhulin_1_shinei\trap\to_exit22.txt			
to_exit23	1															\setting\map\map_info\hupanzhulin_1_shinei\trap\to_exit23.txt			
to_exit24	1															\setting\map\map_info\hupanzhulin_1_shinei\trap\to_exit24.txt			
to_exit25	1															\setting\map\map_info\hupanzhulin_1_shinei\trap\to_exit25.txt			
